,VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
27,Enrolment/NAMAV,Enrolment/NAMAV,24816,Formal,MP,COOK Darlene,KRIEG Steve,skipped,skipped,skipped,skipped,1,6
28,Enrolment/NAMAV,Enrolment/NAMAV,24817,Formal,MP,COOK Darlene,BIRD Elly,GRINDON-EKINS Vanessa,HEALEY Patrick,KRIEG Steve,ROB Big,1,6
29,Enrolment/NAMAV,Enrolment/NAMAV,24818,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
30,Enrolment/NAMAV,Enrolment/NAMAV,24819,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
31,Enrolment/NAMAV,Enrolment/NAMAV,24820,Formal,MP,COOK Darlene,BIRD Elly,GRINDON-EKINS Vanessa,KRIEG Steve,HEALEY Patrick,ROB Big,1,6
32,Enrolment/NAMAV,Enrolment/NAMAV,24821,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,1,6
33,Enrolment/NAMAV,Enrolment/NAMAV,24822,Formal,MP,COOK Darlene,KRIEG Steve,GRINDON-EKINS Vanessa,HEALEY Patrick,BIRD Elly,ROB Big,1,6
34,Enrolment/NAMAV,Enrolment/NAMAV,24823,Formal,MP,COOK Darlene,BIRD Elly,GRINDON-EKINS Vanessa,skipped,skipped,skipped,1,6
35,Enrolment/NAMAV,Enrolment/NAMAV,24824,Formal,MP,COOK Darlene,BIRD Elly,GRINDON-EKINS Vanessa,HEALEY Patrick,KRIEG Steve,ROB Big,1,6
36,Enrolment/NAMAV,Enrolment/NAMAV,24825,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
37,Enrolment/NAMAV,Enrolment/NAMAV,24826,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,KRIEG Steve,BIRD Elly,HEALEY Patrick,ROB Big,1,6
38,Enrolment/NAMAV,Enrolment/NAMAV,24827,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
39,Enrolment/NAMAV,Enrolment/NAMAV,24828,Formal,MP,COOK Darlene,BIRD Elly,GRINDON-EKINS Vanessa,HEALEY Patrick,KRIEG Steve,ROB Big,1,6
40,Enrolment/NAMAV,Enrolment/NAMAV,24829,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
41,Enrolment/NAMAV,Enrolment/NAMAV,24830,Formal,MP,COOK Darlene,HEALEY Patrick,GRINDON-EKINS Vanessa,ROB Big,BIRD Elly,KRIEG Steve,1,6
42,Enrolment/NAMAV,Enrolment/NAMAV,24831,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,HEALEY Patrick,KRIEG Steve,ROB Big,BIRD Elly,1,6
43,Enrolment/NAMAV,Enrolment/NAMAV,24832,Formal,MP,COOK Darlene,KRIEG Steve,skipped,skipped,skipped,skipped,1,6
44,Enrolment/NAMAV,Enrolment/NAMAV,24833,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
45,Enrolment/NAMAV,Enrolment/NAMAV,24834,Formal,MP,COOK Darlene,KRIEG Steve,GRINDON-EKINS Vanessa,BIRD Elly,HEALEY Patrick,ROB Big,1,6
46,Enrolment/NAMAV,Enrolment/NAMAV,24835,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,1,6
47,Enrolment/NAMAV,Enrolment/NAMAV,24836,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,BIRD Elly,HEALEY Patrick,ROB Big,KRIEG Steve,1,6
48,Enrolment/NAMAV,Enrolment/NAMAV,24837,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
49,Enrolment/NAMAV,Enrolment/NAMAV,24838,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
50,Enrolment/NAMAV,Enrolment/NAMAV,24839,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,1,6
51,Enrolment/NAMAV,Enrolment/NAMAV,24840,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
52,Enrolment/NAMAV,Enrolment/NAMAV,24841,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
53,Enrolment/NAMAV,Enrolment/NAMAV,24842,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,skipped,skipped,skipped,skipped,1,6
54,Enrolment/NAMAV,Enrolment/NAMAV,24843,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
55,Enrolment/NAMAV,Enrolment/NAMAV,24844,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,BIRD Elly,skipped,skipped,skipped,1,6
56,Enrolment/NAMAV,Enrolment/NAMAV,24845,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,KRIEG Steve,HEALEY Patrick,ROB Big,1,6
57,Enrolment/NAMAV,Enrolment/NAMAV,24846,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
58,Enrolment/NAMAV,Enrolment/NAMAV,24847,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,KRIEG Steve,COOK Darlene,HEALEY Patrick,ROB Big,1,6
59,Enrolment/NAMAV,Enrolment/NAMAV,24848,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,HEALEY Patrick,KRIEG Steve,ROB Big,1,6
60,Enrolment/NAMAV,Enrolment/NAMAV,24849,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
61,Enrolment/NAMAV,Enrolment/NAMAV,24850,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,HEALEY Patrick,COOK Darlene,KRIEG Steve,ROB Big,1,6
62,Enrolment/NAMAV,Enrolment/NAMAV,24851,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
63,Enrolment/NAMAV,Enrolment/NAMAV,24852,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
64,Enrolment/NAMAV,Enrolment/NAMAV,24853,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
65,Enrolment/NAMAV,Enrolment/NAMAV,24854,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,skipped,skipped,skipped,skipped,1,6
66,Enrolment/NAMAV,Enrolment/NAMAV,24855,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,BIRD Elly,skipped,skipped,skipped,1,6
67,Enrolment/NAMAV,Enrolment/NAMAV,24856,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
68,Enrolment/NAMAV,Enrolment/NAMAV,24857,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
69,Enrolment/NAMAV,Enrolment/NAMAV,24858,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
70,Enrolment/NAMAV,Enrolment/NAMAV,24859,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
71,Enrolment/NAMAV,Enrolment/NAMAV,24860,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
72,Enrolment/NAMAV,Enrolment/NAMAV,24861,Formal,MP,GRINDON-EKINS Vanessa,HEALEY Patrick,BIRD Elly,KRIEG Steve,skipped,skipped,1,6
73,Enrolment/NAMAV,Enrolment/NAMAV,24862,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,skipped,skipped,skipped,skipped,1,6
74,Enrolment/NAMAV,Enrolment/NAMAV,24863,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,KRIEG Steve,HEALEY Patrick,ROB Big,1,6
75,Enrolment/NAMAV,Enrolment/NAMAV,24864,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
76,Enrolment/NAMAV,Enrolment/NAMAV,24865,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
77,Enrolment/NAMAV,Enrolment/NAMAV,24866,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
78,Enrolment/NAMAV,Enrolment/NAMAV,24867,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
79,Enrolment/NAMAV,Enrolment/NAMAV,24868,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
80,Enrolment/NAMAV,Enrolment/NAMAV,24869,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
81,Enrolment/NAMAV,Enrolment/NAMAV,24870,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
82,Enrolment/NAMAV,Enrolment/NAMAV,24871,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
83,Enrolment/NAMAV,Enrolment/NAMAV,24872,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
84,Enrolment/NAMAV,Enrolment/NAMAV,24873,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
85,Enrolment/NAMAV,Enrolment/NAMAV,24874,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,ROB Big,HEALEY Patrick,KRIEG Steve,1,6
86,Enrolment/NAMAV,Enrolment/NAMAV,24875,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,KRIEG Steve,COOK Darlene,HEALEY Patrick,ROB Big,1,6
87,Enrolment/NAMAV,Enrolment/NAMAV,24876,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
88,Enrolment/NAMAV,Enrolment/NAMAV,24877,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
89,Enrolment/NAMAV,Enrolment/NAMAV,24878,Formal,MP,GRINDON-EKINS Vanessa,KRIEG Steve,ROB Big,HEALEY Patrick,BIRD Elly,COOK Darlene,1,6
90,Enrolment/NAMAV,Enrolment/NAMAV,24879,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,BIRD Elly,ROB Big,HEALEY Patrick,KRIEG Steve,1,6
91,Enrolment/NAMAV,Enrolment/NAMAV,24880,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,BIRD Elly,KRIEG Steve,HEALEY Patrick,ROB Big,1,6
92,Enrolment/NAMAV,Enrolment/NAMAV,24881,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,ROB Big,skipped,skipped,skipped,1,6
93,Enrolment/NAMAV,Enrolment/NAMAV,24882,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
94,Enrolment/NAMAV,Enrolment/NAMAV,24883,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,HEALEY Patrick,KRIEG Steve,ROB Big,1,6
95,Enrolment/NAMAV,Enrolment/NAMAV,24884,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,KRIEG Steve,HEALEY Patrick,ROB Big,1,6
96,Enrolment/NAMAV,Enrolment/NAMAV,24885,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,HEALEY Patrick,COOK Darlene,KRIEG Steve,ROB Big,1,6
97,Enrolment/NAMAV,Enrolment/NAMAV,24886,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,HEALEY Patrick,COOK Darlene,KRIEG Steve,ROB Big,1,6
98,Enrolment/NAMAV,Enrolment/NAMAV,24887,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,HEALEY Patrick,COOK Darlene,KRIEG Steve,ROB Big,1,6
99,Enrolment/NAMAV,Enrolment/NAMAV,24888,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,skipped,skipped,skipped,skipped,1,6
100,Enrolment/NAMAV,Enrolment/NAMAV,24889,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
101,Enrolment/NAMAV,Enrolment/NAMAV,24890,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
102,Enrolment/NAMAV,Enrolment/NAMAV,24891,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
103,Enrolment/NAMAV,Enrolment/NAMAV,24892,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
104,Enrolment/NAMAV,Enrolment/NAMAV,24893,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,KRIEG Steve,HEALEY Patrick,ROB Big,1,6
105,Enrolment/NAMAV,Enrolment/NAMAV,24894,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,HEALEY Patrick,KRIEG Steve,ROB Big,1,6
106,Enrolment/NAMAV,Enrolment/NAMAV,24895,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,skipped,skipped,skipped,skipped,1,6
107,Enrolment/NAMAV,Enrolment/NAMAV,24896,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,ROB Big,HEALEY Patrick,KRIEG Steve,1,6
108,Enrolment/NAMAV,Enrolment/NAMAV,24897,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
109,Enrolment/NAMAV,Enrolment/NAMAV,24898,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
110,Enrolment/NAMAV,Enrolment/NAMAV,24899,Formal,MP,GRINDON-EKINS Vanessa,ROB Big,BIRD Elly,COOK Darlene,skipped,skipped,1,6
111,Enrolment/NAMAV,Enrolment/NAMAV,24900,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
112,Enrolment/NAMAV,Enrolment/NAMAV,24901,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,HEALEY Patrick,KRIEG Steve,ROB Big,1,6
113,Enrolment/NAMAV,Enrolment/NAMAV,24902,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,HEALEY Patrick,ROB Big,KRIEG Steve,1,6
114,Enrolment/NAMAV,Enrolment/NAMAV,24903,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,BIRD Elly,HEALEY Patrick,KRIEG Steve,ROB Big,1,6
115,Enrolment/NAMAV,Enrolment/NAMAV,24904,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,KRIEG Steve,skipped,skipped,skipped,1,6
116,Enrolment/NAMAV,Enrolment/NAMAV,24905,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
117,Enrolment/NAMAV,Enrolment/NAMAV,24906,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
118,Enrolment/NAMAV,Enrolment/NAMAV,24907,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,KRIEG Steve,COOK Darlene,HEALEY Patrick,ROB Big,1,6
119,Enrolment/NAMAV,Enrolment/NAMAV,24908,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,HEALEY Patrick,ROB Big,KRIEG Steve,BIRD Elly,1,6
120,Enrolment/NAMAV,Enrolment/NAMAV,24909,Formal,MP,GRINDON-EKINS Vanessa,ROB Big,HEALEY Patrick,KRIEG Steve,COOK Darlene,BIRD Elly,1,6
121,Enrolment/NAMAV,Enrolment/NAMAV,24910,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,skipped,skipped,skipped,skipped,1,6
122,Enrolment/NAMAV,Enrolment/NAMAV,24911,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
123,Enrolment/NAMAV,Enrolment/NAMAV,24912,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,skipped,skipped,skipped,skipped,1,6
124,Enrolment/NAMAV,Enrolment/NAMAV,24913,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,skipped,skipped,skipped,skipped,1,6
125,Enrolment/NAMAV,Enrolment/NAMAV,24914,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,BIRD Elly,KRIEG Steve,HEALEY Patrick,ROB Big,1,6
126,Enrolment/NAMAV,Enrolment/NAMAV,24915,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
127,Enrolment/NAMAV,Enrolment/NAMAV,24916,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
128,Enrolment/NAMAV,Enrolment/NAMAV,24917,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
129,Enrolment/NAMAV,Enrolment/NAMAV,24918,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,HEALEY Patrick,ROB Big,KRIEG Steve,1,6
130,Enrolment/NAMAV,Enrolment/NAMAV,24919,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
131,Enrolment/NAMAV,Enrolment/NAMAV,24920,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,BIRD Elly,HEALEY Patrick,KRIEG Steve,ROB Big,1,6
132,Enrolment/NAMAV,Enrolment/NAMAV,24921,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,BIRD Elly,HEALEY Patrick,ROB Big,KRIEG Steve,1,6
133,Enrolment/NAMAV,Enrolment/NAMAV,24922,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,skipped,skipped,skipped,skipped,1,6
134,Enrolment/NAMAV,Enrolment/NAMAV,24923,Formal,MP,GRINDON-EKINS Vanessa,HEALEY Patrick,COOK Darlene,KRIEG Steve,ROB Big,BIRD Elly,1,6
135,Enrolment/NAMAV,Enrolment/NAMAV,24924,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
136,Enrolment/NAMAV,Enrolment/NAMAV,24925,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
137,Enrolment/NAMAV,Enrolment/NAMAV,24926,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
138,Enrolment/NAMAV,Enrolment/NAMAV,24927,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,HEALEY Patrick,KRIEG Steve,ROB Big,1,6
139,Enrolment/NAMAV,Enrolment/NAMAV,24928,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
140,Enrolment/NAMAV,Enrolment/NAMAV,24929,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,skipped,skipped,skipped,skipped,1,6
141,Enrolment/NAMAV,Enrolment/NAMAV,24930,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
142,Enrolment/NAMAV,Enrolment/NAMAV,24931,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,HEALEY Patrick,ROB Big,KRIEG Steve,1,6
143,Enrolment/NAMAV,Enrolment/NAMAV,24932,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
144,Enrolment/NAMAV,Enrolment/NAMAV,24933,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
145,Enrolment/NAMAV,Enrolment/NAMAV,24934,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,BIRD Elly,KRIEG Steve,HEALEY Patrick,ROB Big,1,6
146,Enrolment/NAMAV,Enrolment/NAMAV,24935,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,KRIEG Steve,BIRD Elly,ROB Big,HEALEY Patrick,1,6
147,Enrolment/NAMAV,Enrolment/NAMAV,24936,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
148,Enrolment/NAMAV,Enrolment/NAMAV,24937,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,skipped,skipped,skipped,skipped,1,6
149,Enrolment/NAMAV,Enrolment/NAMAV,24938,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
150,Enrolment/NAMAV,Enrolment/NAMAV,24939,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,BIRD Elly,skipped,skipped,skipped,1,6
151,Enrolment/NAMAV,Enrolment/NAMAV,24940,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,BIRD Elly,skipped,skipped,skipped,1,6
152,Enrolment/NAMAV,Enrolment/NAMAV,24941,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
153,Enrolment/NAMAV,Enrolment/NAMAV,24942,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
154,Enrolment/NAMAV,Enrolment/NAMAV,24943,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
155,Enrolment/NAMAV,Enrolment/NAMAV,24944,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,ROB Big,HEALEY Patrick,KRIEG Steve,COOK Darlene,1,6
156,Enrolment/NAMAV,Enrolment/NAMAV,24945,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,HEALEY Patrick,BIRD Elly,KRIEG Steve,ROB Big,1,6
157,Enrolment/NAMAV,Enrolment/NAMAV,24946,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
158,Enrolment/NAMAV,Enrolment/NAMAV,24947,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,skipped,skipped,skipped,skipped,1,6
159,Enrolment/NAMAV,Enrolment/NAMAV,24948,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
160,Enrolment/NAMAV,Enrolment/NAMAV,24949,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
161,Enrolment/NAMAV,Enrolment/NAMAV,24950,Formal,MP,GRINDON-EKINS Vanessa,BIRD Elly,COOK Darlene,skipped,skipped,skipped,1,6
162,Enrolment/NAMAV,Enrolment/NAMAV,24951,Formal,MP,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,skipped,1,6
163,Enrolment/NAMAV,Enrolment/NAMAV,24952,Formal,MP,GRINDON-EKINS Vanessa,KRIEG Steve,skipped,skipped,skipped,skipped,1,6
164,Enrolment/NAMAV,Enrolment/NAMAV,24953,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,BIRD Elly,ROB Big,HEALEY Patrick,KRIEG Steve,1,6
165,Enrolment/NAMAV,Enrolment/NAMAV,24954,Formal,MP,GRINDON-EKINS Vanessa,COOK Darlene,skipped,skipped,skipped,skipped,1,6
