,VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
49,Enrolment/NAMAV,Enrolment/NAMAV,24618,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
50,Enrolment/NAMAV,Enrolment/NAMAV,24619,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
51,Enrolment/NAMAV,Enrolment/NAMAV,24620,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,GRACE David,WORTHINGTON Alison,SMITH Gary,HATCHER Mat,1,7
52,Enrolment/NAMAV,Enrolment/NAMAV,24621,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
53,Enrolment/NAMAV,Enrolment/NAMAV,24622,Formal,MP,HARRISON N (Tubby),HATCHER Mat,POLLOCK Rob,STARMER Karyn,skipped,skipped,skipped,1,7
54,Enrolment/NAMAV,Enrolment/NAMAV,24623,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
55,Enrolment/NAMAV,Enrolment/NAMAV,24624,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
56,Enrolment/NAMAV,Enrolment/NAMAV,24625,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
57,Enrolment/NAMAV,Enrolment/NAMAV,24626,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
58,Enrolment/NAMAV,Enrolment/NAMAV,24627,Formal,MP,HARRISON N (Tubby),HATCHER Mat,skipped,skipped,skipped,skipped,skipped,1,7
59,Enrolment/NAMAV,Enrolment/NAMAV,24628,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,HATCHER Mat,SMITH Gary,GRACE David,WORTHINGTON Alison,1,7
60,Enrolment/NAMAV,Enrolment/NAMAV,24629,Formal,MP,HARRISON N (Tubby),HATCHER Mat,GRACE David,skipped,skipped,skipped,skipped,1,7
61,Enrolment/NAMAV,Enrolment/NAMAV,24630,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
62,Enrolment/NAMAV,Enrolment/NAMAV,24631,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
63,Enrolment/NAMAV,Enrolment/NAMAV,24632,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
64,Enrolment/NAMAV,Enrolment/NAMAV,24633,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
65,Enrolment/NAMAV,Enrolment/NAMAV,24634,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
66,Enrolment/NAMAV,Enrolment/NAMAV,24635,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,HATCHER Mat,STARMER Karyn,skipped,skipped,skipped,1,7
67,Enrolment/NAMAV,Enrolment/NAMAV,24636,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
68,Enrolment/NAMAV,Enrolment/NAMAV,24637,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
69,Enrolment/NAMAV,Enrolment/NAMAV,24638,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
70,Enrolment/NAMAV,Enrolment/NAMAV,24639,Formal,MP,HARRISON N (Tubby),HATCHER Mat,POLLOCK Rob,STARMER Karyn,skipped,skipped,skipped,1,7
71,Enrolment/NAMAV,Enrolment/NAMAV,24640,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
72,Enrolment/NAMAV,Enrolment/NAMAV,24641,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,1,7
73,Enrolment/NAMAV,Enrolment/NAMAV,24642,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
74,Enrolment/NAMAV,Enrolment/NAMAV,24643,Formal,MP,HARRISON N (Tubby),WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped,1,7
75,Enrolment/NAMAV,Enrolment/NAMAV,24644,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
76,Enrolment/NAMAV,Enrolment/NAMAV,24645,Formal,MP,HARRISON N (Tubby),HATCHER Mat,skipped,skipped,skipped,skipped,skipped,1,7
77,Enrolment/NAMAV,Enrolment/NAMAV,24646,Formal,MP,HARRISON N (Tubby),WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped,1,7
78,Enrolment/NAMAV,Enrolment/NAMAV,24647,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
79,Enrolment/NAMAV,Enrolment/NAMAV,24648,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
80,Enrolment/NAMAV,Enrolment/NAMAV,24649,Formal,MP,STARMER Karyn,GRACE David,SMITH Gary,HARRISON N (Tubby),HATCHER Mat,skipped,skipped,1,7
81,Enrolment/NAMAV,Enrolment/NAMAV,24650,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped,1,7
82,Enrolment/NAMAV,Enrolment/NAMAV,24651,Formal,MP,STARMER Karyn,GRACE David,SMITH Gary,HATCHER Mat,WORTHINGTON Alison,POLLOCK Rob,HARRISON N (Tubby),1,7
83,Enrolment/NAMAV,Enrolment/NAMAV,24652,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped,1,7
84,Enrolment/NAMAV,Enrolment/NAMAV,24653,Formal,MP,STARMER Karyn,GRACE David,WORTHINGTON Alison,HARRISON N (Tubby),POLLOCK Rob,SMITH Gary,HATCHER Mat,1,7
85,Enrolment/NAMAV,Enrolment/NAMAV,24654,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped,1,7
86,Enrolment/NAMAV,Enrolment/NAMAV,24655,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped,1,7
87,Enrolment/NAMAV,Enrolment/NAMAV,24656,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped,1,7
88,Enrolment/NAMAV,Enrolment/NAMAV,24657,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped,1,7
89,Enrolment/NAMAV,Enrolment/NAMAV,24658,Formal,MP,STARMER Karyn,GRACE David,WORTHINGTON Alison,POLLOCK Rob,SMITH Gary,HARRISON N (Tubby),HATCHER Mat,1,7
90,Enrolment/NAMAV,Enrolment/NAMAV,24659,Formal,MP,STARMER Karyn,GRACE David,WORTHINGTON Alison,HATCHER Mat,POLLOCK Rob,HARRISON N (Tubby),SMITH Gary,1,7
91,Enrolment/NAMAV,Enrolment/NAMAV,24660,Formal,MP,STARMER Karyn,GRACE David,WORTHINGTON Alison,skipped,skipped,skipped,skipped,1,7
92,Enrolment/NAMAV,Enrolment/NAMAV,24661,Formal,MP,STARMER Karyn,HARRISON N (Tubby),HATCHER Mat,SMITH Gary,GRACE David,POLLOCK Rob,WORTHINGTON Alison,1,7
93,Enrolment/NAMAV,Enrolment/NAMAV,24662,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped,1,7
94,Enrolment/NAMAV,Enrolment/NAMAV,24663,Formal,MP,STARMER Karyn,HATCHER Mat,WORTHINGTON Alison,skipped,skipped,skipped,skipped,1,7
95,Enrolment/NAMAV,Enrolment/NAMAV,24664,Formal,MP,STARMER Karyn,WORTHINGTON Alison,GRACE David,skipped,skipped,skipped,skipped,1,7
96,Enrolment/NAMAV,Enrolment/NAMAV,24665,Formal,MP,STARMER Karyn,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped,1,7
97,Enrolment/NAMAV,Enrolment/NAMAV,24666,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped,1,7
98,Enrolment/NAMAV,Enrolment/NAMAV,24667,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped,1,7
99,Enrolment/NAMAV,Enrolment/NAMAV,24668,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped,1,7
100,Enrolment/NAMAV,Enrolment/NAMAV,24669,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
101,Enrolment/NAMAV,Enrolment/NAMAV,24670,Formal,MP,HARRISON N (Tubby),SMITH Gary,skipped,skipped,skipped,skipped,skipped,1,7
102,Enrolment/NAMAV,Enrolment/NAMAV,24671,Formal,MP,HARRISON N (Tubby),WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped,1,7
103,Enrolment/NAMAV,Enrolment/NAMAV,24672,Formal,MP,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped,skipped,1,7
104,Enrolment/NAMAV,Enrolment/NAMAV,24673,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,HATCHER Mat,STARMER Karyn,SMITH Gary,GRACE David,WORTHINGTON Alison,1,7
105,Enrolment/NAMAV,Enrolment/NAMAV,24674,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
106,Enrolment/NAMAV,Enrolment/NAMAV,24675,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
107,Enrolment/NAMAV,Enrolment/NAMAV,24676,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
108,Enrolment/NAMAV,Enrolment/NAMAV,24677,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
109,Enrolment/NAMAV,Enrolment/NAMAV,24678,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
110,Enrolment/NAMAV,Enrolment/NAMAV,24679,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
111,Enrolment/NAMAV,Enrolment/NAMAV,24680,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,HATCHER Mat,GRACE David,SMITH Gary,WORTHINGTON Alison,1,7
112,Enrolment/NAMAV,Enrolment/NAMAV,24681,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
113,Enrolment/NAMAV,Enrolment/NAMAV,24682,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
114,Enrolment/NAMAV,Enrolment/NAMAV,24683,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
115,Enrolment/NAMAV,Enrolment/NAMAV,24684,Formal,MP,HARRISON N (Tubby),HATCHER Mat,skipped,skipped,skipped,skipped,skipped,1,7
116,Enrolment/NAMAV,Enrolment/NAMAV,24685,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
117,Enrolment/NAMAV,Enrolment/NAMAV,24686,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
118,Enrolment/NAMAV,Enrolment/NAMAV,24687,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
119,Enrolment/NAMAV,Enrolment/NAMAV,24688,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
120,Enrolment/NAMAV,Enrolment/NAMAV,24689,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
121,Enrolment/NAMAV,Enrolment/NAMAV,24690,Formal,MP,HARRISON N (Tubby),HATCHER Mat,STARMER Karyn,GRACE David,POLLOCK Rob,SMITH Gary,WORTHINGTON Alison,1,7
122,Enrolment/NAMAV,Enrolment/NAMAV,24691,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
123,Enrolment/NAMAV,Enrolment/NAMAV,24692,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
124,Enrolment/NAMAV,Enrolment/NAMAV,24693,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
125,Enrolment/NAMAV,Enrolment/NAMAV,24694,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
126,Enrolment/NAMAV,Enrolment/NAMAV,24695,Formal,MP,HARRISON N (Tubby),HATCHER Mat,skipped,skipped,skipped,skipped,skipped,1,7
127,Enrolment/NAMAV,Enrolment/NAMAV,24696,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,HATCHER Mat,STARMER Karyn,SMITH Gary,WORTHINGTON Alison,GRACE David,1,7
128,Enrolment/NAMAV,Enrolment/NAMAV,24697,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
129,Enrolment/NAMAV,Enrolment/NAMAV,24698,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped,1,7
130,Enrolment/NAMAV,Enrolment/NAMAV,24699,Formal,MP,GRACE David,WORTHINGTON Alison,SMITH Gary,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,1,7
131,Enrolment/NAMAV,Enrolment/NAMAV,24700,Formal,MP,GRACE David,WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped,1,7
132,Enrolment/NAMAV,Enrolment/NAMAV,24701,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped,1,7
133,Enrolment/NAMAV,Enrolment/NAMAV,24702,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped,1,7
134,Enrolment/NAMAV,Enrolment/NAMAV,24703,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped,1,7
135,Enrolment/NAMAV,Enrolment/NAMAV,24704,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped,1,7
136,Enrolment/NAMAV,Enrolment/NAMAV,24705,Formal,MP,GRACE David,WORTHINGTON Alison,STARMER Karyn,skipped,skipped,skipped,skipped,1,7
137,Enrolment/NAMAV,Enrolment/NAMAV,24706,Formal,MP,GRACE David,HARRISON N (Tubby),SMITH Gary,WORTHINGTON Alison,HATCHER Mat,POLLOCK Rob,STARMER Karyn,1,7
138,Enrolment/NAMAV,Enrolment/NAMAV,24707,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped,1,7
139,Enrolment/NAMAV,Enrolment/NAMAV,24708,Formal,MP,GRACE David,HARRISON N (Tubby),SMITH Gary,HATCHER Mat,WORTHINGTON Alison,POLLOCK Rob,STARMER Karyn,1,7
140,Enrolment/NAMAV,Enrolment/NAMAV,24709,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped,1,7
141,Enrolment/NAMAV,Enrolment/NAMAV,24710,Formal,MP,GRACE David,SMITH Gary,skipped,skipped,skipped,skipped,skipped,1,7
142,Enrolment/NAMAV,Enrolment/NAMAV,24711,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped,1,7
143,Enrolment/NAMAV,Enrolment/NAMAV,24712,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped,1,7
144,Enrolment/NAMAV,Enrolment/NAMAV,24713,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped,1,7
145,Enrolment/NAMAV,Enrolment/NAMAV,24714,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped,1,7
146,Enrolment/NAMAV,Enrolment/NAMAV,24715,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped,1,7
147,Enrolment/NAMAV,Enrolment/NAMAV,24716,Formal,MP,GRACE David,STARMER Karyn,WORTHINGTON Alison,SMITH Gary,HATCHER Mat,skipped,skipped,1,7
148,Enrolment/NAMAV,Enrolment/NAMAV,24717,Formal,MP,GRACE David,STARMER Karyn,HATCHER Mat,skipped,skipped,skipped,skipped,1,7
149,Enrolment/NAMAV,Enrolment/NAMAV,24718,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped,1,7
150,Enrolment/NAMAV,Enrolment/NAMAV,24719,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
151,Enrolment/NAMAV,Enrolment/NAMAV,24720,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
152,Enrolment/NAMAV,Enrolment/NAMAV,24721,Formal,MP,HATCHER Mat,POLLOCK Rob,STARMER Karyn,HARRISON N (Tubby),GRACE David,WORTHINGTON Alison,SMITH Gary,1,7
153,Enrolment/NAMAV,Enrolment/NAMAV,24722,Formal,MP,HATCHER Mat,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,1,7
154,Enrolment/NAMAV,Enrolment/NAMAV,24723,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
155,Enrolment/NAMAV,Enrolment/NAMAV,24724,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
156,Enrolment/NAMAV,Enrolment/NAMAV,24725,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
157,Enrolment/NAMAV,Enrolment/NAMAV,24726,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
158,Enrolment/NAMAV,Enrolment/NAMAV,24727,Formal,MP,HATCHER Mat,STARMER Karyn,POLLOCK Rob,HARRISON N (Tubby),SMITH Gary,GRACE David,WORTHINGTON Alison,1,7
159,Enrolment/NAMAV,Enrolment/NAMAV,24728,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
160,Enrolment/NAMAV,Enrolment/NAMAV,24729,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped,1,7
161,Enrolment/NAMAV,Enrolment/NAMAV,24730,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped,1,7
162,Enrolment/NAMAV,Enrolment/NAMAV,24731,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped,1,7
163,Enrolment/NAMAV,Enrolment/NAMAV,24732,Formal,MP,SMITH Gary,HARRISON N (Tubby),HATCHER Mat,STARMER Karyn,POLLOCK Rob,skipped,skipped,1,7
164,Enrolment/NAMAV,Enrolment/NAMAV,24733,Formal,MP,SMITH Gary,POLLOCK Rob,HATCHER Mat,STARMER Karyn,GRACE David,WORTHINGTON Alison,HARRISON N (Tubby),1,7
165,Enrolment/NAMAV,Enrolment/NAMAV,24734,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped,1,7
166,Enrolment/NAMAV,Enrolment/NAMAV,24735,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped,1,7
167,Enrolment/NAMAV,Enrolment/NAMAV,24736,Formal,MP,SMITH Gary,HARRISON N (Tubby),STARMER Karyn,POLLOCK Rob,HATCHER Mat,GRACE David,WORTHINGTON Alison,1,7
168,Enrolment/NAMAV,Enrolment/NAMAV,24737,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped,1,7
169,Enrolment/NAMAV,Enrolment/NAMAV,24738,Formal,MP,SMITH Gary,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,GRACE David,WORTHINGTON Alison,1,7
170,Enrolment/NAMAV,Enrolment/NAMAV,24739,Formal,MP,SMITH Gary,HARRISON N (Tubby),WORTHINGTON Alison,HATCHER Mat,STARMER Karyn,GRACE David,POLLOCK Rob,1,7
171,Enrolment/NAMAV,Enrolment/NAMAV,24740,Formal,MP,SMITH Gary,POLLOCK Rob,GRACE David,HATCHER Mat,skipped,skipped,skipped,1,7
