Precinct,Ballot Style,source_file,rank1,rank2,rank3,numSeats,numCands
AD: 86 ED: 053,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 017,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 86 ED: 054,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 053,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 78 ED: 019,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 86 ED: 070,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 053,,2021P2V1_ELE,writein,Ariel Rivera-Diaz,Aramis Ocasio,1,3
AD: 78 ED: 019,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 045,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 045,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 86 ED: 045,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 86 ED: 045,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 044,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 79 ED: 009,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 045,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 038,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 045,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 86 ED: 045,,2021P2V1_ELE,writein,skipped,skipped,1,3
AD: 86 ED: 045,,2021P2V1_ELE,writein,skipped,skipped,1,3
AD: 86 ED: 037,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 86 ED: 038,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,writein,1,3
AD: 78 ED: 026,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 021,,2021P2V1_ELE,writein,skipped,skipped,1,3
AD: 78 ED: 026,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 020,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 80 ED: 013,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 028,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 79 ED: 009,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 78 ED: 028,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 80 ED: 014,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 80 ED: 062,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 041,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 040,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 78 ED: 019,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 064,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 78 ED: 006,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 78 ED: 062,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 78 ED: 003,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 006,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 78 ED: 005,,2021P2V1_ELE,writein,skipped,skipped,1,3
AD: 87 ED: 004,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 008,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 78 ED: 005,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 78 ED: 063,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 78 ED: 062,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 008,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 87 ED: 020,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 87 ED: 020,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 87 ED: 020,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 87 ED: 020,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 80 ED: 013,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 87 ED: 018,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 87 ED: 019,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 80 ED: 013,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 87 ED: 018,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 80 ED: 013,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 80 ED: 013,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 87 ED: 018,,2021P2V1_ELE,writein,Aramis Ocasio,skipped,1,3
AD: 87 ED: 009,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,writein,1,3
AD: 87 ED: 016,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 87 ED: 009,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 87 ED: 008,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 87 ED: 008,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,writein,1,3
AD: 86 ED: 030,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 041,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 77 ED: 017,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 77 ED: 017,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 86 ED: 040,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 86 ED: 049,,2021P2V1_ELE,writein,skipped,skipped,1,3
AD: 79 ED: 002,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 79 ED: 067,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 86 ED: 049,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 79 ED: 002,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 86 ED: 049,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 79 ED: 002,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
