ballotID,ward,rank1,rank2,rank3,rank4,numSeats,numCands
64,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
68,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
75,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
76,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
77,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
78,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
86,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
100,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
129,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
132,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
139,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
142,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
155,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
157,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
168,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
169,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
170,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
175,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
178,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
191,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
197,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
206,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
212,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
217,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
218,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
219,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
226,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
228,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
231,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
232,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
250,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
270,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
271,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
275,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
276,500,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
282,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
285,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
293,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
295,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
297,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
309,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
310,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
311,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
319,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
330,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
334,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
342,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
343,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
365,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
370,500,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
396,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
411,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
418,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
422,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
435,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
444,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
453,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
457,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
467,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
485,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
495,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
498,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
500,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
504,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
509,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
514,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
550,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
558,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
591,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
595,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
596,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
608,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
611,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
621,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
630,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
633,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
638,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
639,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
644,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
651,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
656,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
667,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
688,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
695,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
701,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
711,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
713,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
724,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
725,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
