ballotID,precinctPortion,ballot_type,countingGroup,precinct,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num cands,Num seats
01662_00000_364876,109.002,Ballot 17 - Type 17,Early,109,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,GREGORY Z SMITH,BEV COURTNEY,ALEXANDER PAIGE FRESQUEZ,JORGE SANCHEZ,ISABELLA SOLIS,MIKE A TELLEZ,10,1
01662_00000_554787,117.001,Ballot 16 - Type 16,Early,117,WILLIAM BILL MATTIACE,BEV COURTNEY,ISABELLA SOLIS,MIKE A TELLEZ,KEN MIYAGISHIMA,JORGE SANCHEZ,skipped,skipped,skipped,skipped,10,1
01662_00000_780103,112.0,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_422991,59.0,Ballot 16 - Type 16,Early,59,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_862085,102.0,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_944991,66.002,Ballot 16 - Type 16,Early,66,JORGE SANCHEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_516242,106.0,Ballot 16 - Type 16,Early,106,BEV COURTNEY,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_087054,116.0,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_680127,47.0,Ballot 20 - Type 20,Early,47,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_728665,117.001,Ballot 16 - Type 16,Early,117,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_779934,59.0,Ballot 16 - Type 16,Early,59,JESUSITA DOLORES LUCERO,EUGENIA (GINA) MONTOYA ORTEGA,GREGORY Z SMITH,JORGE SANCHEZ,BEV COURTNEY,MIKE A TELLEZ,ALEXANDER PAIGE FRESQUEZ,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,ISABELLA SOLIS,10,1
01662_00000_549033,62.0,Ballot 17 - Type 17,Early,62,BEV COURTNEY,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,GREGORY Z SMITH,ALEXANDER PAIGE FRESQUEZ,KEN MIYAGISHIMA,10,1
01662_00000_695631,67.0,Ballot 16 - Type 16,Early,67,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_895108,112.0,Ballot 16 - Type 16,Early,112,EUGENIA (GINA) MONTOYA ORTEGA,JESUSITA DOLORES LUCERO,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_248968,112.0,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_074085,83.002,Ballot 20 - Type 20,Early,83,EUGENIA (GINA) MONTOYA ORTEGA,MIKE A TELLEZ,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_111428,22.002,Ballot 19 - Type 19,Early,22,KEN MIYAGISHIMA,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_401981,62.0,Ballot 17 - Type 17,Early,62,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_687098,116.0,Ballot 16 - Type 16,Early,116,GREGORY Z SMITH,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_155468,102.0,Ballot 16 - Type 16,Early,102,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA,10,1
01662_00000_053186,109.002,Ballot 17 - Type 17,Early,109,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_806282,102.0,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_662522,102.0,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_243254,116.0,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,GREGORY Z SMITH,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_517392,102.0,Ballot 16 - Type 16,Early,102,EUGENIA (GINA) MONTOYA ORTEGA,ISABELLA SOLIS,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_490702,109.002,Ballot 17 - Type 17,Early,109,KEN MIYAGISHIMA,GREGORY Z SMITH,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,BEV COURTNEY,JORGE SANCHEZ,MIKE A TELLEZ,ISABELLA SOLIS,10,1
01662_00000_075179,112.0,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,GREGORY Z SMITH,WILLIAM BILL MATTIACE,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,ISABELLA SOLIS,10,1
01662_00000_427080,102.0,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,GREGORY Z SMITH,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_925150,102.0,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,ISABELLA SOLIS,MIKE A TELLEZ,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_056770,112.0,Ballot 16 - Type 16,Early,112,WILLIAM BILL MATTIACE,ISABELLA SOLIS,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_181336,109.002,Ballot 17 - Type 17,Early,109,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_751491,112.0,Ballot 16 - Type 16,Early,112,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_362210,106.0,Ballot 16 - Type 16,Early,106,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_382026,106.0,Ballot 16 - Type 16,Early,106,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,BEV COURTNEY,MIKE A TELLEZ,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,10,1
01662_00000_173540,102.0,Ballot 16 - Type 16,Early,102,WILLIAM BILL MATTIACE,BEV COURTNEY,MIKE A TELLEZ,ALEXANDER PAIGE FRESQUEZ,ISABELLA SOLIS,JESUSITA DOLORES LUCERO,KEN MIYAGISHIMA,GREGORY Z SMITH,JORGE SANCHEZ,EUGENIA (GINA) MONTOYA ORTEGA,10,1
01662_00000_440051,109.002,Ballot 17 - Type 17,Early,109,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,KEN MIYAGISHIMA,ISABELLA SOLIS,BEV COURTNEY,MIKE A TELLEZ,10,1
01662_00000_856833,109.002,Ballot 17 - Type 17,Early,109,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_533155,112.0,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_004810,112.0,Ballot 16 - Type 16,Early,112,GREGORY Z SMITH,BEV COURTNEY,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,MIKE A TELLEZ,ISABELLA SOLIS,ALEXANDER PAIGE FRESQUEZ,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,KEN MIYAGISHIMA,10,1
01662_00000_142150,113.001,Ballot 20 - Type 20,Early,113,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_001434,106.0,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,MIKE A TELLEZ,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_663838,116.0,Ballot 16 - Type 16,Early,116,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_066175,83.002,Ballot 20 - Type 20,Early,83,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_498981,62.0,Ballot 17 - Type 17,Early,62,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,ALEXANDER PAIGE FRESQUEZ,EUGENIA (GINA) MONTOYA ORTEGA,MIKE A TELLEZ,JORGE SANCHEZ,ISABELLA SOLIS,GREGORY Z SMITH,BEV COURTNEY,skipped,10,1
01662_00000_935205,62.0,Ballot 17 - Type 17,Early,62,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_416103,118.0,Ballot 16 - Type 16,Early,118,KEN MIYAGISHIMA,ISABELLA SOLIS,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_435960,106.0,Ballot 16 - Type 16,Early,106,GREGORY Z SMITH,KEN MIYAGISHIMA,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_863657,106.0,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_551218,83.002,Ballot 20 - Type 20,Early,83,KEN MIYAGISHIMA,GREGORY Z SMITH,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_071463,118.0,Ballot 16 - Type 16,Early,118,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,ISABELLA SOLIS,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA,10,1
01662_00000_283192,116.0,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,MIKE A TELLEZ,ISABELLA SOLIS,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,skipped,10,1
01662_00000_209393,66.002,Ballot 16 - Type 16,Early,66,KEN MIYAGISHIMA,ALEXANDER PAIGE FRESQUEZ,MIKE A TELLEZ,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_459329,102.0,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,GREGORY Z SMITH,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_107888,106.0,Ballot 16 - Type 16,Early,106,GREGORY Z SMITH,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,BEV COURTNEY,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_929603,105.002,Ballot 17 - Type 17,Early,105,MIKE A TELLEZ,WILLIAM BILL MATTIACE,BEV COURTNEY,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,ISABELLA SOLIS,GREGORY Z SMITH,JORGE SANCHEZ,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,10,1
01662_00000_436379,113.001,Ballot 20 - Type 20,Early,113,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_446737,106.0,Ballot 16 - Type 16,Early,106,GREGORY Z SMITH,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_755991,66.002,Ballot 16 - Type 16,Early,66,KEN MIYAGISHIMA,JESUSITA DOLORES LUCERO,GREGORY Z SMITH,ISABELLA SOLIS,MIKE A TELLEZ,JORGE SANCHEZ,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,10,1
01662_00000_915789,67.0,Ballot 16 - Type 16,Early,67,KEN MIYAGISHIMA,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_197561,106.0,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_122072,102.0,Ballot 16 - Type 16,Early,102,GREGORY Z SMITH,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,ISABELLA SOLIS,JORGE SANCHEZ,MIKE A TELLEZ,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,10,1
01662_00000_627274,116.0,Ballot 16 - Type 16,Early,116,WILLIAM BILL MATTIACE,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,JORGE SANCHEZ,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,KEN MIYAGISHIMA,10,1
01662_00000_811494,102.0,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,ISABELLA SOLIS,GREGORY Z SMITH,JORGE SANCHEZ,MIKE A TELLEZ,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,JESUSITA DOLORES LUCERO,BEV COURTNEY,10,1
01662_00000_658597,116.0,Ballot 16 - Type 16,Early,116,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_241641,62.0,Ballot 17 - Type 17,Early,62,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_463061,62.0,Ballot 17 - Type 17,Early,62,ISABELLA SOLIS,MIKE A TELLEZ,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_185097,59.0,Ballot 16 - Type 16,Early,59,JESUSITA DOLORES LUCERO,ISABELLA SOLIS,WILLIAM BILL MATTIACE,BEV COURTNEY,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_139540,112.0,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,JESUSITA DOLORES LUCERO,MIKE A TELLEZ,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_567043,61.0,Ballot 16 - Type 16,Early,61,KEN MIYAGISHIMA,JORGE SANCHEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_118768,112.0,Ballot 16 - Type 16,Early,112,GREGORY Z SMITH,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,KEN MIYAGISHIMA,ALEXANDER PAIGE FRESQUEZ,WILLIAM BILL MATTIACE,BEV COURTNEY,ISABELLA SOLIS,JORGE SANCHEZ,EUGENIA (GINA) MONTOYA ORTEGA,10,1
01662_00000_384794,106.0,Ballot 16 - Type 16,Early,106,MIKE A TELLEZ,EUGENIA (GINA) MONTOYA ORTEGA,BEV COURTNEY,ISABELLA SOLIS,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA,10,1
01662_00000_240725,106.0,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,MIKE A TELLEZ,GREGORY Z SMITH,EUGENIA (GINA) MONTOYA ORTEGA,BEV COURTNEY,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,JESUSITA DOLORES LUCERO,ISABELLA SOLIS,10,1
01662_00000_529186,112.0,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,GREGORY Z SMITH,EUGENIA (GINA) MONTOYA ORTEGA,ISABELLA SOLIS,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,MIKE A TELLEZ,BEV COURTNEY,JORGE SANCHEZ,10,1
01662_00000_788317,116.0,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,MIKE A TELLEZ,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_723851,29.0,Ballot 2 - Type 2,Early,29,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_581944,105.002,Ballot 17 - Type 17,Early,105,GREGORY Z SMITH,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,BEV COURTNEY,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_607745,116.0,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_523470,61.0,Ballot 16 - Type 16,Early,61,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_016986,59.0,Ballot 16 - Type 16,Early,59,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_443298,59.0,Ballot 16 - Type 16,Early,59,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,JESUSITA DOLORES LUCERO,ISABELLA SOLIS,JORGE SANCHEZ,MIKE A TELLEZ,BEV COURTNEY,GREGORY Z SMITH,ALEXANDER PAIGE FRESQUEZ,WILLIAM BILL MATTIACE,10,1
01662_00000_415817,106.0,Ballot 16 - Type 16,Early,106,MIKE A TELLEZ,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_274522,42.0,Ballot 20 - Type 20,Early,42,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_264631,62.0,Ballot 17 - Type 17,Early,62,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,ISABELLA SOLIS,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,GREGORY Z SMITH,KEN MIYAGISHIMA,BEV COURTNEY,10,1
01662_00000_991807,117.001,Ballot 16 - Type 16,Early,117,MIKE A TELLEZ,KEN MIYAGISHIMA,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,GREGORY Z SMITH,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,ISABELLA SOLIS,BEV COURTNEY,WILLIAM BILL MATTIACE,10,1
01662_00000_006043,112.0,Ballot 16 - Type 16,Early,112,WILLIAM BILL MATTIACE,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,BEV COURTNEY,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,ISABELLA SOLIS,skipped,skipped,skipped,10,1
01662_00000_030196,62.0,Ballot 17 - Type 17,Early,62,GREGORY Z SMITH,KEN MIYAGISHIMA,BEV COURTNEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_654836,112.0,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_506420,62.0,Ballot 17 - Type 17,Early,62,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,KEN MIYAGISHIMA,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_101022,106.0,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_903359,67.0,Ballot 16 - Type 16,Early,67,WILLIAM BILL MATTIACE,ISABELLA SOLIS,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_701514,102.0,Ballot 16 - Type 16,Early,102,EUGENIA (GINA) MONTOYA ORTEGA,MIKE A TELLEZ,BEV COURTNEY,ISABELLA SOLIS,ALEXANDER PAIGE FRESQUEZ,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,skipped,skipped,skipped,10,1
01662_00000_011639,59.0,Ballot 16 - Type 16,Early,59,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,1
01662_00000_373364,106.0,Ballot 16 - Type 16,Early,106,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA,10,1
01662_00000_937447,62.0,Ballot 17 - Type 17,Early,62,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA,10,1
01662_00000_202876,102.0,Ballot 16 - Type 16,Early,102,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,ALEXANDER PAIGE FRESQUEZ,MIKE A TELLEZ,GREGORY Z SMITH,ISABELLA SOLIS,JORGE SANCHEZ,EUGENIA (GINA) MONTOYA ORTEGA,JESUSITA DOLORES LUCERO,BEV COURTNEY,10,1
01662_00000_597257,102.0,Ballot 16 - Type 16,Early,102,GREGORY Z SMITH,WILLIAM BILL MATTIACE,MIKE A TELLEZ,ISABELLA SOLIS,KEN MIYAGISHIMA,JESUSITA DOLORES LUCERO,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,10,1
