10 1
27 1 0
54 4 2 7 0
99 4 2 8 0
90 4 2 9 0
126 4 2 10 0
7 4 3 0
15 4 3 2 0
4 4 3 6 0
6 4 3 7 0
7 4 3 8 0
5 4 3 9 0
4 4 3 10 0
23 4 5 0
33 4 5 2 0
3 4 5 3 0
13 4 5 6 0
19 4 5 7 0
33 4 5 8 0
43 4 5 9 0
52 4 5 10 0
10 4 6 0
20 4 6 2 0
8 4 6 3 0
10 4 6 5 0
3 4 6 7 0
11 4 6 8 0
15 4 6 9 0
31 4 6 10 0
37 4 7 0
52 4 7 2 0
5 4 7 3 0
18 4 7 5 0
12 4 7 6 0
13 4 7 8 0
108 4 7 9 0
41 4 7 10 0
10 4 8 0
38 4 8 2 0
15 4 8 3 0
15 4 8 5 0
6 4 8 6 0
3 4 8 7 0
10 4 8 9 0
12 4 8 10 0
144 4 9 0
1 4 9 1 0
127 4 9 2 0
10 4 9 3 0
86 4 9 5 0
24 4 9 6 0
191 4 9 7 0
38 4 9 8 0
153 4 9 10 0
103 4 10 0
1 4 10 1 0
121 4 10 2 0
13 4 10 3 0
63 4 10 5 0
57 4 10 6 0
55 4 10 7 0
36 4 10 8 0
152 4 10 9 0
306 5 0
1 5 1 0
12 5 2 0
3 5 2 3 0
41 5 2 4 0
12 5 2 6 0
18 5 2 7 0
15 5 2 8 0
15 5 2 9 0
40 5 2 10 0
1 5 3 0
1 5 3 2 0
2 5 3 6 0
3 5 3 7 0
3 5 3 8 0
5 5 3 10 0
20 5 4 0
37 5 4 2 0
3 5 4 3 0
11 5 4 6 0
15 5 4 7 0
13 5 4 8 0
38 5 4 9 0
82 5 4 10 0
7 5 6 0
4 5 6 2 0
2 5 6 3 0
10 5 6 4 0
11 5 6 7 0
6 5 6 8 0
9 5 6 9 0
22 5 6 10 0
8 5 7 0
10 5 7 2 0
1 5 7 3 0
19 5 7 4 0
5 5 7 6 0
7 5 7 8 0
9 5 7 9 0
16 5 7 10 0
63 5 8 0
27 5 8 2 0
8 5 8 3 0
28 5 8 4 0
14 5 8 6 0
8 5 8 7 0
210 5 8 9 0
54 5 8 10 0
110 5 9 0
1 5 9 1 0
29 5 9 2 0
2 5 9 3 0
62 5 9 4 0
7 5 9 6 0
25 5 9 7 0
407 5 9 8 0
130 5 9 10 0
89 5 10 0
70 5 10 2 0
3 5 10 3 0
56 5 10 4 0
66 5 10 6 0
32 5 10 7 0
60 5 10 8 0
111 5 10 9 0
293 6 0
3 6 1 0
27 6 2 0
3 6 2 3 0
34 6 2 4 0
13 6 2 5 0
15 6 2 7 0
9 6 2 8 0
6 6 2 9 0
36 6 2 10 0
7 6 3 0
4 6 3 2 0
10 6 3 4 0
3 6 3 5 0
9 6 3 7 0
5 6 3 8 0
3 6 3 9 0
11 6 3 10 0
8 6 4 0
21 6 4 2 0
1 6 4 3 0
13 6 4 5 0
5 6 4 7 0
9 6 4 8 0
14 6 4 9 0
24 6 4 10 0
9 6 5 0
