District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
Albury,Absent,41414,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41415,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41416,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41417,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41418,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41419,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41420,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41421,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41422,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41423,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41424,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41425,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41426,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41427,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41428,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41429,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41430,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41431,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41432,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41433,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41434,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41435,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41436,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41437,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41438,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41439,Formal,MARRA John,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41440,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41441,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41442,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41443,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41444,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41445,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41446,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41447,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41448,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41449,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41450,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41451,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41452,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41453,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41454,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41455,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41456,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41457,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41458,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41459,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41460,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41461,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41462,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41463,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41464,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41465,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41466,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41467,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41468,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41469,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41470,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41471,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41472,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41473,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41474,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41475,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41476,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41477,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41478,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41479,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41480,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41481,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41482,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41483,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41484,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41485,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41486,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41487,Formal,APLIN Greg,skipped,skipped,skipped,skipped,1,6
