District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,numSeats,numCands
Mulgoa,Abbotsbury Uniting,29346,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29347,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29348,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29349,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29350,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29351,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29352,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29353,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29354,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29355,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29356,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29357,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29358,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29359,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29360,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29361,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29362,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29363,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29364,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29365,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29366,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29367,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29368,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29369,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29370,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29371,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29372,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29373,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29374,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29375,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29376,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29377,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29378,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29379,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29380,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29381,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29382,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29383,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29384,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29385,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29386,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29387,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29388,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29389,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29390,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29391,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29392,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29393,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29394,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29395,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29396,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29397,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29398,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29399,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29400,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29401,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29402,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29403,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29404,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29405,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29406,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29407,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29408,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29409,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29410,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29411,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29412,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29413,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29414,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29415,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29416,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29417,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29418,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29419,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29420,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29421,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29422,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29423,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29424,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29425,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29426,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29427,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29428,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29429,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29430,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29431,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29432,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29433,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29434,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29435,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29436,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29437,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29438,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29439,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29440,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29441,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29442,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29443,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29444,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29445,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29446,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29447,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29448,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29449,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29450,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29451,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29452,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29453,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29454,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29455,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29456,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29457,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29458,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29459,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29460,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29461,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29462,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29463,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29464,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29465,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29466,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29467,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29468,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29469,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29470,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29471,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29472,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29473,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29474,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29475,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29476,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29477,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29478,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29479,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29480,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29481,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29482,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29483,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29484,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29485,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29486,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29487,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29488,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29489,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29490,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29491,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29492,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29493,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29494,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29495,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29496,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29497,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29498,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29499,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29500,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29501,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29502,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29503,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29504,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29505,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29506,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29507,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29508,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29509,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29510,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29511,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29512,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29513,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29514,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29515,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29516,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29517,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29518,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29519,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29520,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29521,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29522,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29523,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29524,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29525,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29526,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29527,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29528,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29529,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29530,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29531,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29532,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29533,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29534,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29535,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29536,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29537,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29538,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29539,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29540,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29541,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29542,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29543,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29544,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29545,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29546,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29547,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29548,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29549,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29550,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29551,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29552,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29553,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29554,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29555,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29556,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29557,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29558,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29559,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29560,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29561,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29562,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29563,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29564,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29565,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29566,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29567,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29568,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29569,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29570,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29571,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29572,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29573,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29574,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29575,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29576,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29577,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29578,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29579,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29580,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29581,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29582,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29583,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29584,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29585,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29586,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29587,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29588,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29589,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
