voterId,rank1,rank2,rank3,rank4,numSeats,numCands
297,Con,LD,skipped,skipped,3,4
298,Con,LD,skipped,skipped,3,4
299,Con,LD,skipped,skipped,3,4
300,Con,LD,skipped,skipped,3,4
301,Con,LD,skipped,skipped,3,4
302,Con,LD,skipped,skipped,3,4
303,Con,LD,skipped,skipped,3,4
304,Con,LD,skipped,skipped,3,4
305,Con,LD,skipped,skipped,3,4
306,Con,LD,skipped,skipped,3,4
307,Con,LD,skipped,skipped,3,4
308,Con,LD,skipped,skipped,3,4
309,Con,LD,skipped,skipped,3,4
310,Con,LD,skipped,skipped,3,4
311,Con,LD,skipped,skipped,3,4
312,Con,LD,skipped,skipped,3,4
313,Con,LD,skipped,skipped,3,4
314,Con,LD,skipped,skipped,3,4
315,Con,LD,skipped,skipped,3,4
316,Con,LD,skipped,skipped,3,4
317,Con,LD,skipped,skipped,3,4
318,Con,LD,skipped,skipped,3,4
319,Con,LD,skipped,skipped,3,4
320,Con,LD,skipped,skipped,3,4
321,Con,LD,skipped,skipped,3,4
322,Con,LD,skipped,skipped,3,4
323,Con,LD,skipped,skipped,3,4
324,Con,LD,skipped,skipped,3,4
325,Con,LD,skipped,skipped,3,4
326,Con,LD,skipped,skipped,3,4
327,Con,LD,skipped,skipped,3,4
328,Con,LD,skipped,skipped,3,4
329,Con,LD,skipped,skipped,3,4
330,Con,LD,skipped,skipped,3,4
331,Con,LD,skipped,skipped,3,4
332,Con,LD,skipped,skipped,3,4
333,Con,LD,skipped,skipped,3,4
334,Con,LD,skipped,skipped,3,4
335,Con,LD,skipped,skipped,3,4
336,Con,LD,skipped,skipped,3,4
337,Con,LD,skipped,skipped,3,4
338,Con,LD,skipped,skipped,3,4
339,Con,LD,skipped,skipped,3,4
340,Con,LD,skipped,skipped,3,4
341,Con,LD,skipped,skipped,3,4
342,Con,LD,skipped,skipped,3,4
343,Con,LD,skipped,skipped,3,4
344,Con,LD,skipped,skipped,3,4
345,Con,LD,skipped,skipped,3,4
346,Con,LD,skipped,skipped,3,4
347,Con,LD,skipped,skipped,3,4
348,Con,LD,skipped,skipped,3,4
349,Con,LD,skipped,skipped,3,4
350,Con,LD,skipped,skipped,3,4
351,Con,LD,skipped,skipped,3,4
352,Con,LD,skipped,skipped,3,4
353,Con,LD,skipped,skipped,3,4
354,Con,LD,skipped,skipped,3,4
355,Con,LD,skipped,skipped,3,4
356,Con,LD,skipped,skipped,3,4
357,Con,LD,skipped,skipped,3,4
358,Con,LD,skipped,skipped,3,4
359,Con,LD,skipped,skipped,3,4
360,Con,LD,skipped,skipped,3,4
361,Con,LD,skipped,skipped,3,4
362,Con,LD,skipped,skipped,3,4
363,Con,LD,skipped,skipped,3,4
364,Con,LD,skipped,skipped,3,4
365,Con,LD,skipped,skipped,3,4
366,Con,LD,skipped,skipped,3,4
367,Con,LD,skipped,skipped,3,4
368,Con,LD,skipped,skipped,3,4
369,Con,LD,skipped,skipped,3,4
370,Con,LD,skipped,skipped,3,4
371,Con,LD,skipped,skipped,3,4
372,Con,LD,skipped,skipped,3,4
373,Con,LD,skipped,skipped,3,4
374,Con,LD,skipped,skipped,3,4
375,Con,LD,skipped,skipped,3,4
376,Con,LD,skipped,skipped,3,4
377,Con,LD,skipped,skipped,3,4
378,Con,LD,skipped,skipped,3,4
379,Con,LD,skipped,skipped,3,4
380,Con,LD,skipped,skipped,3,4
381,Con,LD,skipped,skipped,3,4
382,Con,LD,skipped,skipped,3,4
383,Con,LD,skipped,skipped,3,4
384,Con,LD,skipped,skipped,3,4
385,Con,LD,skipped,skipped,3,4
386,Con,LD,skipped,skipped,3,4
387,Con,LD,skipped,skipped,3,4
388,Con,LD,skipped,skipped,3,4
389,Con,LD,skipped,skipped,3,4
390,Con,LD,skipped,skipped,3,4
391,Con,LD,skipped,skipped,3,4
392,Con,LD,skipped,skipped,3,4
393,Con,LD,skipped,skipped,3,4
394,Con,LD,skipped,skipped,3,4
395,Con,LD,skipped,skipped,3,4
396,Con,LD,skipped,skipped,3,4
397,Con,LD,skipped,skipped,3,4
398,Con,LD,skipped,skipped,3,4
399,Con,LD,skipped,skipped,3,4
400,Con,LD,skipped,skipped,3,4
401,Con,LD,skipped,skipped,3,4
402,Con,LD,skipped,skipped,3,4
403,Con,LD,skipped,skipped,3,4
404,Con,LD,skipped,skipped,3,4
405,Con,LD,skipped,skipped,3,4
406,Con,LD,skipped,skipped,3,4
407,Con,LD,skipped,skipped,3,4
408,Con,LD,skipped,skipped,3,4
409,Con,LD,skipped,skipped,3,4
410,Con,LD,skipped,skipped,3,4
411,Con,LD,skipped,skipped,3,4
