file,candidate_removed,plurality,IRV,top-two,borda-pm,top-3-truncation,condorcet,minimax,smith,smith-minimax,ranked-pairs
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Ballina-mayoral-finalpreferencedatafile (1).csv,JOHNSTON Eoin,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,none,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,SHAHAMAT Vida,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,YAZDANI Ereboni (Alexia),GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,ROZYCKI Jerzy (George),GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,GANGEMI Peter,TRACEY Ryan,TRACEY Ryan,TRACEY Ryan,TRACEY Ryan,TRACEY Ryan,TRACEY Ryan,TRACEY Ryan,TRACEY Ryan,TRACEY Ryan,TRACEY Ryan
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,TRACEY Ryan,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Nambucca_Valley-mayoral-finalpreferencedatafile.csv,none,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Nambucca_Valley-mayoral-finalpreferencedatafile.csv,HOBAN Rhonda,JENVEY Susan,JENVEY Susan,unknown,JENVEY Susan,JENVEY Susan,JENVEY Susan,JENVEY Susan,JENVEY Susan,JENVEY Susan,JENVEY Susan
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Nambucca_Valley-mayoral-finalpreferencedatafile.csv,JENVEY Susan,HOBAN Rhonda,HOBAN Rhonda,unknown,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,none,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,MOORE Clover,SCOTT Linda,SCOTT Linda,SCOTT Linda,SCOTT Linda,SCOTT Linda,WELDON Yvonne,WELDON Yvonne,WELDON Yvonne,WELDON Yvonne,WELDON Yvonne
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,WELDON Yvonne,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,JARRETT Shauna,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,SCOTT Linda,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,VITHOULKAS Angela,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,ELLSMORE Sylvie,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,none,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,SWAN Tegan,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,CASSELL Jonathan,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,PIKE Donna,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,ADENDORFF Michael,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,CECATO George,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,PRYCE Rodger,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,AMOS Paul,PRYCE Rodger,PRYCE Rodger,PRYCE Rodger,PRYCE Rodger,PRYCE Rodger,SWAN Tegan,SWAN Tegan,SWAN Tegan,SWAN Tegan,SWAN Tegan
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,JUDGE Tony,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,TOWNLEY Sally,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,ARKAN John,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,none,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,COOK Darlene,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,BIRD Elly,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,ROB Big,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,KRIEG Steve,ROB Big,GRINDON-EKINS Vanessa,GRINDON-EKINS Vanessa,BIRD Elly,BIRD Elly,BIRD Elly,BIRD Elly,BIRD Elly,BIRD Elly,BIRD Elly
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,GRINDON-EKINS Vanessa,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,HEALEY Patrick,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,none,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,SMITH Gary,HATCHER Mat,GRACE David,HATCHER Mat,HATCHER Mat
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,SMITH Gary,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,GRACE David,HATCHER Mat,GRACE David,HATCHER Mat,HATCHER Mat
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,GRACE David,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,HARRISON N (Tubby),HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,SMITH Gary,HATCHER Mat,GRACE David,HATCHER Mat,HATCHER Mat
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,WORTHINGTON Alison,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,SMITH Gary,HATCHER Mat,GRACE David,HATCHER Mat,HATCHER Mat
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,POLLOCK Rob,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,SMITH Gary,HATCHER Mat,GRACE David,HATCHER Mat,HATCHER Mat
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,HATCHER Mat,POLLOCK Rob,STARMER Karyn,STARMER Karyn,STARMER Karyn,STARMER Karyn,SMITH Gary,STARMER Karyn,GRACE David,STARMER Karyn,STARMER Karyn
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,STARMER Karyn,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,GRACE David,GRACE David,GRACE David,GRACE David,GRACE David
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,none,HOMER Chris,HOMER Chris,HOMER Chris,HOMER Chris,HOMER Chris,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,HOMER Chris,SALIBA Marianne,SALIBA Marianne,unknown,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,SALIBA Marianne,HOMER Chris,HOMER Chris,unknown,HOMER Chris,HOMER Chris,HOMER Chris,HOMER Chris,HOMER Chris,HOMER Chris,HOMER Chris
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,none,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,CHARLTON Belinda,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,THOMPSON Danny,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,JARRETT Tony,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,MOORE Sue,THOMPSON Danny,THOMPSON Danny,THOMPSON Danny,THOMPSON Danny,THOMPSON Danny,THOMPSON Danny,THOMPSON Danny,THOMPSON Danny,THOMPSON Danny,THOMPSON Danny
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,none,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,STRUTT Isabel,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,LEDGER Natasha,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,BELL Robert,STRUTT Isabel,STRUTT Isabel,STRUTT Isabel,STRUTT Isabel,STRUTT Isabel,STRUTT Isabel,STRUTT Isabel,STRUTT Isabel,STRUTT Isabel,STRUTT Isabel
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,none,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,KITCHENER Mark,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,WHITE Patricia,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,FINDLEY Amanda,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,WATSON Greg,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,GREEN Paul,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,KITCHENER Mark,KITCHENER Mark,KITCHENER Mark,KITCHENER Mark,KITCHENER Mark
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,DIGIGLIO Nina,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,none,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,SHEPPARD Rachel,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,PINSON Peta,SHEPPARD Rachel,SHEPPARD Rachel,SHEPPARD Rachel,SHEPPARD Rachel,SHEPPARD Rachel,SHEPPARD Rachel,SHEPPARD Rachel,SHEPPARD Rachel,SHEPPARD Rachel,SHEPPARD Rachel
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,GATES Steven,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,LIPOVAC Nik,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,INTEMANN Lisa,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Richmond_Valley-mayoral-finalpreferencedatafile.csv,none,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Richmond_Valley-mayoral-finalpreferencedatafile.csv,HAYES Robert,MUSTOW Robert,MUSTOW Robert,unknown,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Richmond_Valley-mayoral-finalpreferencedatafile.csv,MUSTOW Robert,HAYES Robert,HAYES Robert,unknown,HAYES Robert,HAYES Robert,HAYES Robert,HAYES Robert,HAYES Robert,HAYES Robert,HAYES Robert
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,none,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,FRASER Kay,PAULING Jason,DAWSON Rosmairi,DAWSON Rosmairi,DAWSON Rosmairi,DAWSON Rosmairi,DAWSON Rosmairi,DAWSON Rosmairi,DAWSON Rosmairi,DAWSON Rosmairi,DAWSON Rosmairi
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,PAULING Jason,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,CUBIS Luke,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,DAWSON Rosmairi,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay
