file,candidate_removed,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval
/Alaska/Alaska_11082022_HouseDistrict23.csv,Write-in,"['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']"
/Alaska/Alaska_11082022_HouseDistrict23.csv,"Allard, Jamie","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']","['Branson, Roger L.']"
/Alaska/Alaska_11082022_HouseDistrict23.csv,"Branson, Roger L.","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']"
/Alaska/Alaska_11082022_HouseDistrict37.csv,"Edgmon, Bryce",['Write-in'],['Write-in'],[None],['Write-in'],['Write-in'],['Write-in'],"['W', 'r', 'i', 't', 'e', '-', 'i', 'n']",['Write-in'],['Write-in'],['Write-in'],['Write-in'],['Write-in'],['Write-in'],[None],['Write-in'],[None]
/Alaska/Alaska_11082022_HouseDistrict37.csv,Write-in,"['Edgmon, Bryce']","['Edgmon, Bryce']",[None],"['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['E', 'd', 'g', 'm', 'o', 'n', ',', ' ', 'B', 'r', 'y', 'c', 'e']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']",[None],"['Edgmon, Bryce']",[None]
/Alaska/Alaska_11082022_HouseDistrict36.csv,"Fowler, Angela K. ""Fitch""","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']"
/Alaska/Alaska_11082022_HouseDistrict36.csv,Write-in,"['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']"
/Alaska/Alaska_11082022_HouseDistrict36.csv,"Cronk, Mike","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']","['Fowler, Angela K. ""Fitch""']"
/Alaska/Alaska_11082022_HouseDistrict22.csv,Write-in,"['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']"
/Alaska/Alaska_11082022_HouseDistrict22.csv,"Eischeid, Ted J.","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']"
/Alaska/Alaska_11082022_HouseDistrict22.csv,"Wright, Stanley A.","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']"
/Alaska/Alaska_08162022_HouseofRepresentativesSpecial.csv,"Palin, Sarah","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']"
/Alaska/Alaska_08162022_HouseofRepresentativesSpecial.csv,"Peltola, Mary S.","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']"
/Alaska/Alaska_08162022_HouseofRepresentativesSpecial.csv,Write-in,"['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']"
/Alaska/Alaska_08162022_HouseofRepresentativesSpecial.csv,"Begich, Nick","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']"
/Alaska/Alaska_11082022_HouseDistrict34.csv,"Hopkins, Grier H.","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']"
