voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
3996,Pamela RUDDY Scottish Labour Party,Martin SHEPHERD Scottish National Party (SNP),Serena Mary COWDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3997,Pamela RUDDY Scottish Labour Party,Martin SHEPHERD Scottish National Party (SNP),Serena Mary COWDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3998,Pamela RUDDY Scottish Labour Party,Martin SHEPHERD Scottish National Party (SNP),Serena Mary COWDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3999,Pamela RUDDY Scottish Labour Party,Martin SHEPHERD Scottish National Party (SNP),Serena Mary COWDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4000,Pamela RUDDY Scottish Labour Party,Serena Mary COWDY Scottish National Party (SNP),Lisa KEOGH Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4001,Ian WREN Independent,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4002,Ian WREN Independent,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4003,Ian WREN Independent,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4004,Ian WREN Independent,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4005,Ian WREN Independent,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4006,Ian WREN Independent,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4007,Ian WREN Independent,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4008,Ian WREN Independent,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4009,Ian WREN Independent,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4010,Ian WREN Independent,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4011,Ian WREN Independent,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4012,Serena Mary COWDY Scottish National Party (SNP),Martin SHEPHERD Scottish National Party (SNP),Anne Julia CAMPBELL Scottish Green Party,Lisa KEOGH Alba Party for independence,David FAIRWEATHER Independent,Rod FALCONER Scottish Liberal Democrats,Pamela RUDDY Scottish Labour Party,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,Ian WREN Independent,4
4013,Anne Julia CAMPBELL Scottish Green Party,Serena Mary COWDY Scottish National Party (SNP),David FAIRWEATHER Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4014,Louise NICOL Scottish Conservative and Unionist,David FAIRWEATHER Independent,Juliet VIVERS Scottish Conservative and Unionist,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,4
4015,Serena Mary COWDY Scottish National Party (SNP),Ian WREN Independent,Pamela RUDDY Scottish Labour Party,Juliet VIVERS Scottish Conservative and Unionist,Martin SHEPHERD Scottish National Party (SNP),Louise NICOL Scottish Conservative and Unionist,David FAIRWEATHER Independent,Lisa KEOGH Alba Party for independence,Rod FALCONER Scottish Liberal Democrats,Anne Julia CAMPBELL Scottish Green Party,4
4016,Serena Mary COWDY Scottish National Party (SNP),Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,Martin SHEPHERD Scottish National Party (SNP),David FAIRWEATHER Independent,Ian WREN Independent,Juliet VIVERS Scottish Conservative and Unionist,Rod FALCONER Scottish Liberal Democrats,Louise NICOL Scottish Conservative and Unionist,Lisa KEOGH Alba Party for independence,4
4017,Martin SHEPHERD Scottish National Party (SNP),Serena Mary COWDY Scottish National Party (SNP),Lisa KEOGH Alba Party for independence,Anne Julia CAMPBELL Scottish Green Party,David FAIRWEATHER Independent,skipped,skipped,skipped,skipped,skipped,4
4018,Martin SHEPHERD Scottish National Party (SNP),Serena Mary COWDY Scottish National Party (SNP),Lisa KEOGH Alba Party for independence,Anne Julia CAMPBELL Scottish Green Party,David FAIRWEATHER Independent,skipped,skipped,skipped,skipped,skipped,4
4019,Martin SHEPHERD Scottish National Party (SNP),Serena Mary COWDY Scottish National Party (SNP),Lisa KEOGH Alba Party for independence,Anne Julia CAMPBELL Scottish Green Party,David FAIRWEATHER Independent,skipped,skipped,skipped,skipped,skipped,4
4020,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,4
4021,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,4
