filename,elections_with_changes,country,percentage,method,IRV,approval,borda-avg-no-uwi,borda-om-no-uwi,borda-pm,bucklin,condorcet,minimax,plurality,ranked-pairs,smith-minimax,smith_irv,smith_plurality,top-3-truncation,top-two
australia_0.8-mention_scores_no_bottom_third,48,australia,0.8,mention_scores_no_bottom_third,,,,40,,10,,,,,,,,,
australia_0.4-mention_scores_no_bottom_third,0,australia,0.4,mention_scores_no_bottom_third,,,,,,,,,,,,,,,
australia_0.7-mention2,0,australia,0.7,mention2,,,,,,,,,,,,,,,
australia_0.6-mention2,0,australia,0.6,mention2,,,,,,,,,,,,,,,
australia_0.1-mention2,0,australia,0.1,mention2,,,,,,,,,,,,,,,
australia_0.3-mention2,0,australia,0.3,mention2,,,,,,,,,,,,,,,
australia_0.2-mention2,0,australia,0.2,mention2,,,,,,,,,,,,,,,
australia_0.5-mention2,0,australia,0.5,mention2,,,,,,,,,,,,,,,
australia_0.9-mention2,1,australia,0.9,mention2,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
australia_0.8-mention2,0,australia,0.8,mention2,,,,,,,,,,,,,,,
australia_0.4-mention2,0,australia,0.4,mention2,,,,,,,,,,,,,,,
australia_0.7-borda2,0,australia,0.7,borda2,,,,,,,,,,,,,,,
australia_0.6-borda2,0,australia,0.6,borda2,,,,,,,,,,,,,,,
australia_0.1-borda2,0,australia,0.1,borda2,,,,,,,,,,,,,,,
australia_0.3-borda2,0,australia,0.3,borda2,,,,,,,,,,,,,,,
australia_0.2-borda2,0,australia,0.2,borda2,,,,,,,,,,,,,,,
australia_0.5-borda2,0,australia,0.5,borda2,,,,,,,,,,,,,,,
australia_0.9-borda2,1,australia,0.9,borda2,,1,,,,,,,,,,,,,
australia_0.8-borda2,1,australia,0.8,borda2,,1,,,,,,,,,,,,,
australia_0.4-borda2,0,australia,0.4,borda2,,,,,,,,,,,,,,,
scotland_0.6-borda_scores,2,scotland,0.6,borda_scores,,,,,,1,,,1,,,,1,,
scotland_0.7-borda_scores,12,scotland,0.7,borda_scores,,,,,,11,,,1,,,,1,,
scotland_0.1-borda_scores,0,scotland,0.1,borda_scores,,,,,,,,,,,,,,,
scotland_0.2-borda_scores,0,scotland,0.2,borda_scores,,,,,,,,,,,,,,,
scotland_0.3-borda_scores,0,scotland,0.3,borda_scores,,,,,,,,,,,,,,,
scotland_0.8-borda_scores,22,scotland,0.8,borda_scores,,,,,,19,,,2,,,,2,,1
scotland_0.4-borda_scores,0,scotland,0.4,borda_scores,,,,,,,,,,,,,,,
scotland_0.5-borda_scores,0,scotland,0.5,borda_scores,,,,,,,,,,,,,,,
scotland_0.9-borda_scores,31,scotland,0.9,borda_scores,,,,,,24,,,6,,,,6,,2
scotland_0.6-mention_scores,2,scotland,0.6,mention_scores,,,,,,,,,2,,,,2,,
scotland_0.7-mention_scores,16,scotland,0.7,mention_scores,,,,,,8,,,9,,,,9,,
scotland_0.1-mention_scores,0,scotland,0.1,mention_scores,,,,,,,,,,,,,,,
scotland_0.2-mention_scores,0,scotland,0.2,mention_scores,,,,,,,,,,,,,,,
scotland_0.3-mention_scores,0,scotland,0.3,mention_scores,,,,,,,,,,,,,,,
scotland_0.8-mention_scores,33,scotland,0.8,mention_scores,,,,,,19,,,16,,,,16,,1
scotland_0.4-mention_scores,0,scotland,0.4,mention_scores,,,,,,,,,,,,,,,
scotland_0.5-mention_scores,0,scotland,0.5,mention_scores,,,,,,,,,,,,,,,
scotland_0.9-mention_scores,40,scotland,0.9,mention_scores,2,,,1,,22,,,19,,,2,19,2,1
scotland_0.6-borda_scores_no_bottom_third,2,scotland,0.6,borda_scores_no_bottom_third,,,,,,1,,,1,,,,1,,
scotland_0.7-borda_scores_no_bottom_third,29,scotland,0.7,borda_scores_no_bottom_third,,,,,,19,,,10,,,,10,,
scotland_0.1-borda_scores_no_bottom_third,0,scotland,0.1,borda_scores_no_bottom_third,,,,,,,,,,,,,,,
scotland_0.2-borda_scores_no_bottom_third,0,scotland,0.2,borda_scores_no_bottom_third,,,,,,,,,,,,,,,
scotland_0.3-borda_scores_no_bottom_third,0,scotland,0.3,borda_scores_no_bottom_third,,,,,,,,,,,,,,,
scotland_0.8-borda_scores_no_bottom_third,162,scotland,0.8,borda_scores_no_bottom_third,1,,,3,,117,,,53,,,1,53,,5
scotland_0.4-borda_scores_no_bottom_third,0,scotland,0.4,borda_scores_no_bottom_third,,,,,,,,,,,,,,,
scotland_0.5-borda_scores_no_bottom_third,0,scotland,0.5,borda_scores_no_bottom_third,,,,,,,,,,,,,,,
scotland_0.9-borda_scores_no_bottom_third,480,scotland,0.9,borda_scores_no_bottom_third,16,1,,28,,379,1,1,165,1,1,16,165,8,32
scotland_0.6-mention_scores_no_bottom_third,2,scotland,0.6,mention_scores_no_bottom_third,,,,,,,,,2,,,,2,,
scotland_0.7-mention_scores_no_bottom_third,35,scotland,0.7,mention_scores_no_bottom_third,,,,,,10,,,28,,,,28,,3
scotland_0.1-mention_scores_no_bottom_third,0,scotland,0.1,mention_scores_no_bottom_third,,,,,,,,,,,,,,,
scotland_0.2-mention_scores_no_bottom_third,0,scotland,0.2,mention_scores_no_bottom_third,,,,,,,,,,,,,,,
scotland_0.3-mention_scores_no_bottom_third,0,scotland,0.3,mention_scores_no_bottom_third,,,,,,,,,,,,,,,
scotland_0.8-mention_scores_no_bottom_third,173,scotland,0.8,mention_scores_no_bottom_third,12,,,1,,88,,,112,,,12,112,2,22
scotland_0.4-mention_scores_no_bottom_third,0,scotland,0.4,mention_scores_no_bottom_third,,,,,,,,,,,,,,,
scotland_0.5-mention_scores_no_bottom_third,0,scotland,0.5,mention_scores_no_bottom_third,,,,,,,,,,,,,,,
scotland_0.9-mention_scores_no_bottom_third,441,scotland,0.9,mention_scores_no_bottom_third,63,29,9,57,9,323,26,29,239,29,29,63,239,72,80
scotland_0.6-mention2,2,scotland,0.6,mention2,,,,,,,,,2,,,,,,
scotland_0.7-mention2,9,scotland,0.7,mention2,,,,,,,,,9,,,,,,
scotland_0.1-mention2,0,scotland,0.1,mention2,,,,,,,,,,,,,,,
scotland_0.2-mention2,0,scotland,0.2,mention2,,,,,,,,,,,,,,,
scotland_0.3-mention2,0,scotland,0.3,mention2,,,,,,,,,,,,,,,
