,filename,elections_with_changes,country,percentage,method,IRV,approval,borda-avg-no-uwi,borda-om-no-uwi,borda-pm,bucklin,condorcet,minimax,plurality,ranked-pairs,smith-minimax,smith_irv,smith_plurality,top-3-truncation,top-two
145,scotland_0.7-borda_scores,12,scotland,0.7,borda_scores,,,,,,11.0,,,1.0,,,,1.0,,
185,scotland_0.8-mention2,16,scotland,0.8,mention2,,,,,,,,,16.0,,,,,,1.0
154,scotland_0.7-mention_scores,16,scotland,0.7,mention_scores,,,,,,8.0,,,9.0,,,,9.0,,
117,australia_0.7-mention_scores_no_bottom_third,19,australia,0.7,mention_scores_no_bottom_third,,,,17.0,,2.0,,,,,,,,,
188,scotland_0.9-mention2,20,scotland,0.9,mention2,2.0,,,1.0,,,,,19.0,,,,,2.0,1.0
50,america_0.8-mention_scores,21,america,0.8,mention_scores,1.0,,,,,20.0,,,2.0,,,1.0,2.0,,1.0
7,civs_0.2-borda_scores,22,civs,0.2,borda_scores,,22.0,,,,,,,,,,,,,
149,scotland_0.8-borda_scores,22,scotland,0.8,borda_scores,,,,,,19.0,,,2.0,,,,2.0,,1.0
25,civs_0.2-borda_scores_no_bottom_third,22,civs,0.2,borda_scores_no_bottom_third,,22.0,,,,,,,,,,,,,
55,america_0.7-borda_scores_no_bottom_third,23,america,0.7,borda_scores_no_bottom_third,,,,,,23.0,,,,,,,,,
68,america_0.8-mention_scores_no_bottom_third,26,america,0.8,mention_scores_no_bottom_third,1.0,,,,,24.0,,,3.0,,,1.0,3.0,,1.0
108,australia_0.7-borda_scores_no_bottom_third,28,australia,0.7,borda_scores_no_bottom_third,,,,25.0,,3.0,,,,,,,,,
163,scotland_0.7-borda_scores_no_bottom_third,29,scotland,0.7,borda_scores_no_bottom_third,,,,,,19.0,,,10.0,,,,10.0,,
152,scotland_0.9-borda_scores,31,scotland,0.9,borda_scores,,,,,,24.0,,,6.0,,,,6.0,,2.0
158,scotland_0.8-mention_scores,33,scotland,0.8,mention_scores,,,,,,19.0,,,16.0,,,,16.0,,1.0
49,america_0.9-mention_scores,34,america,0.9,mention_scores,1.0,,,,,33.0,,,3.0,,,1.0,3.0,,1.0
