Precinct,Ballot Style,source_file,rank1,rank2,rank3,Num cands,Num seats
AD: 26 ED: 082,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 067,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 067,,2021P4V1_ELE2,Dawn A. Anatra,skipped,skipped,3,1
AD: 27 ED: 065,,2021P4V1_ELE2,Dawn A. Anatra,John-Alexander Sakelos,writein,3,1
AD: 27 ED: 068,,2021P4V1_ELE2,Dawn A. Anatra,John-Alexander Sakelos,skipped,3,1
AD: 26 ED: 082,,2021P4V1_ELE2,John-Alexander Sakelos,writein,skipped,3,1
AD: 26 ED: 067,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 27 ED: 067,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 029,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 080,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 034,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 021,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 022,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 022,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 058,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 25 ED: 033,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 064,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 064,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 062,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 064,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 25 ED: 033,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 062,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 40 ED: 006,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 012,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 40 ED: 005,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,writein,3,1
AD: 40 ED: 001,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 010,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 40 ED: 006,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 011,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 40 ED: 006,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 011,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 031,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 031,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 030,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 011,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 012,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 40 ED: 006,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 011,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 011,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 028,,2021P4V1_ELE2,Dawn A. Anatra,skipped,skipped,3,1
AD: 26 ED: 015,,2021P4V1_ELE2,John-Alexander Sakelos,writein,skipped,3,1
AD: 26 ED: 018,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 013,,2021P4V1_ELE2,writein,skipped,skipped,3,1
AD: 26 ED: 013,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,writein,3,1
AD: 26 ED: 014,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 27 ED: 051,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 013,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 27 ED: 023,,2021P4V1_ELE2,writein,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 013,,2021P4V1_ELE2,Dawn A. Anatra,skipped,skipped,3,1
AD: 26 ED: 013,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 016,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 006,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 003,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 002,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 052,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 003,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 001,,2021P4V1_ELE2,Dawn A. Anatra,writein,skipped,3,1
AD: 26 ED: 055,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 056,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,writein,3,1
AD: 26 ED: 056,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 052,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 052,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 055,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 056,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 25 ED: 030,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 40 ED: 013,,2021P4V1_ELE2,Dawn A. Anatra,skipped,skipped,3,1
AD: 40 ED: 007,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 40 ED: 004,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 40 ED: 013,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 25 ED: 030,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 40 ED: 009,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 060,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 059,,2021P4V1_ELE2,Dawn A. Anatra,John-Alexander Sakelos,writein,3,1
AD: 40 ED: 002,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 40 ED: 007,,2021P4V1_ELE2,John-Alexander Sakelos,writein,skipped,3,1
AD: 26 ED: 008,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 008,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 008,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 009,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 008,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 009,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 009,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 40 ED: 004,,2021P4V1_ELE3,John-Alexander Sakelos,skipped,skipped,3,1
AD: 40 ED: 007,,2021P4V1_ELE3,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 27 ED: 067,,2021P4V1_ELE3,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 060,,2021P4V1_ELE3,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 056,,2021P4V1_ELE3,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 039,,2021P4V1_ELE3,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 021,,2021P4V1_ELE3,writein,John-Alexander Sakelos,skipped,3,1
AD: 40 ED: 001,,2021P4V1_ELE3,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 021,,2021P4V1_ELE3,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 016,,2021P4V1_ELE3,John-Alexander Sakelos,skipped,skipped,3,1
AD: 40 ED: 009,,2021P4V1_ELE3,John-Alexander Sakelos,skipped,skipped,3,1
AD: 25 ED: 030,,2021P4V1_ELE3,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 050,,2021P4V1_ELE3,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 023,,2021P4V1_ELE3,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 039,,2021P4V1_ELE3,writein,skipped,skipped,3,1
AD: 26 ED: 065,,2021P4V1_ELE3,Dawn A. Anatra,John-Alexander Sakelos,skipped,3,1
AD: 26 ED: 065,,2021P4V1_ELE3,John-Alexander Sakelos,skipped,skipped,3,1
