Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,Num cands,Num seats
AD: 83 ED: 072,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 072,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 83 ED: 072,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 072,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 072,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 072,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 072,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 83 ED: 072,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 072,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 072,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,writein,Shanequa Moore,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 009,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,skipped,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,writein,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 015,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 039,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 039,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 039,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 039,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 039,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 039,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 039,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 039,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 83 ED: 039,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 039,,2021P2V1_ABS,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 83 ED: 039,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 039,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 065,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 83 ED: 065,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 065,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 007,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 007,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 007,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 007,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 83 ED: 007,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 007,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 007,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 007,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 007,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,writein,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,writein,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,writein,4,1
AD: 82 ED: 065,,2021P2V1_ABS,writein,skipped,skipped,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 065,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,writein,skipped,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 092,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 081,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 081,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 081,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 081,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 081,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 081,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 081,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 081,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 081,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 081,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 081,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 081,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 081,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 070,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,writein,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 094,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,writein,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 095,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 042,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
