rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
6,7,8,1,2,3,5,4,,
6,7,8,1,2,3,5,4,,
6,7,8,1,2,3,5,4,,
5,6,8,1,7,2,4,3,,
8,8,1,8,8,8,8,8,,
7,8,2,1,3,4,6,5,,
6,7,8,1,2,3,5,4,,
8,8,1,8,8,8,8,8,,
8,6,5,4,2,7,1,3,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
3,2,8,8,8,1,8,8,,
8,8,1,8,8,8,8,8,,
2,3,1,8,8,8,8,8,,
4,5,3,6,7,1,8,2,,
6,7,8,1,2,3,5,4,,
7,8,6,1,2,4,3,5,,
8,8,1,8,8,8,8,8,,
6,7,8,1,2,3,5,4,,
8,8,8,1,8,8,8,8,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
5,2,8,7,4,1,6,3,,
1,8,8,8,8,8,8,8,,
4,3,2,6,1,8,7,5,,
6,7,8,1,2,3,5,4,,
6,7,8,1,2,3,5,4,,
7,8,5,1,3,4,6,5,,
6,7,8,1,2,3,5,4,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
7,6,3,5,4,1,8,2,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
8,8,8,8,8,1,8,8,,
8,8,1,8,8,8,8,8,,
6,7,8,1,2,3,5,4,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
7,8,2,1,3,4,6,5,,
8,8,1,8,8,8,8,8,,
6,7,8,1,3,2,5,4,,
7,8,2,1,3,4,6,5,,
8,8,1,8,8,8,8,8,,
8,Skipped,1,Skipped,8,8,8,8,,
6,7,8,1,2,3,5,4,,
8,8,1,8,8,8,8,8,,
5,8,4,1,5,6,7,3,,
6,7,8,1,2,3,5,4,,
2,3,5,4,6,1,8,7,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
8,8,8,1,8,8,8,8,,
6,7,8,1,2,4,5,3,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
7,8,2,3,4,1,6,5,,
6,7,8,1,2,3,5,4,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
6,7,8,1,2,3,5,4,,
8,8,1,8,8,8,8,8,,
6,7,8,1,2,3,5,4,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
8,8,8,8,2,1,3,8,,
8,8,1,8,8,8,8,8,,
8,6,7,1,2,7,7,3,,
6,7,8,1,2,3,5,4,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
7,5,3,4,6,2,8,1,,
7,5,4,1,2,3,8,6,,
4,5,2,3,1,4,5,4,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
4,6,8,1,3,3,5,5,,
7,8,2,1,3,4,6,5,,
8,8,1,8,8,8,8,8,,
6,7,8,1,2,3,5,4,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
8,4,2,1,3,4,6,5,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
6,7,8,1,2,3,5,4,,
6,7,8,1,2,3,5,4,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
6,7,8,1,2,4,5,3,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
2,3,8,4,6,7,1,5,,
8,8,1,8,8,8,8,8,,
6,7,8,1,2,4,5,3,,
Skipped,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
6,7,8,1,2,4,5,3,,
6,7,8,1,2,3,5,4,,
7,1,4,6,5,2,8,3,,
8,8,8,8,8,1,8,8,,
6,7,2,1,3,8,5,4,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
8,8,1,8,8,8,8,8,,
