rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,numSeats,numCands
15,6,12,31,16,30,29,17,4,11,1,14,19,5,7,9,22,10,8,21,13,23,28,18,25,2,24,20,32,27,3,26,,
32,10,31,23,14,18,8,15,1,13,3,17,5,2,7,19,6,25,16,9,24,26,22,20,27,28,11,21,30,12,4,29,,
Skipped,1,Skipped,32,1,Skipped,32,Skipped,32,32,1,32,Skipped,32,1,Skipped,Skipped,Skipped,32,Skipped,Skipped,32,Skipped,1,32,2,Skipped,32,32,32,32,Skipped,,
3,4,14,Skipped,7,8,16,Skipped,5,29,6,20,30,Skipped,1,2,Skipped,10,11,15,27,Skipped,Skipped,9,Skipped,13,Skipped,17,32,9,Skipped,31,,
32,1,32,32,1,32,32,32,32,32,1,32,1,32,1,1,32,32,32,32,1,32,32,1,32,3,32,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,1,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
28,23,21,24,26,13,13,22,25,18,1,11,31,2,7,27,19,17,13,12,16,29,20,8,5,3,6,10,30,8,4,32,,
25,10,24,29,17,20,19,21,23,27,1,15,13,2,3,12,28,16,18,26,14,30,22,11,9,4,6,7,32,8,5,31,,
32,1,32,32,3,32,32,32,32,32,1,32,32,32,2,32,32,32,32,32,Skipped,32,Skipped,4,32,5,32,32,32,32,32,32,,
Skipped,3,32,Skipped,1,Skipped,15,Skipped,32,32,2,32,7,32,4,9,Skipped,Skipped,32,Skipped,8,Skipped,Skipped,5,32,6,Skipped,32,32,32,32,Skipped,,
8,12,Skipped,2,4,10,3,5,Skipped,6,18,Skipped,Skipped,1,17,Skipped,16,Skipped,9,20,32,Skipped,7,15,13,Skipped,11,Skipped,Skipped,14,Skipped,Skipped,,
23,19,16,25,26,13,14,10,27,20,1,9,11,1,5,Skipped,24,22,12,18,11,Skipped,Skipped,22,7,1,7,5,28,17,3,Skipped,,
?,?,?,?,?,?,?,?,?,3,1,?,?,2,?,?,?,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,,
