rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,numSeats,numCands
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
100,74,Skipped,23,18,71,68,11,95,Skipped,87,22,Skipped,19,Skipped,28,43,Skipped,17,Skipped,Skipped,96,Skipped,92,27,96,14,Skipped,43,Skipped,61,101,16,Skipped,30,4,28,Skipped,Skipped,78,36,91,43,12,91,5,77,15,Skipped,75,80,81,8,17,26,Skipped,101,17,Skipped,35,99,Skipped,62,44,30,Skipped,98,42,6,7,10,1,2,Skipped,Skipped,99,77,100,99,95,Skipped,94,Skipped,59,83,60,Skipped,9,3,Skipped,10,Skipped,80,93,Skipped,104,84,Skipped,23,28,97,80,103,53,,
104,104,104,104,104,104,9,6,104,104,104,104,104,104,104,20,104,104,16,104,104,104,104,104,104,18,104,104,104,19,104,104,17,104,104,104,104,104,104,104,104,104,104,104,104,104,104,3,4,104,14,104,104,7,104,104,12,104,104,104,104,104,104,104,15,10,104,104,104,13,104,11,104,104,104,104,104,104,104,104,104,104,104,104,104,104,5,104,104,3,104,104,1,104,104,104,104,104,8,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,18,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,13,5,Skipped,Skipped,5,Skipped,15,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,20,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,3,4,Skipped,Skipped,Skipped,3,Skipped,Skipped,16,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,1,19,Skipped,Skipped,17,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,,
104,3,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,4,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,5,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,,
Skipped,25,18,Skipped,Skipped,Skipped,21,33,Skipped,Skipped,Skipped,Skipped,36,3,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,12,37,Skipped,Skipped,Skipped,Skipped,15,Skipped,16,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,17,Skipped,20,Skipped,8,27,38,22,Skipped,19,1,26,Skipped,Skipped,Skipped,Skipped,28,Skipped,30,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,4,2,Skipped,31,32,23,Skipped,Skipped,34,Skipped,29,Skipped,Skipped,Skipped,Skipped,10,24,5,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,35,Skipped,14,Skipped,Skipped,Skipped,Skipped,7,,
104,104,104,104,104,104,3,9,4,104,6,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,5,104,104,104,104,104,104,104,7,104,104,2,104,8,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,,
104,104,104,104,104,104,29,104,104,104,104,104,104,10,104,81,104,104,104,104,104,104,104,104,104,104,104,104,104,7,104,104,13,104,104,104,104,104,104,104,4,104,104,78,104,63,104,1,104,104,12,104,104,6,104,104,104,104,15,104,104,104,104,104,14,104,104,104,104,104,104,2,8,104,104,3,14,104,104,104,104,104,104,104,104,104,104,104,36,104,104,104,11,104,104,104,104,104,9,104,104,104,104,5,,
18,37,48,93,104,91,95,10,89,99,92,91,6,1,89,95,91,12,4,7,92,5,92,100,87,6,95,91,96,95,98,8,96,91,91,98,98,91,90,89,104,92,87,90,68,7,90,13,88,93,90,52,98,3,10,95,101,94,100,91,102,95,97,90,99,7,96,85,100,3,19,4,11,72,90,104,13,87,93,100,92,87,5,94,86,2,85,91,94,19,92,89,28,13,1,59,96,5,2,87,6,18,85,86,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,35,55,104,104,69,104,104,77,104,104,104,104,104,104,104,32,104,85,80,104,104,104,104,104,104,104,77,104,80,104,64,104,104,104,70,104,5,55,90,104,104,104,104,104,104,104,104,104,104,104,104,104,35,104,104,22,104,104,68,90,104,104,104,104,104,104,62,104,104,104,52,1,104,104,104,8,104,104,64,104,96,15,104,104,104,104,10,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
66,13,71,87,32,64,18,30,46,92,33,27,81,16,83,99,103,51,23,95,101,12,82,104,44,48,100,63,96,28,72,65,6,93,36,31,98,90,79,39,22,69,86,60,43,11,70,2,102,47,68,55,29,1,26,67,56,89,57,52,45,61,74,76,41,78,85,35,42,9,38,8,3,80,97,19,4,91,73,40,94,34,49,54,50,24,25,17,5,20,59,75,14,21,84,77,37,53,7,10,58,62,88,15,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
25,10,Skipped,Skipped,15,15,4,20,50,Skipped,30,25,Skipped,15,Skipped,35,Skipped,20,15,Skipped,30,Skipped,Skipped,Skipped,15,Skipped,Skipped,40,Skipped,10,35,Skipped,15,25,35,20,15,Skipped,Skipped,20,4,30,Skipped,2,Skipped,10,35,1,20,15,30,30,30,2,20,35,25,Skipped,Skipped,Skipped,Skipped,Skipped,10,40,40,30,54,Skipped,25,10,Skipped,5,3,30,20,4,10,25,30,Skipped,35,30,30,40,11,Skipped,10,5,5,30,10,Skipped,Skipped,Skipped,40,20,30,20,10,15,30,35,30,10,,
63,10,Skipped,51,26,Skipped,32,21,43,Skipped,Skipped,Skipped,Skipped,17,Skipped,47,27,15,23,Skipped,34,42,33,57,62,8,Skipped,41,Skipped,28,104,Skipped,29,Skipped,14,44,Skipped,Skipped,Skipped,Skipped,25,Skipped,104,11,55,20,30,6,58,7,22,64,56,1,37,52,31,Skipped,Skipped,61,Skipped,60,Skipped,12,24,66,Skipped,35,39,4,46,1,16,Skipped,Skipped,67,8,104,Skipped,49,Skipped,65,Skipped,53,45,Skipped,Skipped,48,1,Skipped,5,Skipped,19,40,59,104,54,Skipped,13,38,Skipped,36,50,18,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,18,104,10,25,104,23,104,104,104,30,37,104,22,104,104,104,104,13,104,39,104,104,104,15,104,104,104,21,104,17,104,7,40,42,104,38,104,104,8,32,104,19,6,14,104,46,4,36,33,2,34,16,31,103,104,47,104,104,43,104,104,104,28,104,104,35,104,104,3,11,12,5,104,45,104,27,104,104,104,104,104,104,104,104,20,104,104,1,9,41,44,26,104,104,104,104,104,102,24,29,104,104,104,,
104,5,104,104,104,104,104,104,104,104,104,104,104,6,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,3,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,4,,
41,8,104,47,27,104,29,58,104,104,55,104,40,6,57,38,43,104,17,26,25,24,104,104,40,104,104,104,59,22,54,104,12,104,13,104,31,104,60,104,63,44,45,16,104,35,19,1,39,28,11,51,104,4,104,104,32,104,104,15,104,104,30,104,61,42,64,104,50,9,104,14,3,10,104,23,49,104,104,104,36,56,48,104,52,104,21,62,5,18,20,104,2,104,37,104,46,34,12,33,104,104,53,7,,
104,27,104,30,12,30,20,25,104,104,30,25,104,9,50,19,25,104,19,50,14,10,104,104,13,104,15,104,104,16,25,35,25,104,20,20,8,104,40,104,7,104,30,29,104,35,10,3,35,20,23,104,104,2,104,104,104,104,104,16,104,104,28,30,104,104,104,25,104,2,104,30,6,104,18,104,1,104,104,104,104,50,104,50,104,104,30,40,5,42,11,30,4,25,104,104,104,104,14,17,40,26,104,6,,
104,104,104,104,104,104,104,104,104,104,27,104,104,5,15,16,104,104,22,104,104,104,104,104,12,104,104,104,104,104,6,104,1,104,20,21,104,104,104,104,17,104,18,19,104,104,104,104,104,104,104,104,9,104,7,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,13,4,104,104,104,104,8,23,104,104,104,104,104,104,104,104,11,104,104,10,104,104,104,104,104,104,104,2,14,104,104,104,3,,
104,2,104,104,10,104,3,3,104,104,104,104,104,104,104,104,104,2,8,104,104,104,104,6,104,104,104,5,104,104,104,104,3,104,6,104,104,104,104,104,104,104,104,3,104,6,104,4,104,104,1,104,104,1,11,104,5,104,104,104,104,104,104,3,9,104,104,104,104,104,104,3,104,104,104,104,8,104,104,104,104,104,104,104,104,104,104,104,1,104,7,104,8,104,104,104,104,104,9,104,104,104,9,6,,
104,104,104,104,104,104,3,104,104,104,104,104,104,104,104,104,104,104,4,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,4,104,6,104,104,104,104,3,104,104,104,104,104,104,104,4,104,104,6,104,104,104,104,104,104,104,3,104,104,104,3,104,104,104,104,104,104,5,104,104,104,104,104,104,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,6,104,104,5,104,2,5,104,104,104,5,104,104,104,104,104,104,3,104,104,104,2,1,104,104,104,104,104,104,104,104,104,5,104,104,104,104,4,,
40,16,97,94,53,92,6,32,96,104,88,104,85,25,68,19,67,95,46,63,30,31,50,93,48,28,104,79,44,58,23,73,21,104,10,86,39,71,104,34,2,36,29,15,45,11,35,8,22,33,4,24,70,1,64,87,13,104,91,41,104,81,59,74,52,62,89,78,77,12,90,20,14,43,69,17,37,71,75,84,55,61,42,82,51,83,5,3,26,18,38,65,49,7,56,66,47,60,9,57,76,72,54,27,,
104,104,104,104,104,104,4,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,3,104,104,104,104,104,104,104,104,104,104,10,104,7,104,3,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,6,104,2,8,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,5,104,104,104,104,104,104,104,104,104,104,104,,
94,4,104,12,98,93,25,11,29,Skipped,73,47,100,44,104,84,84,100,15,Skipped,50,11,81,Skipped,98,3,Skipped,30,94,95,86,54,26,16,27,10,64,103,104,86,28,Skipped,22,21,104,8,60,7,59,13,7,104,8,19,1,Skipped,18,81,Skipped,99,89,Skipped,102,42,100,104,104,5,20,6,68,14,37,104,Skipped,104,7,104,101,17,104,Skipped,104,Skipped,85,6,88,68,24,89,2,Skipped,23,66,Skipped,104,9,104,104,97,104,77,104,42,,
104,11,104,104,12,63,50,66,41,104,22,104,104,18,104,58,33,52,13,53,30,2,45,104,104,37,104,32,21,104,15,104,7,104,16,104,25,104,104,60,27,29,64,9,104,38,57,3,104,62,20,24,49,10,40,104,104,51,104,36,104,54,80,42,48,104,17,104,104,7,61,14,6,104,70,39,8,55,104,104,104,67,30,46,35,43,104,23,19,31,56,65,5,47,104,104,59,68,26,44,28,104,104,34,,
104,104,104,104,104,104,104,4,104,104,104,104,104,104,15,104,104,6,104,104,104,104,13,15,104,104,104,104,104,104,104,104,104,104,5,104,104,104,104,104,104,104,104,104,104,104,104,104,104,4,5,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,7,104,104,104,104,104,20,104,104,104,104,104,104,104,104,104,104,3,104,104,104,104,104,104,104,104,104,10,104,104,104,8,104,,
Skipped,14,Skipped,Skipped,5,Skipped,14,26,45,Skipped,Skipped,26,Skipped,14,Skipped,Skipped,Skipped,26,5,Skipped,Skipped,3,Skipped,Skipped,26,26,Skipped,Skipped,26,14,Skipped,Skipped,14,Skipped,26,26,26,Skipped,Skipped,Skipped,26,Skipped,Skipped,14,26,14,26,5,45,5,Skipped,Skipped,5,5,104,Skipped,26,Skipped,Skipped,45,Skipped,Skipped,14,26,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,3,1,Skipped,Skipped,26,14,45,Skipped,45,Skipped,Skipped,Skipped,45,Skipped,Skipped,14,26,5,26,26,Skipped,1,26,Skipped,Skipped,45,45,5,14,42,Skipped,104,5,,
104,2,104,104,104,104,1,104,104,104,104,104,104,104,1,1,104,104,2,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,1,104,104,104,104,104,104,104,104,2,104,2,104,2,104,104,104,104,104,104,2,104,104,104,104,104,104,104,2,104,1,104,104,104,104,104,104,2,1,104,104,1,104,104,104,1,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,,
104,17,104,104,104,104,5,104,104,104,104,104,104,14,104,104,104,104,104,104,104,8,104,104,104,18,104,104,104,104,104,104,10,104,104,15,104,104,104,104,19,19,104,3,104,13,104,1,104,6,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,4,12,104,104,11,104,104,104,104,104,104,104,104,104,104,104,9,104,104,104,104,20,104,104,104,104,104,7,104,104,104,104,16,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,3,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
Skipped,18,102,48,Skipped,102,10,102,102,Skipped,102,48,102,1,48,48,48,102,48,102,48,19,48,102,48,16,28,102,6,48,24,102,5,48,48,102,48,48,48,48,48,102,48,102,102,19,48,48,102,48,102,15,48,24,48,48,102,48,29,24,102,102,12,48,102,102,102,102,102,102,102,4,2,102,48,11,23,48,48,102,48,7,102,19,19,102,48,14,9,102,48,48,17,13,102,3,102,102,48,24,102,48,102,8,,
5,104,104,104,104,104,104,104,104,104,104,104,104,9,104,104,104,104,104,104,104,6,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,10,104,104,104,104,104,15,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,8,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,20,104,16,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,3,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,,
14,Skipped,Skipped,30,Skipped,Skipped,8,7,39,Skipped,Skipped,37,Skipped,4,Skipped,Skipped,Skipped,24,5,Skipped,Skipped,Skipped,16,31,Skipped,7,Skipped,Skipped,Skipped,28,Skipped,Skipped,23,Skipped,26,13,Skipped,Skipped,Skipped,18,32,Skipped,Skipped,34,Skipped,9,Skipped,3,36,Skipped,22,Skipped,Skipped,2,Skipped,Skipped,17,Skipped,Skipped,Skipped,33,Skipped,Skipped,Skipped,33,40,Skipped,38,29,21,Skipped,6,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,35,22,Skipped,Skipped,27,Skipped,Skipped,Skipped,25,Skipped,Skipped,Skipped,Skipped,15,12,Skipped,Skipped,Skipped,Skipped,Skipped,,
104,104,104,104,104,104,104,104,104,104,104,104,104,7,104,104,104,104,10,104,104,104,104,104,104,4,104,104,104,104,104,104,5,104,104,104,104,104,104,104,104,104,104,104,104,104,104,11,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,6,1,104,104,104,3,104,104,104,104,12,104,104,104,104,104,104,2,104,104,104,104,104,104,8,104,104,104,104,104,104,104,9,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
25,18,Skipped,Skipped,23,Skipped,13,49,59,Skipped,Skipped,Skipped,32,5,48,11,Skipped,Skipped,37,52,47,58,Skipped,Skipped,40,Skipped,Skipped,Skipped,56,10,Skipped,61,2,Skipped,34,65,Skipped,19,Skipped,22,Skipped,63,12,46,Skipped,15,26,3,54,Skipped,36,9,51,6,41,Skipped,16,Skipped,57,71,Skipped,Skipped,62,Skipped,44,53,64,Skipped,38,39,Skipped,17,1,67,45,29,31,27,43,65,14,66,Skipped,Skipped,55,68,30,60,20,7,Skipped,42,35,33,69,4,60,50,8,21,Skipped,Skipped,24,28,,
104,104,104,104,104,104,104,104,104,104,104,104,84,67,104,4,104,104,46,104,104,104,104,104,104,104,104,104,104,104,104,104,9,104,104,104,104,31,104,104,104,104,104,104,104,104,104,71,104,104,104,44,104,46,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,39,104,49,70,104,104,28,104,2,104,104,104,104,104,104,104,104,104,74,102,104,104,104,64,77,104,21,104,104,5,104,104,104,103,1,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
