rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
1,1,1,1,1,1,1,1,1,1,Unknown,
8,5,1,3,9,6,2,4,10,7,Unknown,
4,3,2,9,1,7,5,1,8,6,Unknown,
5,10,4,8,7,2,9,1,6,3,Unknown,
4,1,5,2,7,8,9,10,3,6,Unknown,
2,4,10,2,5,3,3,6,1,6,Unknown,
2,3,6,5,7,10,1,8,4,9,Unknown,
1,8,10,6,5,3,4,7,2,9,Unknown,
1,2,10,5,3,5,4,9,5,8,Unknown,
5,1,4,9,3,10,2,6,8,7,Unknown,
9,2,10,6,8,1,3,4,7,5,Unknown,
7,5,10,9,6,3,1,4,8,2,Unknown,
4,1,6,8,3,10,9,2,7,5,Unknown,
6,9,10,1,7,4,2,8,3,5,Unknown,
8,1,7,10,6,5,3,2,9,4,Unknown,
10,5,2,8,6,1,3,4,7,9,Unknown,
7,1,8,5,6,2,10,4,3,9,Unknown,
5,1,6,8,2,10,9,4,7,3,Unknown,
10,10,10,10,10,10,10,10,10,10,Unknown,
3,4,10,6,8,1,2,9,7,5,Unknown,
10,4,5,1,9,2,6,7,3,8,Unknown,
8,7,9,10,3,2,5,4,1,6,Unknown,
8,6,9,10,4,1,7,2,3,5,Unknown,
7,1,8,10,2,6,3,5,9,4,Unknown,
2,1,3,5,5,8,7,9,6,4,Unknown,
2,2,9,4,4,10,8,1,4,4,Unknown,
6,7,3,6,9,10,10,3,4,3,Unknown,
10,10,10,10,10,10,10,10,10,10,Unknown,
5,2,8,10,7,1,3,6,9,4,Unknown,
10,5,6,8,4,1,3,7,2,9,Unknown,
4,1,8,10,7,2,5,9,3,6,Unknown,
4,1,10,9,5,6,3,8,2,7,Unknown,
8,1,9,6,3,5,10,2,7,4,Unknown,
10,8,8,1,9,3,8,5,2,4,Unknown,
1,2,6,3,7,5,4,7,3,3,Unknown,
