rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,numSeats,numCands
28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,28,28,28,28,28,28,28,28,28,1,28,28,28,28,3,28,2,28,28,28,28,5,28,28,28,28,4,,
27,2,12,5,27,3,27,13,1,27,8,10,27,27,27,27,6,11,27,9,27,27,4,28,7,27,27,27,,
28,10,28,28,28,9,28,7,28,28,11,1,28,28,28,2,28,28,28,3,28,28,4,5,6,28,8,28,,
28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,28,20,2,28,28,28,7,1,28,28,7,28,28,28,28,5,28,20,20,28,28,9,4,3,28,28,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,28,,
18,6,4,21,27,2,26,9,23,22,10,20,8,5,17,1,16,19,28,11,7,25,3,13,14,24,12,15,,
6,21,17,1,3,4,15,10,14,13,16,9,26,8,18,24,23,7,28,25,12,22,20,19,2,11,5,27,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,2,28,28,28,28,28,28,28,28,28,28,,
27,26,26,1,5,4,26,27,3,27,27,27,27,27,26,26,4,26,26,27,26,27,28,3,2,27,26,27,,
28,28,28,28,28,28,28,8,28,28,6,28,28,28,7,1,28,2,28,28,3,28,4,28,28,28,28,5,,
28,3,2,28,8,28,28,28,28,28,1,28,28,7,28,28,28,4,28,28,6,28,28,28,5,28,28,28,,
6,28,28,28,28,9,28,28,28,28,28,28,28,28,3,3,2,28,28,3,3,28,3,28,28,3,3,5,,
27,4,28,28,27,28,28,27,27,27,25,27,28,28,28,1,28,1,28,28,28,27,28,26,28,28,28,3,,
28,28,28,3,28,28,28,28,2,28,6,28,28,28,7,28,28,28,28,1,28,28,28,4,5,28,28,28,,
27,4,8,7,11,27,27,27,27,27,28,27,2,27,5,10,28,27,27,27,9,27,3,27,27,6,1,27,,
28,28,28,3,4,4,28,28,1,28,28,5,28,28,28,28,3,28,28,28,28,28,28,2,3,28,28,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2,28,28,28,28,28,28,28,28,28,28,28,1,,
18,4,18,11,9,25,19,6,21,8,18,7,1,5,21,28,24,18,28,10,12,18,3,18,22,21,2,26,,
4,2,9,17,22,21,11,8,14,28,23,26,5,20,12,10,15,24,7,18,19,13,1,6,16,25,3,27,,
28,28,28,5,1,28,28,6,28,28,2,3,28,28,28,28,28,28,28,28,28,28,28,7,4,28,28,28,,
28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,2,28,28,28,3,4,28,28,28,28,28,,
28,28,28,2,28,28,28,2,2,28,28,2,28,28,28,28,28,28,28,28,28,28,28,2,1,28,28,28,,
28,28,28,28,28,28,28,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,28,28,28,,
28,11,13,11,28,12,28,11,28,28,28,14,28,11,11,1,28,2,16,28,11,15,11,11,28,28,11,28,,
28,28,28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
7,28,28,3,8,28,28,28,28,10,6,28,28,28,28,13,5,1,11,28,4,9,28,28,2,12,14,15,,
28,28,28,28,28,1,28,28,28,28,28,28,28,28,28,3,28,2,28,28,28,28,28,28,28,28,28,4,,
28,9,28,1,3,6,28,12,4,28,28,7,28,28,28,28,28,28,28,28,28,28,11,8,2,28,28,28,,
27,4,8,7,27,27,27,27,27,27,28,27,2,27,5,10,28,27,27,27,9,27,3,27,27,6,1,27,,
26,26,26,26,26,26,26,26,2,26,26,1,26,26,26,27,26,26,26,3,26,26,26,26,28,26,26,26,,
28,1,28,28,28,28,28,28,28,28,1,28,1,2,28,5,2,2,28,2,28,28,2,28,2,28,2,28,,
28,28,28,1,4,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,3,2,28,28,28,,
28,6,5,28,28,28,28,28,28,28,7,28,28,28,28,1,28,1,28,28,4,28,3,28,28,28,8,2,,
28,28,28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
7,28,26,2,17,11,8,23,1,10,22,24,21,5,9,13,27,16,15,25,18,12,14,4,3,6,19,20,,
28,5,1,28,28,12,28,28,28,28,28,28,28,10,11,4,8,28,28,7,6,28,2,9,3,28,28,28,,
28,28,28,1,1,1,28,28,1,28,28,28,28,28,28,28,1,28,28,28,28,28,28,1,1,28,28,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2,28,28,28,28,1,28,28,28,28,,
28,28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,4,2,3,28,28,28,,
28,11,4,10,28,28,28,14,28,28,28,9,12,28,28,5,8,13,28,3,7,28,2,6,1,28,27,28,,
28,28,28,2,28,3,28,28,1,28,28,5,28,28,28,28,28,28,28,28,28,28,28,28,4,28,28,28,,
28,28,28,3,28,1,28,5,28,28,28,2,28,28,28,28,28,28,28,28,28,28,28,28,4,28,28,6,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,2,28,28,28,28,28,28,28,28,28,3,,
28,28,28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
27,4,8,7,27,27,27,27,27,27,28,27,2,27,5,10,28,27,27,27,9,27,3,27,27,6,1,27,,
25,10,17,6,27,9,20,1,4,28,6,5,21,8,13,14,12,4,19,16,2,26,7,18,1,7,11,15,,
28,6,28,28,28,2,28,28,28,28,28,28,28,28,28,1,28,3,28,28,5,28,7,28,28,28,28,4,,
20,20,9,1,20,4,20,21,8,27,5,28,20,20,27,20,7,20,20,20,20,20,3,6,2,20,10,27,,
28,28,28,10,28,28,28,1,7,28,8,9,28,28,28,2,28,28,28,6,28,28,4,5,3,28,28,11,,
28,28,28,6,28,3,28,28,28,28,5,1,28,28,28,28,28,28,28,28,28,28,28,4,2,28,28,28,,
28,8,6,28,28,28,28,28,28,28,28,28,28,4,28,2,5,1,28,28,3,28,9,28,28,28,28,7,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,28,28,28,28,1,1,28,28,28,,
28,28,28,28,2,28,28,28,28,28,1,28,28,3,28,28,4,28,28,28,28,28,28,28,28,28,28,28,,
28,13,10,1,4,7,28,8,5,28,28,9,28,28,28,28,6,28,28,12,28,28,14,2,3,28,11,28,,
28,28,28,1,5,7,28,28,6,28,28,8,28,28,28,28,2,28,28,28,28,28,28,4,3,28,28,28,,
20,6,20,4,28,20,28,20,28,28,20,20,3,20,7,28,20,20,28,5,20,28,2,8,9,21,1,20,,
27,4,8,7,11,27,27,27,27,27,28,27,2,27,5,10,28,27,27,27,9,27,3,27,27,6,1,27,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,2,28,28,28,28,28,,
27,3,8,7,11,27,27,27,27,27,28,27,1,27,5,10,28,27,27,26,9,27,2,28,27,6,2,27,,
28,28,28,2,28,3,28,28,1,28,28,5,28,28,28,28,6,28,28,28,28,28,28,28,4,28,28,28,,
28,4,28,3,10,28,28,1,28,28,11,28,28,28,28,28,28,28,28,28,28,28,28,28,2,28,28,28,,
28,8,6,1,10,9,28,28,12,28,28,28,28,7,28,28,4,28,28,28,28,28,11,3,2,28,5,28,,
2,8,10,25,13,20,7,22,27,11,5,17,24,3,26,1,16,4,9,28,19,23,12,6,15,14,21,18,,
28,28,28,28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,3,2,2,28,28,28,1,3,28,1,2,28,28,28,28,2,28,28,3,1,28,1,1,1,28,28,28,,
26,7,15,2,28,26,26,8,26,27,6,4,26,11,5,13,16,26,26,9,1,12,14,10,3,17,26,26,,
