rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,numSeats,numCands
39,30,33,42,15,20,18,16,4,34,9,27,1,32,6,8,22,33,31,23,24,38,48,11,37,2,7,14,21,26,18,25,5,41,29,41,10,44,36,43,46,46,27,3,47,19,12,13,,
34,31,32,42,13,20,17,14,6,35,12,18,1,33,10,7,16,37,30,26,25,36,48,8,39,3,5,24,23,28,11,22,4,40,29,43,9,47,38,41,46,44,27,2,45,21,19,15,,
35,33,31,42,15,20,14,11,7,32,13,21,1,34,12,6,17,36,29,26,25,37,48,9,40,2,5,16,27,23,10,24,3,39,30,43,8,45,38,41,44,46,28,4,47,19,18,22,,
36,34,35,42,15,23,16,13,7,30,9,19,4,32,12,11,17,33,29,24,27,37,48,6,40,1,5,18,25,28,10,21,3,38,31,43,8,44,39,41,45,46,26,2,47,20,22,14,,
37,35,33,42,11,22,18,17,4,36,12,26,1,32,8,6,16,31,30,23,29,38,48,9,39,3,5,24,21,25,15,19,7,40,28,44,13,43,34,41,45,47,27,2,46,20,10,14,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
36,26,34,43,15,22,19,8,11,33,9,18,1,31,14,12,13,35,28,29,25,38,47,6,37,4,7,17,32,27,10,23,3,40,30,42,2,46,39,41,48,44,20,5,45,16,24,21,,
36,30,28,42,12,29,21,15,4,32,9,20,1,33,11,8,16,37,27,31,35,40,48,10,38,2,5,18,22,24,13,16,6,39,22,45,7,43,34,41,44,46,25,3,47,19,23,14,,
36,29,34,41,16,19,14,10,5,30,11,22,1,32,7,9,18,33,31,20,28,38,48,12,39,2,4,21,26,25,13,23,6,40,35,44,8,45,37,42,47,43,27,3,46,15,24,17,,
38,36,23,42,9,21,25,8,2,24,19,26,1,22,10,6,30,27,28,34,20,39,47,5,40,3,7,18,33,31,12,17,11,37,32,43,15,46,35,41,48,45,14,4,44,29,16,13,,
37,35,28,42,12,21,18,15,5,34,13,20,1,32,7,8,19,33,31,22,29,39,48,11,38,3,6,16,24,26,10,25,4,40,30,43,9,44,36,41,45,46,27,2,47,17,23,14,,
41,31,32,43,8,18,23,13,6,26,15,25,1,33,7,9,12,36,30,20,24,39,47,10,40,4,3,19,27,28,11,22,5,38,34,44,14,48,35,37,45,46,29,2,42,21,16,17,,
35,36,30,43,13,20,18,14,11,31,16,23,1,33,8,6,15,34,29,24,32,38,48,7,37,2,3,22,26,21,9,25,5,40,28,44,10,42,39,41,47,45,27,4,46,19,12,17,,
48,48,48,48,17,48,48,11,6,48,10,48,3,48,15,7,1,48,48,48,48,48,48,8,48,5,9,48,48,48,14,48,4,48,48,48,12,48,48,48,48,48,48,2,48,48,13,16,,
36,33,30,41,9,22,21,17,4,34,10,18,2,27,7,12,15,32,31,23,26,37,48,8,38,1,5,24,25,30,16,20,6,39,28,42,11,44,35,40,47,45,29,3,46,19,13,14,,
37,31,34,41,23,24,17,20,8,32,12,16,1,33,14,6,10,35,27,22,28,42,46,9,40,7,2,25,30,26,13,18,3,39,29,38,5,45,36,43,48,44,21,4,47,19,15,11,,
25,32,30,42,17,23,13,9,29,22,26,14,1,46,12,5,28,27,31,24,21,44,40,7,37,2,4,11,19,10,8,33,6,35,20,36,48,41,39,45,43,47,34,3,38,18,15,16,,
35,33,37,43,17,19,14,8,3,32,11,16,2,29,6,15,12,36,30,22,24,40,48,13,39,1,7,18,26,31,20,23,4,34,27,42,5,47,41,38,46,45,21,10,44,28,9,25,,
37,30,34,42,12,17,21,10,2,29,16,13,1,32,8,7,18,36,31,25,24,39,48,11,33,5,3,19,23,35,14,22,6,40,28,41,9,46,38,43,44,45,26,4,47,20,27,15,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
47,47,47,47,10,47,47,47,6,47,47,47,3,47,47,47,47,47,47,47,47,47,47,47,47,2,5,47,47,47,47,47,1,47,47,47,47,47,47,47,48,47,47,4,47,47,47,47,,
34,32,31,41,22,21,17,12,6,33,15,16,1,35,13,8,11,36,29,30,28,38,48,7,40,3,5,19,25,26,10,20,4,39,27,44,9,43,37,42,47,45,24,2,46,18,23,14,,
36,31,32,42,13,24,17,16,6,30,11,22,1,40,9,8,19,33,29,28,23,37,47,7,41,3,5,15,25,26,14,20,2,39,35,38,10,44,34,43,46,45,27,4,48,18,21,12,,
35,37,33,41,15,20,17,16,10,30,13,24,1,32,9,6,7,34,27,22,29,36,47,8,40,2,5,25,26,23,12,21,3,39,31,43,11,42,38,45,48,46,28,4,44,19,18,14,,
32,35,31,40,15,17,14,13,6,33,10,23,1,34,12,7,16,36,29,26,25,38,48,8,39,2,5,21,27,24,9,20,4,41,30,42,11,46,37,43,45,44,28,3,47,19,18,22,,
