rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,numSeats,numCands
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,25,17,14,20,15,29,18,19,7,10,27,16,9,5,4,2,29,11,28,12,29,3,27,6,8,13,29,1,,
13,8,19,10,17,Skipped,23,14,18,7,16,21,15,Skipped,9,5,6,25,20,Skipped,12,11,2,24,1,3,Skipped,22,4,,
29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2,3,29,29,29,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,11,4,26,29,29,29,29,7,29,5,29,12,29,29,29,29,29,10,Skipped,3,29,6,1,29,29,2,,
29,9,29,10,18,12,29,15,29,8,17,29,29,16,11,5,6,29,13,29,29,14,4,29,2,3,7,29,1,,
2,1,3,1,3,2,Skipped,2,3,1,2,2,3,2,1,1,1,Skipped,2,2,Skipped,Skipped,1,3,1,1,2,3,1,,
Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,9,11,6,4,Skipped,Skipped,8,Skipped,Skipped,3,12,4,7,Skipped,Skipped,2,,
11,28,10,5,7,11,12,10,6,4,12,7,12,10,28,9,12,12,8,10,11,12,10,11,1,2,10,10,4,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
17,10,20,8,13,24,22,12,19,6,11,21,25,15,8,5,7,27,13,23,16,11,2,29,1,3,18,26,4,,
