rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,numSeats,numCands
6,40,40,40,40,40,40,7,40,40,40,40,40,40,8,14,40,40,40,40,12,11,4,1,40,10,40,13,15,5,40,2,40,40,40,3,40,11,40,40,,
1,40,40,40,40,40,3,40,40,40,40,40,40,5,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,,
11,29,29,7,8,26,16,19,5,29,29,24,29,13,20,15,29,29,25,17,3,2,1,22,29,18,29,12,29,4,28,9,29,21,14,27,29,10,23,6,,
9,15,21,37,39,1,11,8,3,35,12,38,25,21,36,10,34,31,28,16,27,4,24,26,29,32,30,2,23,40,23,5,33,6,13,21,14,21,7,21,,
20,31,13,19,23,22,26,5,18,34,39,10,37,9,27,4,36,30,3,7,33,28,1,24,32,38,11,8,40,14,25,15,35,16,2,12,6,29,17,21,,
40,40,40,3,40,40,8,40,1,40,40,40,40,15,40,40,11,40,40,2,5,40,14,9,40,40,40,4,40,7,40,40,40,10,12,6,40,40,13,40,,
40,40,40,16,40,40,8,9,7,40,3,40,40,40,17,40,18,40,6,40,21,1,4,22,14,20,13,5,40,19,11,40,40,15,23,12,40,2,10,40,,
10,35,34,2,18,12,26,3,6,37,40,4,38,24,28,14,16,39,13,27,32,19,5,23,33,7,25,30,36,1,21,29,31,22,8,20,9,11,15,17,,
12,38,37,20,2,32,23,1,5,7,25,19,40,28,16,29,39,27,13,34,9,17,18,35,36,26,31,21,14,15,10,8,33,4,6,24,11,30,3,22,,
9,40,40,4,1,40,40,10,40,40,40,40,3,40,40,40,8,40,13,40,7,40,14,40,40,40,40,12,40,2,40,40,11,40,5,40,40,40,40,6,,
13,37,25,15,26,22,4,28,23,39,33,36,40,30,5,20,1,29,32,21,35,12,31,9,24,19,7,10,38,14,17,27,2,6,16,3,34,8,11,18,,
21,18,38,5,14,15,8,38,10,37,23,35,31,1,40,2,36,31,39,6,16,17,7,19,39,34,12,36,32,9,37,24,33,20,3,38,4,22,13,11,,
