rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,numSeats,numCands
4,15,20,19,27,3,34,25,5,10,18,21,14,24,30,6,28,31,12,33,36,23,16,13,32,1,7,26,8,11,22,9,29,35,2,17,,
9,36,36,7,11,8,36,36,35,36,36,36,36,36,1,36,3,35,6,10,36,36,36,2,5,36,36,20,36,36,36,36,36,4,36,36,,
18,33,2,34,7,4,36,19,17,5,3,33,33,33,12,36,36,16,11,34,36,33,33,15,36,1,8,35,9,6,33,10,33,14,13,36,,
36,36,10,5,11,7,36,36,36,8,1,36,36,36,15,36,13,36,36,4,36,36,36,14,36,2,36,36,36,36,36,9,36,3,6,12,,
16,24,11,36,27,28,36,6,19,21,1,17,7,22,4,13,12,8,14,10,36,15,20,36,36,3,23,36,9,18,25,36,26,2,5,36,,
4,36,36,8,10,12,36,13,36,36,36,15,36,36,36,14,5,9,2,6,36,3,36,36,36,36,36,36,36,36,36,36,36,1,7,36,,
36,36,4,36,10,10,36,5,36,10,3,36,8,36,9,36,36,36,36,36,36,1,36,36,36,7,10,36,36,36,36,36,36,2,36,36,,
9,36,5,36,36,8,36,36,4,3,2,36,7,16,14,10,36,36,15,13,36,36,36,36,36,1,36,17,6,36,36,36,36,36,12,36,,
36,9,5,11,36,3,36,9,10,4,1,22,36,23,11,28,18,9,36,14,36,15,36,8,30,2,9,36,7,29,36,13,36,10,17,36,,
36,15,36,7,6,4,36,14,36,36,36,36,36,5,1,36,36,36,9,13,36,36,36,2,3,36,36,36,36,36,36,36,36,12,8,36,,
17,27,5,13,1,15,36,5,5,17,5,24,30,17,1,36,17,11,20,12,23,21,31,1,36,1,28,32,5,29,14,25,26,22,10,36,,
14,14,27,12,2,15,31,24,17,26,35,30,25,28,3,16,5,18,13,21,33,6,22,34,23,4,10,36,7,11,20,32,29,1,9,19,,
15,26,34,3,2,29,20,4,8,33,36,17,12,15,13,17,11,9,7,19,15,30,6,3,20,2,25,30,32,5,16,31,24,6,17,18,,
4,16,13,10,16,7,16,5,16,16,16,16,16,3,1,16,16,16,14,12,15,16,16,2,9,16,16,36,16,16,16,8,11,6,16,16,,
34,34,34,34,34,2,35,34,4,34,34,34,34,34,7,6,34,34,34,34,35,3,9,35,34,1,5,36,34,8,34,34,34,34,34,34,,
35,35,10,35,11,5,35,6,35,7,4,35,35,13,1,35,35,12,35,35,35,35,35,2,35,3,35,35,9,35,35,15,8,14,35,35,,
36,5,36,2,36,3,36,1,36,36,2,36,36,1,1,36,4,36,2,36,36,36,5,1,36,36,36,36,36,36,36,36,36,2,36,36,,
20,10,20,36,10,5,36,36,10,36,8,20,10,10,15,10,25,10,19,30,36,8,8,15,36,1,10,10,20,36,20,24,20,8,36,36,,
3,13,7,11,18,2,8,35,6,14,2,35,35,35,5,35,35,17,12,1,35,16,35,35,9,2,35,36,15,35,19,20,35,35,4,35,,
9,17,16,7,4,16,35,17,16,16,10,16,16,5,1,35,15,16,8,6,35,16,16,3,17,12,16,36,16,16,16,2,13,11,14,35,,
4,36,10,36,7,3,36,12,36,11,2,36,36,36,5,36,36,8,36,36,36,36,36,36,36,1,36,36,9,36,36,36,36,5,36,36,,
36,9,5,31,8,3,36,30,30,6,1,2,30,23,31,30,36,10,32,31,36,30,30,36,31,4,30,35,11,7,30,31,30,31,30,36,,
17,36,36,11,36,4,36,36,36,18,19,20,21,12,4,6,5,36,2,3,36,7,36,10,9,8,14,36,36,36,36,16,36,1,15,13,,
29,25,12,4,16,36,2,22,24,21,23,17,13,15,20,32,35,19,18,1,33,9,11,31,30,3,34,27,10,28,26,6,14,8,7,5,,
18,35,21,29,31,1,36,20,32,21,17,23,32,35,28,22,16,33,27,24,36,36,35,35,30,19,34,36,21,23,35,32,31,22,15,36,,
36,9,11,36,36,3,36,36,10,7,1,36,36,36,12,36,36,36,36,14,36,4,36,36,36,2,36,36,6,8,15,17,36,13,16,36,,
36,36,36,1,14,11,36,36,10,36,2,4,36,36,36,7,36,36,12,16,36,3,36,36,36,8,36,36,13,9,36,15,36,5,6,36,,
17,14,26,32,22,21,26,18,9,4,5,29,13,31,12,10,30,8,15,11,34,27,20,28,6,1,26,24,2,7,16,23,19,35,3,33,,
5,32,13,36,32,36,36,3,33,33,4,5,32,3,1,11,4,33,12,34,36,8,6,2,9,11,32,35,34,33,34,36,7,9,36,7,,
22,29,11,36,19,4,33,26,5,10,1,17,16,18,6,9,14,15,13,12,21,25,28,34,32,3,27,35,8,20,30,23,31,7,2,24,,
4,35,35,9,35,5,35,35,35,35,3,11,35,35,1,7,11,35,35,35,35,11,8,36,35,10,35,36,35,35,35,36,35,2,6,36,,
21,26,12,25,10,11,16,18,26,7,8,24,26,9,3,23,26,20,26,6,26,22,26,13,1,2,26,27,4,26,19,15,26,17,5,14,,
30,24,7,32,12,20,33,11,14,10,6,29,26,17,19,16,15,13,5,4,34,3,25,35,22,2,28,36,8,27,21,9,18,31,1,23,,
4,36,36,36,36,6,36,36,36,36,36,36,36,8,2,36,3,36,36,36,36,36,36,1,36,5,36,36,36,36,36,36,36,9,7,36,,
3,28,16,24,14,6,36,5,8,13,11,12,20,4,1,36,25,30,23,36,36,7,9,27,26,10,18,29,15,19,21,36,22,2,17,36,,
14,11,10,36,1,2,36,6,19,4,17,22,26,7,12,3,21,9,36,29,23,20,27,24,36,15,8,36,5,25,18,12,28,13,16,36,,
2,19,33,31,14,4,35,13,3,7,6,24,17,27,5,28,11,8,30,29,16,21,18,10,34,1,23,32,9,22,12,25,15,26,20,36,,
6,34,34,34,30,5,36,3,33,32,21,34,33,8,1,34,30,36,34,36,36,7,30,2,10,20,32,35,32,32,34,30,30,4,36,36,,
3,6,4,4,6,2,2,6,5,2,1,5,5,6,3,5,5,6,4,2,5,4,6,6,2,3,6,36,2,6,5,5,6,4,4,6,,
36,6,36,8,36,36,36,36,36,36,1,36,36,3,36,36,7,36,5,36,36,36,36,36,36,2,36,36,36,36,36,36,36,9,4,36,,
4,22,7,1,16,13,29,12,10,31,8,31,11,24,27,4,30,20,18,35,35,3,14,26,19,2,15,36,23,17,25,35,21,5,9,6,,
1,1,1,2,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,1,36,2,2,36,2,1,1,36,1,2,1,2,2,1,1,36,,
12,25,28,18,33,14,35,7,3,20,19,10,23,16,1,32,5,2,9,17,8,4,24,6,34,11,21,36,27,22,29,31,30,15,13,26,,
4,35,36,36,5,6,36,35,3,3,4,35,6,35,3,5,36,4,36,3,36,35,35,36,3,3,35,36,3,35,35,3,35,1,2,36,,
