rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,numSeats,numCands
51,3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,4,51,51,51,51,51,2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,5,,
7,6,37,21,30,50,34,35,1,29,51,22,41,46,44,16,49,45,20,36,48,43,2,9,5,24,32,17,18,38,23,26,28,11,42,4,25,27,39,8,15,19,33,31,12,10,47,40,16,16,3,,
51,9,51,51,51,51,51,51,51,9,51,51,51,51,51,9,51,51,51,2,51,9,51,51,51,9,51,9,51,51,51,51,51,51,51,51,51,51,9,51,51,51,51,51,9,51,51,51,51,51,1,,
51,51,51,51,7,51,51,51,1,51,51,51,51,20,51,51,51,51,51,51,51,51,3,51,51,51,10,51,51,51,51,51,3,51,51,4,51,51,51,2,51,51,51,51,51,51,51,51,51,2,51,,
51,51,51,51,51,4,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,1,51,51,51,51,51,51,51,51,3,51,51,51,51,51,51,,
51,51,51,51,51,51,51,51,51,51,51,13,51,51,13,51,51,51,51,51,51,51,51,4,51,51,10,51,10,51,51,51,11,10,51,51,51,5,13,51,14,6,1,51,2,3,51,51,51,51,51,,
10,51,51,51,51,1,3,51,6,51,51,51,51,51,51,51,51,51,9,51,51,4,13,51,12,7,51,51,8,51,51,51,51,51,51,51,51,51,51,5,51,51,51,51,51,51,51,51,51,11,2,,
51,51,51,51,51,51,2,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,4,51,51,51,51,51,4,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,51,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,,
2,43,43,48,43,6,43,4,43,43,43,43,43,43,43,43,51,50,43,43,43,43,45,43,3,43,43,43,43,43,43,6,43,43,43,47,43,44,43,43,43,5,43,46,43,49,9,43,43,1,43,,
51,51,51,51,2,51,4,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,51,51,51,51,51,51,51,51,51,51,,
4,51,51,51,51,51,51,51,51,51,51,51,51,51,51,13,51,51,51,51,51,3,51,51,3,51,51,51,10,51,51,51,12,2,51,1,51,51,5,7,51,51,11,51,51,51,51,51,6,51,9,,
44,44,44,46,44,44,44,44,44,44,5,44,44,44,49,45,47,44,51,3,44,44,44,44,50,44,48,51,51,49,44,44,51,2,51,9,51,44,44,1,44,44,44,44,44,44,50,44,44,44,4,,
40,43,37,32,46,36,1,12,29,42,30,31,18,6,4,21,16,10,33,7,11,15,3,50,38,2,47,26,20,14,35,19,34,23,8,51,28,44,17,9,24,27,45,25,49,48,13,5,22,39,41,,
18,22,50,50,50,50,50,3,20,50,50,6,17,50,50,8,7,13,50,50,50,1,50,23,2,15,9,50,50,50,50,50,50,50,14,50,19,11,16,24,12,51,10,50,4,50,50,5,50,21,50,,
2,51,51,51,51,51,51,51,51,51,51,4,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,50,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,,
4,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,6,1,51,51,51,2,51,51,51,51,51,51,3,51,51,51,51,51,51,51,51,51,51,51,51,51,5,51,,
51,3,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,4,51,5,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,,
50,2,50,50,50,51,4,50,50,5,50,8,50,50,50,50,50,50,50,50,50,50,11,9,3,12,50,50,50,50,1,10,50,50,50,50,50,50,50,50,50,50,50,50,50,6,50,50,50,50,7,,
6,17,51,51,51,51,51,51,3,51,51,51,16,10,51,51,51,9,51,51,51,51,8,51,51,51,51,51,51,51,11,12,13,2,51,7,14,51,51,13,51,5,51,51,13,51,51,51,51,51,1,,
51,3,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,6,5,51,51,51,51,51,51,51,51,2,51,51,51,51,51,4,51,51,51,7,51,51,51,51,51,51,51,,
51,51,51,51,51,8,51,51,1,51,2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,1,51,3,51,51,51,5,51,51,51,51,51,51,51,51,51,51,51,,
2,51,51,51,51,51,4,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,51,51,51,51,51,,
5,6,51,6,51,6,51,51,4,51,7,51,51,6,6,51,51,51,51,51,51,51,51,51,2,51,51,51,6,51,6,51,51,6,3,6,51,51,51,6,51,51,51,51,51,51,51,51,51,51,1,,
51,51,51,51,51,51,4,51,51,51,1,51,51,51,51,6,51,51,51,51,51,5,51,51,51,2,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,51,51,51,51,51,51,1,51,,
1,14,37,20,27,17,18,36,24,31,9,19,12,10,44,23,47,38,39,41,42,11,25,13,34,30,29,7,22,46,15,48,51,5,46,6,8,49,40,16,26,3,28,50,32,33,35,45,21,2,4,,
3,51,51,51,51,51,51,51,3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,10,51,51,51,1,51,51,51,51,6,51,2,51,51,51,1,51,51,51,51,51,51,51,4,51,51,51,,
2,50,51,51,51,51,11,51,6,51,51,12,51,51,51,51,51,51,51,51,51,51,11,51,2,51,51,51,7,51,50,51,51,11,51,51,51,51,51,11,51,1,51,51,51,51,51,51,51,2,5,,
3,51,51,51,51,51,51,51,5,51,51,51,51,51,4,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,,
10,6,37,17,20,49,31,40,25,26,30,16,35,46,34,15,51,43,22,39,45,44,3,5,4,19,32,29,14,50,7,36,47,1,38,2,11,28,41,24,21,8,33,27,13,12,42,48,18,9,23,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,51,51,51,51,51,51,51,51,51,,
51,2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,4,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,2,51,51,51,51,51,,
4,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,5,51,1,51,51,51,2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,6,,
51,10,51,51,51,10,7,51,51,10,10,51,51,9,51,51,51,51,51,51,51,3,4,51,51,40,51,51,51,51,51,51,51,51,51,2,51,51,51,5,51,51,51,51,51,51,51,51,51,51,1,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,,
15,8,37,35,13,4,3,38,36,22,9,31,49,50,51,17,43,44,27,48,40,46,14,28,30,1,11,19,29,47,18,24,10,23,39,25,33,26,41,2,32,21,12,20,6,5,42,45,34,16,7,,
51,3,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,51,51,51,51,,
21,38,2,15,51,39,29,4,28,51,26,51,12,6,16,10,24,9,38,14,13,20,25,51,3,40,51,41,11,19,38,51,51,31,8,38,30,33,17,27,51,18,51,23,51,51,1,5,7,22,32,,
9,51,51,9,51,51,51,51,51,51,51,51,51,51,51,51,51,51,9,51,51,51,51,51,2,1,5,51,51,9,3,51,51,51,51,51,51,51,51,6,4,51,51,51,51,51,51,51,51,51,51,,
