rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,numSeats,numCands
51,1,11,11,51,11,11,51,7,51,51,51,51,51,51,51,51,2,3,11,11,51,51,11,4,51,9,5,51,11,11,11,8,11,51,51,51,51,51,51,51,11,51,51,51,6,51,11,11,51,10,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,51,51,3,51,51,51,51,51,,
21,47,36,31,40,36,5,46,33,6,28,24,19,10,42,7,18,14,39,12,45,44,48,8,23,27,15,34,50,32,2,11,16,25,17,29,30,26,35,20,3,41,49,43,13,1,22,4,38,51,9,,
51,51,51,51,2,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,,
10,33,27,37,2,1,23,13,50,42,12,3,20,30,13,40,44,18,31,47,39,12,12,48,49,51,29,13,17,21,41,36,43,26,19,22,35,15,45,16,13,34,14,13,38,4,32,28,25,24,46,,
45,30,34,5,41,17,7,37,6,28,22,46,31,4,47,2,27,35,20,11,26,51,14,10,24,42,12,3,34,40,16,18,8,19,21,22,43,49,39,38,40,33,48,44,1,29,32,13,15,25,9,,
51,51,51,1,51,51,1,51,51,51,51,51,51,51,51,2,51,51,51,2,51,51,51,1,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,51,,
51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,3,51,51,51,51,6,51,51,51,51,51,51,4,51,51,51,51,2,51,51,51,51,5,51,7,51,51,51,51,51,51,51,51,51,,
51,51,51,51,2,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,51,51,3,51,51,51,51,51,51,51,,
51,51,51,51,1,1,51,51,51,51,3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,1,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,1,2,51,51,11,51,7,4,51,51,51,51,51,51,51,51,10,51,3,51,12,51,51,51,51,51,51,51,51,51,51,51,51,6,51,51,51,51,51,51,51,5,51,51,51,51,51,,
51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,2,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,2,51,51,51,51,51,51,51,51,51,51,51,4,51,51,51,51,4,51,51,51,51,51,3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,6,51,51,51,51,51,1,,
51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
30,25,31,38,51,1,8,51,19,34,51,10,18,29,21,26,23,51,7,13,27,16,51,14,51,22,51,33,35,37,51,12,15,32,11,5,24,51,17,51,51,4,2,6,28,51,20,3,9,51,36,,
19,51,14,51,1,2,51,13,51,51,5,12,51,51,16,51,51,13,51,51,51,10,11,51,22,51,51,15,9,51,51,51,51,51,51,8,51,21,51,3,17,7,4,18,51,20,51,51,51,6,51,,
2,51,51,51,1,51,51,51,51,51,4,5,51,51,51,51,51,51,51,51,51,51,51,51,3,51,51,6,51,51,51,51,51,51,51,51,51,51,51,51,7,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,51,51,3,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,,
