rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,numSeats,numCands
17,37,7,12,33,1,2,17,19,14,34,18,31,5,6,28,24,26,13,21,25,23,20,3,32,29,35,11,9,15,10,27,4,8,22,30,36,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,21,37,19,37,37,6,37,2,3,37,10,37,37,37,1,37,37,37,37,4,37,5,37,37,21,37,12,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
7,37,24,20,35,24,24,5,24,18,34,3,24,25,8,33,22,19,1,24,28,33,24,4,36,23,10,2,9,33,11,26,21,6,27,33,33,,
36,36,37,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,4,36,36,2,37,36,36,37,36,36,36,36,6,36,3,36,5,36,36,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
2,37,37,37,32,37,37,37,37,37,33,37,37,6,4,37,37,37,1,37,37,37,25,8,15,10,37,13,35,7,3,37,37,5,37,36,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
36,36,4,36,2,6,12,36,7,5,36,36,10,36,14,36,36,13,8,11,36,36,37,1,36,36,36,15,3,36,10,36,36,36,36,36,36,,
20,37,28,15,24,14,16,26,18,5,32,9,3,17,12,23,7,29,2,22,4,36,31,11,33,6,21,13,30,19,1,25,8,10,27,34,35,,
37,37,37,37,37,37,37,37,1,37,37,37,37,1,1,37,37,37,1,37,37,37,37,1,37,37,37,37,37,37,1,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,,
35,36,35,35,35,35,35,14,2,35,35,5,7,12,35,35,13,35,8,35,9,35,35,3,37,11,35,35,1,35,6,35,10,4,35,35,35,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
16,32,18,5,35,14,8,19,34,9,37,1,11,15,13,26,20,28,23,12,6,33,29,24,36,22,21,17,7,25,10,27,3,2,4,31,30,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
37,32,10,37,29,35,33,37,8,20,37,37,2,5,7,37,37,14,1,37,26,37,5,25,37,30,36,18,37,37,3,37,37,10,35,34,9,,
37,37,37,3,37,37,37,37,9,6,37,1,37,37,8,37,5,37,2,37,7,37,37,37,37,37,37,37,37,37,4,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
18,37,19,9,37,37,20,7,20,8,37,1,37,15,3,12,6,37,6,12,20,37,37,5,37,5,26,10,4,10,12,15,12,2,27,11,37,,
2,37,15,37,17,12,6,37,4,6,37,37,14,37,9,37,37,37,1,16,37,37,13,7,37,37,37,11,6,37,10,37,8,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,5,37,37,19,37,37,37,37,21,37,37,37,37,6,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,,
21,37,26,28,18,25,5,13,33,3,18,15,2,10,14,36,6,34,8,29,30,23,31,1,11,9,12,4,16,20,19,32,24,7,22,35,27,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,,
37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
27,34,17,26,36,12,6,30,19,10,35,3,5,22,14,20,7,24,1,15,29,32,23,25,37,11,28,18,21,16,4,8,9,2,13,31,33,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,,
20,33,34,24,11,3,6,9,7,12,26,10,13,8,2,23,30,16,17,15,25,29,5,4,19,36,31,14,37,22,1,18,27,21,32,35,28,,
25,33,19,27,7,21,5,3,6,17,26,22,14,4,16,24,32,11,12,13,35,2,20,36,8,1,29,10,18,31,15,34,37,9,30,28,23,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
14,33,30,35,36,6,24,16,5,20,37,9,12,4,7,31,27,21,1,10,34,32,23,11,13,22,28,3,29,15,2,19,25,8,26,17,18,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
3,37,18,17,35,15,6,20,16,4,36,26,22,14,5,31,11,23,2,25,32,21,18,12,34,30,10,13,27,24,8,26,7,1,9,29,33,,
6,37,19,16,37,13,23,14,17,7,37,22,12,5,11,37,26,24,3,18,21,29,20,4,37,12,27,9,1,15,10,28,8,2,25,37,30,,
36,37,37,37,37,37,37,37,1,33,37,37,2,35,37,37,37,37,37,37,37,31,37,37,37,37,37,37,37,32,37,34,37,37,37,37,37,,
13,31,29,32,36,16,16,1,10,6,37,21,22,2,11,30,9,26,4,24,17,25,28,3,35,33,14,5,8,21,7,27,19,12,15,23,23,,
25,37,16,12,37,3,2,10,6,26,37,8,28,17,23,24,14,27,15,5,21,37,32,4,37,18,19,1,7,11,9,31,13,22,20,30,29,,
37,37,37,1,37,37,1,2,37,37,37,2,37,1,37,37,37,37,2,37,2,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,,
23,32,4,24,3,8,11,20,6,5,26,29,9,17,7,25,35,12,15,16,27,33,2,18,19,36,34,13,1,22,10,14,30,21,37,31,28,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,3,37,37,2,37,37,37,,
37,37,37,37,37,37,37,37,3,2,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,,
9,36,6,29,33,11,7,28,22,5,34,13,21,14,8,24,3,17,15,4,25,35,18,1,32,12,27,20,19,26,2,16,10,23,30,37,31,,
33,35,31,21,25,11,8,15,9,11,14,24,11,3,10,26,13,27,12,11,20,36,28,1,17,18,19,6,23,37,4,17,22,30,35,29,32,,
37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,1,3,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,,
37,1,37,37,1,37,37,37,37,37,1,37,37,37,37,37,1,37,37,37,37,37,37,37,1,37,1,37,37,37,37,37,37,37,1,37,1,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,,
8,27,20,20,20,20,5,20,20,10,20,6,20,2,4,20,1,20,9,5,20,37,20,20,20,3,20,20,20,11,20,20,7,20,20,30,27,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,4,3,37,37,37,7,37,37,13,20,8,37,37,36,35,1,37,10,12,37,37,37,37,37,7,2,11,36,36,,
21,37,5,37,21,1,2,4,1,6,22,37,21,4,21,37,37,5,6,21,37,9,7,21,21,37,37,21,21,37,8,8,37,37,37,37,37,,
37,37,14,37,14,14,14,19,14,14,37,37,14,19,14,37,37,14,14,15,37,37,1,19,19,2,37,14,14,37,20,19,37,37,37,37,22,,
37,37,37,37,37,37,1,37,37,37,37,37,37,2,37,37,37,37,2,37,37,37,37,2,1,37,37,37,37,37,37,37,37,1,1,37,37,,
37,37,7,37,37,4,37,37,37,9,37,1,37,37,37,37,37,37,6,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,,
15,37,11,27,14,13,12,20,13,19,35,30,28,5,25,36,3,20,8,20,26,2,18,6,23,22,24,29,10,1,4,31,33,7,34,21,32,,
29,37,6,30,20,7,4,26,5,3,37,8,13,17,12,25,10,15,14,19,37,18,2,9,27,31,33,22,21,32,1,24,37,16,11,28,23,,
36,37,15,36,19,4,13,12,5,36,17,36,1,3,11,36,36,36,6,9,7,36,14,36,36,2,36,19,18,36,10,8,36,36,36,16,36,,
37,37,37,37,37,37,37,37,37,3,37,37,2,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,,
17,34,20,5,19,24,18,29,7,6,30,13,25,3,23,35,33,27,28,26,14,16,21,37,11,31,32,9,8,4,22,12,15,1,10,2,36,,
18,20,35,25,37,7,14,1,10,9,36,11,12,3,6,13,37,13,16,32,37,37,32,15,36,37,37,33,34,16,5,20,20,27,37,37,37,,
37,37,37,37,37,4,37,37,37,37,37,37,8,37,1,37,37,37,7,37,10,37,5,2,37,37,37,9,6,37,3,37,37,37,37,37,37,,
11,28,17,13,34,1,17,10,33,32,36,14,31,9,3,28,16,6,7,30,22,15,8,5,35,18,28,22,23,29,4,28,22,12,37,22,28,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,4,37,37,37,37,1,37,3,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
11,37,34,23,32,5,3,24,3,7,26,4,6,10,31,22,14,35,8,29,25,20,36,28,17,13,16,30,33,12,1,27,21,9,15,18,19,,
37,37,37,37,37,3,8,37,37,37,37,21,9,12,2,37,4,37,37,37,37,37,37,1,37,6,10,37,37,37,9,37,37,37,37,37,5,,
36,36,37,7,36,2,9,36,36,36,36,5,36,12,3,36,36,36,14,36,36,36,13,1,36,6,36,36,8,36,4,15,36,10,11,36,36,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
8,37,37,37,37,37,10,14,37,37,37,37,7,11,5,37,37,3,4,13,37,37,37,2,1,1,37,9,12,37,6,37,37,37,37,37,37,,
26,34,16,31,37,11,21,14,18,18,36,31,3,2,8,31,33,21,9,21,5,7,17,12,35,27,32,15,6,26,4,21,22,13,1,10,20,,
7,37,8,10,31,14,5,9,13,24,34,19,15,1,25,33,4,35,2,22,27,36,32,23,12,16,29,21,11,17,3,26,20,18,6,30,28,,
21,29,35,32,37,27,24,33,13,1,37,4,31,3,15,12,37,22,2,14,36,7,34,17,37,30,30,23,6,28,11,25,5,16,8,37,26,,
20,31,21,28,37,10,9,15,33,16,36,27,7,17,11,32,5,14,3,35,19,6,13,8,34,26,23,4,24,2,1,22,30,25,29,18,12,,
1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
28,35,33,3,31,23,24,6,4,32,30,1,26,12,15,19,37,20,7,22,16,17,27,9,18,14,36,8,10,29,21,11,5,13,2,25,34,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
31,37,14,9,18,22,18,29,18,3,34,10,22,8,22,33,21,32,5,22,26,13,18,28,30,36,20,4,2,27,7,11,1,6,19,35,12,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
20,33,24,22,34,11,4,2,17,21,35,19,27,8,26,37,9,31,7,15,5,13,25,1,36,14,30,3,23,10,16,28,12,18,6,32,29,,
15,32,19,13,36,28,20,11,31,10,35,8,25,5,16,17,1,29,2,22,23,14,26,18,34,37,3,12,27,6,30,24,7,21,4,33,9,,
37,9,1,37,37,37,2,37,37,12,4,37,13,3,14,10,6,37,11,37,37,37,37,37,37,5,7,37,37,15,37,37,37,37,8,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
34,34,10,34,34,34,1,9,34,34,34,34,35,5,3,34,34,34,2,34,34,37,34,4,34,34,34,34,7,8,34,34,34,34,34,34,6,,
4,34,8,23,24,18,9,15,6,5,37,34,22,7,16,26,14,22,2,22,26,34,13,1,36,34,34,10,11,17,12,22,34,3,34,34,34,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,5,29,37,37,37,3,37,37,37,37,37,37,37,4,37,37,,
18,31,3,27,35,22,2,11,23,7,36,1,19,14,10,29,32,24,10,25,15,21,16,5,28,8,33,4,17,20,13,26,30,6,34,12,37,,
37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,1,37,37,37,1,37,37,14,37,1,37,37,37,37,37,37,1,37,37,37,37,1,37,37,1,37,1,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,,
