rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,numSeats,numCands
25,25,1,25,25,25,25,10,25,11,25,25,9,12,2,5,7,25,4,25,8,25,3,25,6,,
25,25,6,25,25,25,25,25,25,25,25,7,25,25,25,25,25,3,5,4,25,25,1,2,25,,
15,17,25,22,8,13,7,12,21,16,9,6,3,19,24,20,5,18,2,23,11,14,4,1,10,,
17,4,11,24,10,24,17,8,17,17,17,9,17,17,17,6,25,3,1,2,17,24,8,5,24,,
25,25,25,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,2,25,25,25,25,,
25,1,25,25,25,25,25,24,22,25,25,25,25,23,25,25,17,25,19,25,25,18,16,20,21,,
12,14,10,9,11,18,18,7,18,18,23,5,2,18,20,18,3,22,1,13,6,25,24,8,4,,
22,1,3,8,10,17,16,15,9,2,24,12,7,4,19,18,5,11,21,20,14,25,23,13,6,,
18,21,20,11,22,10,5,9,13,7,15,3,19,2,1,24,23,6,16,8,17,12,25,14,4,,
25,25,15,25,10,25,25,6,25,4,25,1,9,11,25,12,13,5,14,3,25,8,7,25,2,,
25,25,10,15,16,25,25,9,25,13,12,2,3,7,25,6,1,25,4,11,8,25,5,14,25,,
25,25,25,4,25,25,25,6,25,1,25,25,8,25,25,9,25,3,7,11,25,25,5,2,1,,
16,25,12,22,4,22,25,11,15,14,17,25,1,8,22,9,7,22,3,5,13,25,2,10,6,,
20,1,15,18,7,21,19,25,10,23,6,14,4,12,9,2,24,17,3,5,22,8,10,16,13,,
25,25,1,25,25,25,25,25,1,25,25,25,25,25,1,25,25,25,25,25,25,25,1,25,25,,
13,20,6,12,8,16,23,9,19,22,24,11,7,2,1,18,21,17,5,25,11,14,3,15,4,,
25,25,25,25,1,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3,,
25,25,25,25,5,25,4,25,25,25,2,25,7,25,25,25,25,25,25,6,25,25,3,25,1,,
5,25,25,25,2,1,25,25,10,25,25,25,25,25,8,6,7,25,25,25,4,11,9,25,3,,
25,25,25,2,25,25,25,25,25,25,25,25,25,25,3,25,25,25,25,1,25,25,25,25,25,,
24,2,15,17,16,23,18,14,19,7,13,21,4,20,22,6,8,3,9,12,25,1,5,10,11,,
25,25,1,5,25,25,25,8,25,10,25,25,6,25,2,25,25,25,11,25,4,25,3,9,7,,
6,25,25,8,10,25,25,25,25,25,1,25,2,11,5,25,4,25,9,12,3,25,7,13,25,,
24,24,24,2,24,24,24,24,24,5,24,24,24,24,24,24,6,24,3,25,4,24,1,24,24,,
12,2,25,24,21,22,20,4,19,11,17,5,18,16,23,13,14,15,10,6,8,1,9,7,3,,
17,14,19,16,6,13,9,23,3,11,10,25,20,7,21,5,24,8,15,1,18,12,4,22,2,,
25,25,25,25,3,25,25,6,25,25,25,25,25,25,25,5,1,25,4,8,25,25,2,25,7,,
25,25,1,1,1,25,25,25,25,25,25,25,25,25,1,1,1,1,1,25,25,25,1,25,1,,
25,24,24,1,5,24,24,24,24,24,24,24,11,13,24,3,4,8,10,7,12,24,2,9,6,,
6,25,25,3,25,25,25,25,25,25,4,25,25,25,25,25,2,25,1,5,25,25,25,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,25,1,25,25,25,25,25,25,3,,
24,24,24,24,24,24,9,24,4,24,24,2,25,5,8,24,13,6,1,10,24,12,3,11,7,,
23,23,1,14,5,23,23,11,23,23,16,15,3,12,2,8,6,23,9,23,17,10,4,13,7,,
22,25,11,22,16,7,3,22,16,10,22,1,16,23,17,4,22,16,9,6,16,24,5,8,2,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,25,25,,
25,4,25,25,25,8,25,25,25,25,25,25,25,25,25,2,6,25,5,25,25,7,1,25,3,,
9,25,7,5,25,25,25,25,25,25,10,25,4,11,25,3,6,25,8,25,25,25,1,25,2,,
23,23,23,23,1,2,23,23,8,14,24,22,10,24,13,9,11,25,5,23,23,25,5,12,5,,
25,2,6,25,25,25,25,25,5,25,8,25,25,25,25,25,6,3,25,8,25,1,4,25,25,,
25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,,
25,25,25,25,25,25,1,25,25,25,25,4,25,25,5,25,25,25,25,2,25,25,25,25,3,,
9,23,24,25,11,18,19,13,20,2,16,12,5,10,17,15,14,21,1,7,22,8,4,6,3,,
25,25,3,7,25,25,25,11,25,25,12,25,8,10,9,25,1,4,2,5,25,13,25,25,6,,
3,19,14,7,24,6,17,11,20,12,5,22,21,16,15,25,1,13,2,23,4,8,9,18,10,,
25,25,25,3,25,25,25,25,25,25,25,3,25,25,25,2,4,25,4,3,25,25,2,3,1,,
11,25,25,4,6,10,25,25,9,25,25,25,3,25,25,25,5,7,25,25,25,25,1,8,2,,
5,25,17,24,18,21,14,16,8,9,3,13,23,12,11,6,2,22,1,19,6,20,7,15,10,,
25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,,
25,25,25,25,25,25,25,1,25,25,25,25,25,25,25,25,25,1,25,25,25,25,1,25,25,,
10,4,10,10,10,10,10,10,10,25,10,10,3,10,6,10,7,2,5,10,10,9,1,10,8,,
25,25,25,4,25,25,25,8,25,25,25,1,10,25,25,9,2,25,5,25,6,25,4,7,25,,
25,25,2,25,2,25,25,1,25,1,25,25,2,25,25,1,1,1,1,1,25,2,2,2,1,,
22,22,6,24,22,22,22,22,22,22,22,22,7,1,2,5,8,22,23,22,22,25,4,22,3,,
25,25,25,25,25,25,25,25,25,25,25,1,10,25,25,25,2,25,8,3,25,25,6,25,4,,
19,3,9,1,12,14,20,11,21,15,16,17,24,25,22,6,5,23,8,13,18,2,4,7,10,,
25,25,25,25,2,1,25,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
25,12,10,9,2,25,25,10,15,6,10,11,5,8,7,2,4,25,3,8,15,12,1,10,11,,
25,25,25,25,25,25,25,25,25,25,25,2,3,4,25,25,5,25,25,25,25,25,1,25,25,,
25,25,6,25,25,25,25,4,25,3,25,1,5,3,4,2,2,25,25,1,6,7,25,25,2,,
8,3,7,13,6,25,25,17,25,12,25,9,2,10,19,14,4,25,11,25,18,16,1,15,5,,
25,25,25,1,2,25,1,3,25,25,25,25,2,25,25,1,25,25,25,25,25,25,1,25,3,,
3,25,25,25,2,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4,25,5,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
21,16,12,1,7,19,17,13,14,20,4,6,11,25,22,3,10,24,5,2,23,18,8,9,15,,
7,2,8,21,23,12,20,3,9,17,18,15,11,16,25,24,4,13,14,10,22,1,6,5,19,,
5,25,25,25,25,25,25,25,25,25,4,7,25,25,25,25,1,25,2,6,8,25,25,25,3,,
25,25,25,25,10,25,7,8,25,6,13,11,5,25,4,25,3,14,12,2,25,25,9,25,1,,
24,12,10,24,1,2,15,6,24,24,4,24,8,24,24,13,11,3,9,24,24,24,5,7,14,,
13,17,8,22,5,18,21,10,14,19,20,7,4,23,15,3,24,16,25,9,12,11,2,6,1,,
25,25,8,6,25,25,25,25,25,1,9,25,2,5,25,7,25,25,25,25,25,25,3,25,4,,
19,25,19,18,6,19,19,19,19,19,19,5,19,19,19,19,1,19,19,19,19,25,14,19,9,,
16,13,5,4,23,14,12,17,11,7,19,10,2,20,15,18,25,1,24,8,21,9,6,22,3,,
25,10,11,25,8,25,25,25,25,25,25,7,5,25,25,8,1,6,3,25,25,25,2,4,9,,
24,24,24,24,2,24,24,1,24,24,24,24,24,3,24,6,24,24,24,5,24,4,24,24,24,,
25,25,10,25,2,1,25,25,3,8,25,25,9,25,6,25,7,25,11,25,25,25,5,25,4,,
23,2,10,24,15,4,5,8,9,12,10,25,20,22,6,8,14,3,19,18,13,1,17,16,21,,
4,21,6,23,10,25,20,14,18,8,11,19,7,17,24,12,1,13,3,9,15,22,2,16,5,,
25,25,25,2,25,25,25,25,25,25,25,25,25,25,25,5,7,25,4,3,25,6,1,25,8,,
4,24,4,1,1,24,24,4,24,4,24,1,2,24,24,1,1,25,1,2,4,25,1,4,4,,
11,14,15,14,14,22,7,2,22,14,14,8,24,22,23,3,5,10,4,9,22,14,1,12,6,,
18,21,14,25,4,22,20,5,16,11,17,13,9,10,19,3,6,24,1,7,15,23,2,12,8,,
25,13,2,15,11,3,11,17,11,10,25,19,24,23,4,14,25,14,25,16,25,14,25,18,1,,
16,20,12,10,11,23,22,8,24,6,19,15,5,14,18,9,1,25,3,13,17,21,2,7,4,,
2,21,11,8,10,22,16,14,24,17,13,15,9,12,23,4,6,19,7,18,1,25,3,20,5,,
25,25,1,3,8,25,25,25,25,25,25,25,4,25,25,6,5,25,25,7,25,25,25,25,2,,
11,25,8,25,25,25,25,25,4,25,25,25,2,6,7,9,25,25,5,25,25,25,1,10,3,,
13,25,25,25,5,25,25,8,25,25,25,12,9,25,25,25,1,25,6,7,11,2,3,10,4,,
25,25,2,9,25,25,25,12,25,13,21,17,2,25,1,12,23,22,10,5,16,25,3,6,14,,
24,24,7,7,24,24,24,24,24,24,9,24,4,24,3,24,25,7,5,10,24,24,2,1,11,,
18,14,19,25,11,25,18,25,25,25,6,1,2,13,8,12,3,7,4,9,15,10,5,18,25,,
25,25,25,25,25,25,1,7,25,25,25,3,25,10,8,5,25,25,6,2,25,25,25,4,9,,
25,7,3,9,25,25,25,25,25,6,25,25,25,4,25,5,25,25,25,25,25,25,2,8,1,,
11,1,10,9,12,22,21,21,24,15,14,21,6,21,25,9,4,8,5,13,21,1,3,21,17,,
1,25,4,25,2,25,25,25,25,25,25,25,25,25,25,25,5,25,25,25,3,25,6,25,25,,
25,25,25,15,20,25,25,17,25,25,25,25,25,1,2,10,17,25,25,10,25,25,3,25,15,,
25,25,25,25,8,25,25,25,25,25,25,4,6,25,25,7,2,25,25,3,25,25,1,25,5,,
6,17,2,4,7,24,23,20,18,16,21,9,10,15,5,8,11,14,12,22,25,19,3,13,1,,
14,1,5,19,10,22,2,5,6,4,17,24,3,16,18,25,9,15,20,11,23,8,7,13,21,,
25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,1,25,25,25,25,25,25,25,25,,
6,25,25,25,25,25,25,9,25,3,25,25,25,25,25,8,2,10,1,4,7,25,11,25,5,,
12,25,4,4,2,25,12,4,3,25,12,12,4,4,12,3,4,25,3,4,12,25,1,4,2,,
16,23,12,2,1,21,16,16,22,11,16,19,9,9,18,1,5,24,4,7,17,25,3,10,20,,
4,6,22,11,8,23,21,7,24,20,5,16,15,10,25,13,2,12,1,19,3,18,14,9,17,,
14,14,14,5,16,18,9,13,14,2,17,11,3,6,14,12,19,8,20,4,7,10,25,14,1,,
16,2,8,9,20,19,23,21,18,24,13,17,6,12,15,11,3,22,10,4,14,1,7,25,5,,
8,20,13,6,9,22,21,23,17,24,18,14,19,3,4,10,15,25,1,16,2,7,5,11,12,,
25,25,2,6,11,25,25,9,25,25,25,25,8,25,1,25,3,25,5,25,25,25,10,4,7,,
1,25,6,25,25,25,25,25,25,25,3,25,25,25,25,25,25,25,25,7,2,25,4,25,5,,
17,25,9,25,2,4,11,7,19,21,10,13,15,18,17,5,1,14,25,25,12,20,3,16,8,,
12,1,5,10,25,25,25,25,25,25,25,11,6,12,12,25,2,25,9,25,25,7,3,8,4,,
25,25,25,25,2,25,4,25,25,5,25,1,25,25,25,25,25,25,25,6,25,25,7,25,3,,
14,23,20,17,6,8,12,19,4,10,22,24,11,1,2,21,9,13,7,5,15,18,3,16,25,,
25,25,25,25,4,25,3,1,25,1,3,25,3,2,3,2,1,25,2,25,3,2,1,2,4,,
25,25,25,2,25,25,25,25,25,25,25,1,25,25,25,2,25,25,2,2,25,25,2,25,25,,
25,25,25,25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
25,2,25,25,25,25,25,25,10,25,25,25,8,25,25,5,9,6,25,25,7,3,4,25,1,,
20,21,11,6,1,23,5,4,19,13,15,25,24,18,10,7,2,14,3,9,17,22,16,12,8,,
7,5,25,25,1,2,25,25,25,25,25,25,25,25,25,25,4,25,25,25,6,25,25,3,25,,
25,9,1,5,12,11,25,8,25,3,25,25,6,25,14,10,2,7,13,13,25,13,25,13,4,,
20,22,12,16,6,21,19,11,18,9,14,13,8,5,17,7,2,25,1,24,23,15,3,4,10,,
25,2,25,25,25,25,25,25,25,4,25,25,25,25,25,25,25,3,25,25,25,1,25,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,5,7,1,7,7,6,7,3,,
25,25,8,7,5,25,25,16,17,25,25,13,9,10,11,3,6,25,2,4,15,25,1,14,12,,
24,12,1,18,12,12,12,12,18,22,23,12,18,12,3,4,18,20,21,18,19,13,25,12,2,,
25,25,11,25,7,25,25,9,25,25,25,25,8,25,25,6,1,5,2,25,10,25,4,25,3,,
25,25,25,6,25,25,25,25,25,25,25,1,3,25,25,25,4,25,5,25,25,25,2,25,25,,
25,25,25,25,4,25,25,1,25,25,25,6,25,25,25,25,2,9,25,25,25,25,3,25,10,,
13,25,7,25,12,18,25,11,25,1,25,17,10,9,16,15,4,25,2,8,14,25,3,6,5,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4,1,25,25,25,5,25,2,3,,
22,24,7,22,10,22,22,22,22,12,9,22,5,22,6,11,2,22,1,3,22,25,4,8,23,,
19,21,19,19,19,23,19,19,24,19,25,19,19,19,19,20,2,7,3,4,19,22,1,6,5,,
25,25,25,25,2,25,25,25,25,4,25,4,8,9,25,7,2,5,1,1,25,25,3,25,6,,
25,17,11,10,5,23,22,6,20,16,19,14,9,8,13,1,7,21,4,12,24,18,2,15,3,,
25,25,25,25,3,2,25,25,25,6,25,25,25,25,25,5,25,25,25,25,25,25,1,25,4,,
25,25,25,25,2,1,25,25,25,25,25,25,25,25,3,25,25,25,25,25,25,25,25,25,25,,
25,25,25,6,9,25,25,8,25,25,25,4,7,25,25,25,1,5,3,11,25,2,10,25,25,,
25,25,25,25,5,25,25,25,25,25,25,25,25,25,25,25,4,25,1,25,25,25,2,3,25,,
25,25,11,2,4,25,25,12,13,25,25,25,6,25,25,3,9,25,8,10,25,25,1,7,5,,
12,15,16,15,2,16,2,2,18,16,16,14,13,25,2,2,2,18,2,2,16,25,2,2,1,,
25,25,25,25,25,2,11,25,7,25,25,25,4,5,8,3,10,6,1,25,25,25,25,25,9,,
25,25,11,2,4,25,25,13,12,25,25,14,8,15,25,3,6,16,10,9,25,25,1,5,7,,
4,23,8,18,16,24,25,10,20,7,17,13,3,21,5,12,1,19,2,22,6,14,15,9,11,,
25,25,25,25,10,25,25,9,25,25,25,1,3,4,25,8,6,25,7,25,25,25,2,25,5,,
25,25,25,25,25,25,25,25,25,25,25,25,25,1,2,25,25,25,25,25,25,25,3,25,25,,
22,8,18,24,21,15,4,2,5,9,14,23,3,11,12,17,16,10,6,13,25,19,7,20,1,,
25,25,25,1,25,25,4,25,25,25,25,25,25,25,25,25,25,2,3,25,25,25,25,25,5,,
25,25,25,3,3,25,3,2,25,3,25,1,3,2,3,2,1,25,2,1,25,25,2,25,1,,
24,21,21,9,13,21,24,14,12,11,22,25,2,3,8,15,4,21,7,6,21,16,5,10,1,,
21,12,1,14,7,21,14,23,14,11,6,21,5,25,2,4,9,14,10,21,13,24,3,8,22,,
21,20,15,11,3,4,22,16,19,1,15,8,10,25,9,17,5,18,2,15,7,23,24,15,6,,
25,25,3,25,5,25,25,25,25,25,25,25,2,25,25,25,25,25,25,25,25,25,4,1,7,,
24,8,24,24,2,7,24,5,24,24,24,24,6,24,24,24,24,24,4,24,24,24,3,24,24,,
25,25,25,25,25,25,25,25,25,25,25,25,4,3,25,25,6,1,25,2,25,25,25,25,5,,
18,4,2,5,5,13,10,3,8,2,17,11,1,25,9,2,1,7,2,6,19,7,1,3,4,,
25,25,5,25,9,25,25,15,25,16,11,25,4,13,10,3,2,14,7,12,25,25,1,8,6,,
7,1,10,22,18,18,19,6,18,25,18,18,18,23,18,20,3,21,9,4,18,2,8,24,5,,
25,25,25,25,25,25,25,3,25,10,9,6,25,1,25,25,5,1,7,4,25,8,2,25,11,,
3,25,2,4,4,25,25,4,25,2,24,24,2,4,24,2,1,25,1,4,3,25,1,3,1,,
25,25,25,25,25,8,25,25,25,3,6,25,25,25,10,25,1,9,25,25,11,25,25,25,2,,
25,25,5,2,25,25,25,25,25,25,4,25,5,25,25,3,25,25,4,25,25,25,1,25,25,,
5,25,25,25,2,1,25,25,25,7,25,25,25,3,25,9,8,25,25,25,4,25,6,11,10,,
25,25,9,2,7,25,25,25,25,25,10,8,5,25,25,25,1,25,6,3,25,25,4,12,11,,
25,25,8,25,1,25,25,25,25,25,25,25,25,4,25,2,5,25,6,7,25,25,3,25,25,,
22,2,7,21,20,18,19,3,24,12,25,25,10,6,11,13,8,16,9,15,17,1,14,23,5,,
5,25,25,12,25,9,6,8,25,7,25,10,25,25,11,25,25,25,4,25,1,25,2,25,3,,
22,23,20,20,25,23,23,4,23,6,22,25,3,20,21,23,25,1,20,5,23,10,7,20,2,,
23,1,6,5,13,24,19,14,15,22,21,18,7,9,10,8,4,20,11,17,16,2,3,25,12,,
20,22,12,23,1,19,21,10,18,7,16,17,8,4,14,5,9,24,2,13,15,25,6,11,3,,
25,10,25,5,12,25,9,25,25,25,25,25,4,2,25,7,25,10,6,1,25,11,8,13,3,,
24,24,24,24,1,2,24,24,24,24,24,7,24,24,24,24,3,25,6,24,24,24,5,24,4,,
22,22,22,22,22,22,22,23,22,1,22,22,3,24,22,22,4,25,22,22,22,22,5,22,2,,
25,25,25,25,2,25,25,2,25,2,25,25,25,25,25,25,1,2,1,25,25,25,2,25,3,,
22,10,15,1,17,13,8,18,25,19,23,6,14,16,24,3,4,12,7,9,21,20,2,5,11,,
14,25,12,3,13,21,18,23,20,11,16,5,8,24,15,7,9,4,1,6,22,17,10,2,19,,
25,25,25,25,2,5,25,25,4,1,25,8,7,25,25,25,9,25,6,25,25,25,10,25,3,,
9,6,5,25,22,16,11,20,21,8,14,12,23,18,17,19,7,24,1,3,10,13,2,4,15,,
25,25,25,2,1,25,2,1,2,1,25,1,25,1,2,1,1,25,1,2,25,25,2,2,2,,
25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,,
18,21,24,3,6,15,17,1,23,13,16,8,12,11,25,22,10,5,7,9,19,20,2,14,4,,
25,25,25,25,25,25,25,25,25,25,25,25,25,4,25,2,25,25,5,25,25,25,1,25,3,,
23,23,3,24,23,23,23,23,23,2,23,3,3,3,23,2,2,25,3,1,23,3,2,23,2,,
25,25,25,25,25,20,1,4,7,21,10,15,9,25,5,24,25,23,8,2,24,25,25,6,3,,
23,18,19,6,21,16,24,10,20,9,25,15,13,1,4,5,8,17,7,11,14,22,2,12,3,,
14,19,23,4,18,15,22,21,24,25,9,12,17,11,13,2,6,10,7,20,8,16,1,5,3,,
15,20,14,2,18,10,21,25,5,24,17,22,8,4,11,13,6,9,12,19,16,23,1,7,3,,
25,25,25,25,25,25,25,25,25,25,2,1,25,25,25,25,25,25,25,25,25,25,25,25,25,,
25,25,7,25,2,1,25,6,25,4,25,25,25,25,25,25,8,25,25,25,25,25,3,25,5,,
25,25,25,25,1,25,25,25,25,25,25,25,25,25,25,1,1,1,25,25,25,25,1,25,1,,
1,25,2,9,13,23,23,23,12,23,23,23,3,23,15,23,10,11,7,14,4,24,8,5,6,,
25,25,24,25,9,25,25,25,24,24,25,1,24,25,25,6,2,8,3,7,25,11,5,10,4,,
25,25,25,25,2,25,25,4,25,5,25,10,9,25,25,6,3,25,7,11,25,25,1,8,25,,
25,25,1,25,5,5,25,25,25,25,25,25,3,25,25,7,4,25,25,25,25,25,2,25,25,,
21,13,4,17,14,9,22,16,23,12,19,20,3,24,15,10,1,8,6,2,18,25,5,11,7,,
25,25,25,7,25,25,25,5,25,25,25,25,4,25,25,25,3,25,1,25,6,25,2,25,25,,
25,1,25,25,25,25,25,25,25,25,4,25,25,2,25,25,25,25,25,25,25,1,25,25,2,,
12,25,1,1,1,25,12,1,25,1,12,25,1,25,25,12,1,1,1,6,12,25,6,1,1,,
7,25,1,11,10,25,25,13,25,15,3,14,2,25,25,6,5,25,11,5,8,13,3,25,9,,
25,25,25,25,1,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
2,24,11,4,12,25,24,8,17,12,10,19,12,24,24,12,1,7,5,12,9,18,3,6,20,,
24,24,4,9,8,24,24,7,24,24,24,24,3,24,24,11,1,24,5,24,10,24,6,2,24,,
25,25,25,2,4,25,25,3,25,3,4,1,2,3,25,25,25,1,25,25,3,25,25,4,25,,
18,25,8,5,2,22,10,16,20,6,9,14,15,19,13,24,17,11,7,12,21,23,4,1,3,,
1,10,1,1,25,25,25,25,25,25,25,25,1,25,25,2,1,25,1,2,1,25,2,25,25,,
25,25,25,2,3,25,25,1,25,25,25,25,1,25,25,25,25,4,1,25,25,25,2,4,3,,
25,25,10,10,7,25,25,11,25,11,12,25,2,25,25,4,8,25,5,9,24,25,3,1,6,,
25,25,8,3,25,25,25,2,25,25,25,25,25,4,25,7,6,9,5,25,25,25,1,25,10,,
1,25,3,2,25,25,25,25,4,2,3,25,1,25,25,4,1,3,2,25,25,25,2,4,3,,
25,2,6,25,8,25,25,7,25,9,25,25,25,11,25,25,25,25,10,25,25,3,4,5,1,,
25,25,6,25,2,25,25,10,25,4,7,25,9,25,12,1,3,25,11,8,25,25,25,25,5,,
12,1,17,16,21,15,9,25,4,24,7,18,19,6,23,3,14,10,8,20,13,2,5,11,22,,
25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,,
25,25,1,2,1,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,1,25,1,25,25,,
25,9,25,25,13,25,25,25,25,25,2,25,25,25,25,25,3,25,5,25,25,1,4,4,11,,
17,25,14,25,2,19,15,1,10,6,20,16,4,12,11,5,3,9,13,25,18,25,7,25,8,,
25,25,25,25,25,25,25,25,25,25,25,25,6,25,25,25,2,3,1,25,25,25,5,4,25,,
25,25,9,25,2,7,25,15,20,4,10,8,9,5,20,6,1,21,4,3,25,11,5,20,20,,
3,25,1,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,3,25,25,25,5,,
25,6,3,1,9,25,25,7,25,25,11,10,5,25,25,25,4,25,13,25,25,2,8,25,12,,
25,25,11,25,2,1,5,8,3,12,9,25,4,25,15,25,7,14,10,25,25,25,6,16,13,,
25,25,25,25,25,25,25,25,25,25,2,25,25,1,25,25,25,25,25,25,25,25,25,25,25,,
7,2,25,25,5,25,25,25,25,10,8,9,25,12,25,25,6,25,4,25,25,1,11,3,25,,
25,25,2,25,4,25,25,25,25,25,25,25,5,3,1,25,25,25,25,25,25,25,25,25,6,,
23,1,20,19,19,19,22,24,19,25,19,19,22,19,19,19,4,19,19,19,19,2,3,19,22,,
25,25,1,25,25,25,25,25,25,25,2,25,25,25,1,25,25,25,25,25,25,25,25,25,25,,
1,25,25,6,1,25,25,1,25,25,20,25,3,25,25,10,2,25,1,4,3,25,2,25,1,,
20,21,22,17,8,15,24,4,1,9,16,6,7,23,14,2,25,11,12,3,19,18,5,13,10,,
25,1,25,25,25,25,25,2,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,,
25,25,17,25,13,8,25,16,5,10,11,25,7,16,6,25,1,25,2,12,4,14,9,25,3,,
25,25,4,25,5,25,25,3,25,3,25,2,4,3,25,25,3,25,4,1,25,25,3,25,5,,
4,16,11,25,14,18,23,19,9,6,5,8,15,17,13,22,2,7,1,21,3,10,24,12,20,,
18,25,20,9,12,25,25,11,25,5,13,6,1,25,25,14,7,19,17,3,25,10,2,8,15,,
22,21,11,25,5,13,21,10,15,8,16,21,9,24,12,1,3,21,4,6,21,23,2,14,7,,
25,8,25,25,25,25,25,25,25,25,1,25,4,25,25,5,7,25,6,25,25,25,3,25,2,,
25,8,8,4,6,25,25,25,25,25,25,25,5,7,25,2,25,25,8,25,25,25,1,8,3,,
22,9,19,6,23,25,5,7,20,16,14,2,21,15,8,12,1,13,11,4,24,18,17,10,4,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,2,25,25,25,25,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,,
4,25,25,25,25,25,25,25,25,25,6,25,25,25,25,25,3,25,2,25,7,5,25,25,1,,
21,19,7,14,10,25,17,5,13,3,17,23,12,6,22,4,2,20,8,15,18,24,1,11,9,,
16,25,16,16,2,1,25,12,16,16,25,4,13,15,8,25,3,5,14,6,25,9,11,10,7,,
6,6,6,6,6,6,6,6,6,6,6,6,6,1,5,2,6,6,6,6,6,6,4,6,3,,
25,4,2,25,25,25,25,25,25,25,5,25,3,25,25,25,25,25,25,25,25,25,25,25,1,,
