rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,numSeats,numCands
2,18,9,1,15,7,12,26,19,16,22,27,24,8,5,20,23,4,10,14,21,25,11,13,3,17,6,,
9,14,14,2,12,14,14,13,14,7,10,17,14,16,14,14,14,8,5,14,3,11,14,6,1,15,4,,
15,9,27,27,27,10,27,4,6,27,3,11,14,2,27,27,1,17,8,20,27,27,7,27,6,27,5,,
4,1,24,27,27,1,4,2,8,5,1,3,4,21,27,10,1,22,2,26,2,9,1,11,25,20,27,,
15,19,21,6,1,11,21,12,17,26,9,27,13,25,16,24,2,21,5,11,3,4,14,18,22,8,7,,
13,1,25,27,21,12,3,15,2,10,7,18,22,23,24,26,20,16,8,17,5,4,11,9,6,14,19,,
27,12,22,3,22,11,27,26,8,1,27,27,13,23,27,26,10,26,6,26,7,23,9,5,2,23,4,,
24,2,15,21,20,1,23,9,6,12,10,4,3,14,24,22,18,11,16,24,17,5,13,7,8,24,19,,
14,6,2,4,10,7,17,12,15,11,25,27,19,1,9,23,3,18,5,16,21,13,8,24,22,20,26,,
6,10,2,25,13,18,27,3,17,21,16,26,24,9,23,22,5,4,14,15,19,20,11,12,8,7,1,,
1,1,26,27,13,18,19,1,12,10,1,21,10,13,27,20,18,1,13,24,1,22,1,13,13,1,1,,
7,17,13,2,6,19,14,10,15,12,26,27,18,9,20,25,1,11,4,24,22,23,8,16,21,3,5,,
15,10,18,26,17,11,5,22,6,1,8,3,7,24,27,23,13,19,14,16,12,2,9,4,21,20,25,,
4,4,27,2,11,15,10,14,11,1,27,27,27,11,15,27,13,11,2,27,1,27,27,10,27,11,14,,
15,3,22,27,17,9,4,13,14,10,1,6,16,25,26,11,21,19,8,23,7,12,2,20,18,5,24,,
1,27,27,2,27,27,15,27,15,6,27,27,27,15,27,27,20,27,15,8,3,27,4,5,15,15,27,,
16,13,27,17,27,4,27,1,9,14,18,27,5,3,27,2,15,10,27,27,7,12,8,27,19,11,6,,
4,15,27,14,8,27,27,5,9,11,7,13,27,24,2,6,27,3,10,27,26,27,12,27,25,27,1,,
26,21,23,4,27,17,20,19,16,7,15,14,12,11,13,22,24,6,2,25,10,18,3,5,1,8,9,,
3,3,27,4,27,3,27,3,27,2,1,1,27,27,27,3,4,4,4,27,1,27,2,27,1,5,2,,
27,23,15,8,17,14,19,11,20,24,6,25,9,26,2,7,12,5,16,1,22,21,4,18,3,10,13,,
27,7,21,19,22,19,9,27,15,1,5,17,8,3,20,19,2,10,14,27,4,16,12,19,13,11,6,,
12,6,27,27,14,11,27,18,16,2,4,8,15,22,20,17,1,24,3,19,9,13,5,7,21,23,10,,
21,2,15,26,3,5,24,6,7,13,22,27,25,1,19,18,4,14,10,11,20,17,16,8,9,23,12,,
5,3,11,26,19,10,24,2,4,8,17,1,20,6,22,25,14,9,18,16,15,13,21,23,27,7,12,,
11,11,25,1,11,11,25,1,11,5,1,9,11,5,11,9,11,1,11,11,11,11,5,11,5,11,25,,
10,27,7,1,27,27,27,5,27,27,27,27,27,9,27,27,6,8,12,27,27,27,27,27,3,27,27,,
10,4,27,26,23,11,14,8,7,15,1,3,12,22,24,2,25,17,20,19,5,21,13,16,9,18,6,,
27,5,6,3,27,8,12,7,27,10,27,27,4,1,27,6,2,9,11,27,16,18,14,19,17,13,15,,
6,5,24,13,19,12,10,16,9,7,22,17,14,26,21,11,23,15,3,20,1,25,4,8,27,18,2,,
15,10,22,3,9,8,21,2,17,20,23,24,11,25,18,19,6,5,8,1,7,8,4,15,27,10,12,,
1,4,22,6,18,20,10,3,7,8,27,26,5,25,23,9,16,24,21,19,12,11,13,14,15,17,2,,
25,14,4,5,6,19,11,21,12,7,18,26,15,27,1,8,24,9,17,3,22,10,13,16,23,2,20,,
27,15,27,27,27,27,2,27,8,9,14,13,4,27,27,11,12,27,10,27,6,7,3,1,5,27,27,,
23,12,27,7,21,17,18,1,3,2,8,19,16,14,22,10,9,25,24,20,11,13,4,6,5,26,15,,
3,25,9,1,2,14,7,16,27,6,27,26,27,5,10,27,27,11,18,4,24,13,17,8,15,12,27,,
6,1,16,22,25,1,21,2,3,8,11,20,14,23,27,18,4,7,4,15,24,26,5,17,10,19,9,,
27,27,27,27,27,27,27,3,27,27,27,27,27,1,27,27,2,27,27,27,27,27,27,27,27,27,4,,
18,4,27,25,22,12,2,20,10,7,8,13,19,14,5,26,6,15,16,17,3,24,9,1,11,23,21,,
5,15,13,9,21,17,19,14,18,3,12,8,25,4,27,2,10,20,16,24,7,11,23,1,26,22,6,,
1,1,27,27,14,18,27,14,1,1,20,27,19,1,1,27,1,27,1,14,1,20,1,20,1,1,1,,
2,1,26,4,19,18,20,6,13,7,21,27,5,16,24,14,10,15,8,22,9,17,12,25,11,23,3,,
1,1,27,5,24,1,1,1,1,4,2,2,1,2,25,1,5,1,2,2,2,2,1,2,2,1,27,,
15,5,27,1,6,27,27,27,27,25,27,27,26,2,27,27,3,4,25,27,25,7,27,25,8,27,25,,
27,2,27,6,27,27,2,2,2,2,2,1,1,10,27,2,2,27,3,27,3,1,2,3,27,6,27,,
23,2,24,27,12,7,20,10,3,8,4,11,5,14,17,13,15,21,18,16,1,6,9,19,25,22,26,,
27,7,3,27,27,27,27,27,27,27,5,27,6,1,27,27,2,8,10,27,27,27,27,27,9,27,4,,
3,11,22,1,5,25,4,8,12,17,26,27,15,9,13,21,18,7,14,24,10,20,23,6,2,16,19,,
2,1,27,20,27,12,5,5,11,2,19,10,5,11,27,6,3,27,9,27,3,7,3,4,27,4,27,,
3,4,27,27,20,10,27,21,4,16,16,1,4,3,20,27,27,10,1,13,1,5,2,7,2,15,27,,
1,1,27,27,1,27,27,1,1,27,27,1,1,27,27,1,27,1,27,27,1,1,27,27,27,27,1,,
20,10,26,27,21,16,20,7,4,12,2,17,6,3,24,22,11,9,15,25,14,13,5,18,1,23,8,,
9,5,26,11,17,13,7,27,8,2,14,16,20,25,24,12,10,15,3,22,4,19,1,21,18,23,6,,
6,7,24,27,22,14,23,12,5,8,4,13,1,26,17,27,9,21,15,19,3,2,10,18,11,25,16,,
1,1,2,27,1,1,2,1,1,1,26,1,1,2,1,1,27,1,1,1,1,1,1,27,27,1,1,,
27,27,27,27,27,27,20,5,20,27,12,12,10,20,20,27,27,5,27,5,27,27,15,27,2,6,1,,
4,1,27,27,27,2,1,7,1,14,13,27,5,15,27,6,11,9,1,21,1,21,3,12,16,8,10,,
9,12,17,1,14,3,20,2,10,21,24,26,11,5,19,7,27,6,13,23,16,25,22,18,15,8,4,,
12,7,15,1,5,27,12,14,2,9,4,27,11,10,27,27,15,8,15,27,27,14,13,3,11,15,27,,
25,10,19,22,27,5,18,7,17,13,6,1,3,21,24,8,4,12,11,14,23,2,9,16,15,20,26,,
26,9,1,5,23,16,19,4,19,3,14,27,24,2,25,17,7,13,8,18,11,22,15,10,12,21,6,,
10,2,19,26,11,8,15,3,4,16,6,7,1,27,19,12,19,13,19,19,18,9,19,5,17,19,14,,
1,1,27,2,1,2,3,1,3,1,26,1,4,4,4,2,2,1,3,1,2,3,3,4,1,1,4,,
3,1,26,25,22,11,6,19,5,7,12,24,14,9,17,27,21,8,16,23,2,15,18,4,13,20,10,,
3,7,18,25,23,6,17,1,13,19,14,20,2,9,26,8,27,22,11,24,4,10,12,16,15,21,5,,
26,2,26,26,26,4,5,2,6,3,1,3,6,27,26,5,26,26,4,26,3,26,2,26,26,26,27,,
5,4,27,18,25,10,19,16,9,2,1,21,15,14,22,26,3,12,1,23,6,20,2,6,13,24,11,,
4,15,27,8,20,12,27,1,16,7,6,2,19,27,27,5,13,18,27,27,10,17,3,27,14,9,11,,
1,1,27,10,1,1,1,27,1,1,1,27,1,1,27,1,1,1,1,27,27,1,1,1,1,27,1,,
2,14,7,15,19,23,20,6,8,10,22,3,4,11,1,9,24,12,16,17,21,5,18,26,25,13,27,,
27,12,21,27,14,7,2,6,5,11,8,1,18,19,10,9,16,15,23,22,4,3,13,20,27,24,17,,
1,4,17,13,3,12,16,9,8,15,18,25,2,10,21,24,23,22,14,26,6,5,19,20,11,27,7,,
1,17,9,4,20,8,15,5,19,12,27,26,13,11,21,18,14,2,25,7,16,22,6,23,10,24,3,,
17,14,1,2,13,23,20,9,19,10,12,25,8,3,16,21,5,22,27,11,6,24,15,18,26,4,7,,
8,23,13,27,9,4,11,2,5,20,10,27,7,3,24,1,6,3,4,21,16,19,27,25,20,26,3,,
3,4,12,2,8,7,10,5,4,11,27,27,4,1,11,3,27,3,9,12,9,10,12,10,27,12,6,,
3,27,16,1,2,27,27,15,27,11,27,27,17,6,13,27,9,8,27,5,18,10,27,7,4,12,14,,
27,27,4,27,27,27,27,7,27,27,27,27,27,27,3,27,2,6,27,1,27,27,27,27,27,5,27,,
23,3,22,17,21,8,2,6,4,11,18,7,14,19,27,1,12,25,13,26,5,16,9,10,20,24,15,,
23,5,20,27,19,4,6,15,16,7,7,11,3,10,18,14,21,27,12,22,1,2,8,6,26,26,13,,
14,2,26,21,19,5,9,12,7,10,6,8,23,24,22,1,16,25,4,15,11,20,3,27,13,18,17,,
21,15,26,24,5,14,21,10,21,22,9,3,12,21,21,2,8,6,25,13,27,23,11,21,7,4,1,,
3,17,15,1,21,9,25,26,23,11,22,27,16,6,13,24,5,4,10,14,8,2,18,19,7,20,12,,
6,2,4,4,4,2,4,5,4,1,1,2,2,1,6,1,1,5,2,5,3,2,1,5,2,2,3,,
13,11,26,10,23,4,6,24,7,2,20,16,12,19,25,5,8,27,9,21,1,22,3,14,18,17,15,,
26,21,16,17,4,9,5,27,21,11,2,3,21,5,18,12,1,21,14,20,19,13,6,14,7,10,25,,
16,1,13,25,26,15,8,9,10,7,21,11,24,18,27,20,12,14,4,17,3,5,6,19,22,23,2,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2,27,1,27,27,27,27,27,27,27,,
3,1,27,27,27,2,2,4,3,3,2,4,4,1,27,4,2,2,1,3,2,27,1,1,4,4,3,,
10,2,26,27,18,9,13,7,3,22,1,8,12,11,24,14,6,19,5,21,17,16,4,15,23,20,25,,
27,4,27,27,27,5,1,27,5,27,27,27,4,5,27,27,27,5,5,27,3,2,5,27,27,27,27,,
3,2,16,23,24,10,20,14,7,5,21,25,22,17,27,13,4,18,8,19,1,12,9,11,26,15,6,,
10,7,19,2,26,25,26,10,27,15,11,27,12,3,10,8,1,9,6,20,4,19,26,26,26,27,5,,
6,12,24,26,20,14,19,22,8,17,1,15,18,21,7,23,11,10,16,13,25,5,3,2,4,9,27,,
27,21,3,10,20,15,13,4,22,24,27,25,11,12,2,4,16,1,23,1,14,18,2,22,27,1,8,,
3,4,7,2,19,3,26,13,6,5,24,27,6,6,4,25,7,5,6,21,3,22,3,5,1,6,2,,
27,4,27,1,27,27,27,27,2,27,27,27,27,27,27,27,27,3,27,27,27,27,27,27,27,27,27,,
6,1,27,8,21,11,5,14,20,15,3,27,12,27,18,27,9,27,10,13,7,19,2,27,17,16,4,,
9,3,27,27,23,14,5,10,18,16,4,11,22,8,24,6,15,7,2,13,1,20,17,17,21,12,19,,
27,16,7,13,25,4,20,26,11,10,12,8,18,2,22,19,1,6,17,15,14,23,5,21,9,24,3,,
25,21,12,27,26,14,9,19,18,5,1,6,15,16,20,22,11,23,7,24,3,8,2,4,17,10,13,,
4,1,27,27,27,2,3,1,2,1,1,1,3,27,27,1,1,4,2,27,2,3,1,3,27,4,2,,
8,1,22,2,26,23,18,13,16,21,5,3,24,12,17,7,25,20,14,27,9,25,15,4,6,19,10,,
9,6,16,7,27,11,2,3,13,15,18,19,10,20,24,14,17,23,21,25,1,22,4,12,5,26,8,,
27,6,27,27,27,27,9,27,14,3,2,11,27,27,27,12,7,27,4,27,5,13,1,8,27,27,27,,
13,6,10,14,17,5,16,11,7,27,21,12,18,1,27,15,2,23,9,22,27,20,8,19,3,24,4,,
11,2,24,25,17,5,6,10,20,9,26,1,14,21,23,7,3,8,16,15,4,12,22,19,27,18,13,,
15,8,17,27,18,19,14,7,5,11,23,10,6,16,26,22,9,3,20,25,1,12,21,4,13,24,2,,
2,9,27,1,7,11,27,13,19,8,27,27,14,18,27,20,17,27,5,16,3,4,10,15,6,12,27,,
9,6,17,21,18,5,27,24,12,3,15,14,16,11,26,23,7,10,8,19,2,20,13,1,4,25,22,,
6,21,5,25,11,16,13,22,27,7,12,26,14,4,10,23,24,9,15,17,1,20,18,7,3,8,2,,
23,14,17,2,5,19,27,6,11,18,24,26,9,1,10,8,3,7,4,22,13,21,16,25,15,20,12,,
5,11,19,2,23,21,4,9,1,7,18,12,10,22,26,27,14,6,17,25,3,20,13,24,8,16,15,,
18,9,6,13,27,21,14,15,17,2,12,11,16,20,27,10,22,19,3,27,1,8,5,7,4,27,27,,
3,4,27,1,27,27,27,2,27,27,27,27,3,2,27,4,27,5,6,27,4,27,27,27,27,27,5,,
24,1,13,26,15,14,4,25,23,11,22,27,9,7,16,5,2,12,6,3,10,18,8,19,17,20,24,,
2,1,5,27,1,2,3,1,1,1,9,2,2,5,5,1,1,1,5,10,2,1,5,3,8,3,1,,
1,20,19,9,5,26,11,2,4,23,8,24,21,25,17,10,14,22,6,15,13,16,7,18,12,27,3,,
4,2,26,18,11,9,6,24,5,7,27,27,13,19,25,22,8,14,10,15,1,12,3,17,21,20,16,,
8,11,6,1,2,13,16,4,17,19,20,27,10,11,22,9,23,5,12,20,14,11,15,18,10,7,3,,
16,14,21,4,12,7,19,24,18,23,9,25,13,27,1,20,3,22,11,8,5,2,15,17,10,26,6,,
26,12,8,3,10,15,4,11,16,7,5,17,20,24,27,21,14,25,18,22,6,13,1,19,9,23,2,,
15,16,25,7,18,1,12,6,24,14,10,17,4,27,22,8,19,13,21,20,9,2,22,11,5,26,3,,
27,9,27,3,7,4,12,15,11,27,19,27,8,27,1,13,2,14,6,5,18,17,10,27,27,16,20,,
23,8,6,20,19,4,11,2,10,21,26,12,5,16,24,17,13,1,14,7,18,22,25,9,27,3,15,,
12,5,10,7,18,14,8,11,20,15,19,26,16,3,27,22,6,4,2,25,1,9,24,21,17,23,13,,
27,27,27,27,27,6,2,8,7,27,27,27,27,27,27,1,4,21,5,27,27,27,3,27,9,27,20,,
