rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,numSeats,numCands
15,9,Skipped,22,18,17,3,4,5,2,19,Skipped,Skipped,1,16,20,8,13,Skipped,11,23,6,10,12,21,14,7,,
2,4,27,24,3,6,1,11,9,23,18,27,27,8,27,26,8,17,27,27,27,19,21,10,20,25,5,,
6,12,15,23,10,2,5,26,3,13,19,18,11,1,9,24,4,20,16,17,23,27,22,8,21,14,7,,
9,10,22,27,3,7,5,19,2,13,18,17,26,1,14,23,4,11,24,15,25,12,20,8,21,16,6,,
9,6,27,27,9,18,21,22,5,3,27,27,2,1,5,27,16,27,23,5,27,6,5,11,27,26,8,,
3,4,24,24,11,24,1,24,7,25,24,24,24,2,10,24,24,24,24,24,24,26,27,4,24,6,9,,
27,27,3,27,27,26,27,27,26,27,27,1,1,27,4,27,26,27,27,27,27,27,26,27,27,27,27,,
1,3,27,20,5,27,27,27,27,27,10,27,27,27,27,27,27,16,27,27,27,27,27,5,27,27,27,,
27,27,27,27,27,27,27,27,27,1,27,27,2,27,3,27,4,27,27,27,27,27,27,27,27,27,27,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
11,7,26,27,12,23,13,15,19,2,17,Skipped,8,20,14,2,23,24,5,19,4,1,9,10,20,8,22,,
3,27,27,27,27,27,1,27,7,4,27,27,27,2,5,27,27,27,27,8,27,27,27,27,27,6,27,,
8,11,20,15,14,10,1,11,2,16,17,25,4,3,14,14,9,18,4,21,23,12,7,10,19,6,9,,
8,4,22,26,10,7,1,19,12,9,23,25,16,2,3,15,6,20,27,21,14,13,18,5,24,17,11,,
6,4,27,25,10,9,1,27,3,Skipped,Skipped,14,13,2,5,Skipped,12,Skipped,27,Skipped,26,7,15,11,27,16,8,,
8,4,22,27,9,14,6,26,5,2,15,27,23,7,17,3,18,21,12,27,11,1,10,16,20,19,13,,
9,2,10,27,14,8,5,19,7,18,24,26,17,3,1,13,15,25,21,23,22,16,20,4,11,6,12,,
5,27,27,27,27,27,3,27,27,6,27,1,2,4,27,27,27,27,27,27,27,27,27,27,27,27,27,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,,
1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
3,4,24,27,20,21,1,19,7,8,26,16,10,2,6,23,17,11,18,13,25,5,22,15,14,12,9,,
10,4,6,27,13,16,9,8,12,3,27,27,18,5,27,1,21,22,27,14,27,2,6,15,11,27,17,,
22,26,1,19,27,21,14,7,18,15,16,10,2,13,24,12,17,4,5,11,23,6,9,27,3,8,20,,
4,6,19,26,10,8,2,24,5,20,25,27,11,3,16,13,9,22,23,21,15,12,14,1,18,17,7,,
1,1,4,27,3,2,2,4,3,2,27,4,4,1,27,27,2,27,27,27,27,4,3,2,3,27,3,,
5,6,27,27,7,8,1,27,3,27,27,27,27,2,27,27,9,27,27,27,27,27,27,10,27,27,4,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
23,5,11,27,26,22,15,12,18,2,17,21,19,9,10,3,25,14,20,8,7,1,4,6,16,13,24,,
6,27,27,27,27,7,1,27,4,5,27,27,27,2,27,27,3,27,27,27,27,27,27,27,27,27,27,,
4,10,25,19,1,13,3,8,7,5,12,23,6,2,9,27,14,22,18,21,26,17,20,16,24,15,11,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,,
11,7,27,27,15,12,1,Skipped,3,9,Skipped,Skipped,Skipped,1,15,10,1,26,Skipped,Skipped,15,Skipped,Skipped,14,Skipped,Skipped,5,,
