rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,numSeats,numCands
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,6,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,4,Skipped,8,Skipped,Skipped,Skipped,13,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,3,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,5,8,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,10,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,7,Skipped,Skipped,Skipped,12,Skipped,Skipped,4,Skipped,Skipped,Skipped,9,Skipped,3,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,31,Skipped,Skipped,Skipped,18,Skipped,Skipped,28,Skipped,29,Skipped,Skipped,14,Skipped,Skipped,26,Skipped,16,Skipped,2,Skipped,15,Skipped,Skipped,34,37,17,Skipped,22,19,11,36,33,25,6,Skipped,Skipped,Skipped,Skipped,9,1,5,4,38,8,Skipped,Skipped,Skipped,35,Skipped,20,3,Skipped,Skipped,13,Skipped,Skipped,24,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,30,Skipped,Skipped,23,27,Skipped,Skipped,21,Skipped,Skipped,7,32,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,7,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,12,6,4,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,,
15,Skipped,12,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,16,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,2,Skipped,Skipped,8,Skipped,Skipped,14,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,85,Skipped,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,11,14,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,5,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,4,8,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,3,Skipped,Skipped,7,Skipped,Skipped,13,Skipped,6,Skipped,Skipped,Skipped,8,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
85,61,85,85,61,61,14,61,85,61,8,61,85,61,61,61,85,85,85,61,85,61,61,61,61,61,61,85,61,61,7,61,61,4,85,61,85,2,61,85,61,61,61,1,11,61,61,85,85,85,61,61,3,85,61,61,61,85,61,85,61,61,61,5,85,62,61,9,61,61,61,61,61,61,61,6,61,61,61,61,61,10,61,61,61,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,7,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,,
85,85,85,Skipped,Skipped,Skipped,5,85,85,85,85,Skipped,Skipped,Skipped,Skipped,Skipped,85,85,85,Skipped,Skipped,10,8,85,85,85,85,85,11,Skipped,Skipped,Skipped,9,2,85,Skipped,85,Skipped,85,85,Skipped,Skipped,Skipped,4,Skipped,85,Skipped,85,85,85,Skipped,85,85,85,Skipped,85,85,85,85,85,85,85,85,1,85,85,85,85,85,Skipped,Skipped,Skipped,6,Skipped,Skipped,3,Skipped,Skipped,85,85,Skipped,7,85,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,80,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,5,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,9,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,27,Skipped,28,10,Skipped,Skipped,7,Skipped,Skipped,23,12,Skipped,Skipped,2,6,29,Skipped,Skipped,55,71,Skipped,22,14,Skipped,Skipped,85,Skipped,4,15,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,5,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,17,Skipped,Skipped,Skipped,8,20,33,25,Skipped,24,13,18,16,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,21,Skipped,Skipped,Skipped,11,Skipped,1,26,Skipped,,
Skipped,Skipped,Skipped,Skipped,18,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,20,30,Skipped,Skipped,4,23,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,28,17,Skipped,12,Skipped,Skipped,3,26,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,1,13,19,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,22,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,2,Skipped,14,Skipped,29,16,Skipped,25,6,10,Skipped,Skipped,Skipped,Skipped,Skipped,21,Skipped,24,,
Skipped,Skipped,Skipped,16,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,10,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,7,Skipped,Skipped,12,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,10,6,Skipped,Skipped,Skipped,7,Skipped,5,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,7,Skipped,Skipped,5,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,14,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,8,Skipped,Skipped,Skipped,12,10,2,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,7,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,2,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,10,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,20,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,18,9,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,22,11,Skipped,Skipped,Skipped,Skipped,23,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,14,4,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,12,15,Skipped,Skipped,5,Skipped,25,16,Skipped,Skipped,2,10,24,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,1,8,Skipped,Skipped,Skipped,17,Skipped,Skipped,21,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,13,7,17,Skipped,6,15,Skipped,Skipped,4,Skipped,Skipped,Skipped,18,Skipped,3,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,16,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,12,Skipped,,
Skipped,29,Skipped,Skipped,26,Skipped,7,Skipped,Skipped,Skipped,17,Skipped,9,Skipped,Skipped,20,Skipped,Skipped,Skipped,Skipped,Skipped,27,Skipped,Skipped,5,Skipped,Skipped,13,15,Skipped,16,Skipped,23,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,19,Skipped,1,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,28,Skipped,Skipped,25,6,Skipped,Skipped,Skipped,1,Skipped,21,12,18,24,Skipped,22,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,1,14,Skipped,,
Skipped,Skipped,24,Skipped,Skipped,Skipped,Skipped,18,Skipped,11,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,21,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,27,14,Skipped,Skipped,20,Skipped,Skipped,22,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,4,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,Skipped,Skipped,13,23,28,Skipped,Skipped,Skipped,17,12,Skipped,Skipped,6,Skipped,5,Skipped,Skipped,Skipped,26,Skipped,Skipped,19,Skipped,25,Skipped,15,Skipped,3,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,17,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,29,21,1,Skipped,26,Skipped,Skipped,Skipped,36,18,Skipped,35,14,3,25,23,13,Skipped,Skipped,Skipped,31,37,33,Skipped,12,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,15,Skipped,Skipped,32,Skipped,Skipped,28,Skipped,30,4,Skipped,Skipped,Skipped,5,Skipped,9,Skipped,Skipped,19,22,34,6,11,Skipped,8,Skipped,24,27,7,20,Skipped,,
8,Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,6,Skipped,Skipped,13,Skipped,Skipped,10,11,Skipped,2,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,9,Skipped,4,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,9,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,6,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,,
Skipped,18,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,3,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,1,10,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,12,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,14,11,2,17,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,8,12,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,6,Skipped,1,4,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,,
Skipped,Skipped,Skipped,Skipped,Skipped,18,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,23,Skipped,2,Skipped,Skipped,16,Skipped,7,Skipped,25,Skipped,Skipped,26,Skipped,12,Skipped,22,Skipped,4,Skipped,17,6,8,Skipped,Skipped,Skipped,27,14,Skipped,1,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,24,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,10,9,Skipped,Skipped,Skipped,19,21,20,Skipped,Skipped,,
