,file,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,smith,0.4_perturbed_plurality,0.4_perturbed_IRV,0.4_perturbed_top-two,0.4_perturbed_borda-pm,0.4_perturbed_borda-om,0.4_perturbed_borda-avg,0.4_perturbed_top-3-truncation,0.4_perturbed_condorcet,0.4_perturbed_minimax,0.4_perturbed_smith_plurality,0.4_perturbed_smith_irv,0.4_perturbed_smith-minimax,0.4_perturbed_ranked-pairs,0.4_perturbed_bucklin,0.4_perturbed_approval,0.4_perturbed_smith
10,Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat']
11,Australia_NewSouthWales_Mayorals_2021/City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris']
12,Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue']
13,Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert']
14,Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['GREEN Paul'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['GREEN Paul'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda']
15,Australia_NewSouthWales_Mayorals_2021/Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta']
16,Australia_NewSouthWales_Mayorals_2021/Richmond_Valley-mayoral-finalpreferencedatafile.csv,['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert']
17,Australia_NewSouthWales_Mayorals_2021/City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay']
18,Australia_NewSouthWales_Mayorals_2021/Port_Stephens-mayoral-finalpreferencedatafile.csv,['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan']
19,Australia_NewSouthWales_Mayorals_2021/Wollondilly-mayoral-finalpreferencedatafile.csv,['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt']
20,Australia_NewSouthWales_Mayorals_2021/City_of_Griffith-mayoral-finalpreferencedatafile.csv,['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug']
21,Australia_NewSouthWales_Mayorals_2021/Hunters_Hill-mayoral-finalpreferencedatafile.csv,['MILES Zac'],['MILES Zac'],['MILES Zac'],['MILES Zac'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['MILES Zac'],['QUINN Richard'],['MILES Zac'],['MILES Zac'],['MILES Zac'],['MILES Zac'],['QUINN Richard'],['QUINN Richard'],['MILES Zac'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['MILES Zac'],['MILES Zac'],['QUINN Richard']
22,Australia_NewSouthWales_Mayorals_2021/City_of_Cessnock-mayoral-finalpreferencedatafile.csv,['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay']
23,Australia_NewSouthWales_Mayorals_2021/City_of_Newcastle-mayoral-finalpreferencedatafile.csv,['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali']
24,Australia_NewSouthWales_Mayorals_2021/City_of_Willoughby-mayoral-finalpreferencedatafile.csv,['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya']
25,Australia_NewSouthWales_Mayorals_2021/City_of_Maitland-mayoral-finalpreferencedatafile.csv,['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['BAKER Loretta'],['BAKER Loretta'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['BAKER Loretta'],['BAKER Loretta'],['PENFOLD Philip']
26,Australia_NewSouthWales_Mayorals_2021/City_of_Broken_Hill-mayoral-finalpreferencedatafile.csv,['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom']
27,Australia_NewSouthWales_Mayorals_2021/Bellingen-mayoral-finalpreferencedatafile (1).csv,['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve']
28,Australia_NewSouthWales_Mayorals_2021/Byron-mayoral-finalpreferencedatafile.csv,['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael']
29,Australia_NewSouthWales_Mayorals_2021/City_of_Orange-mayoral-finalpreferencedatafile.csv,['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason']
30,Australia_NewSouthWales_Mayorals_2021/Hornsby-mayoral-finalpreferencedatafile.csv,['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip']
31,Australia_NewSouthWales_Mayorals_2021/Kempsey-mayoral-finalpreferencedatafile.csv,['CAMPBELL Liz'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['CAMPBELL Liz'],['CAMPBELL Liz'],['HAUVILLE Leo'],['CAMPBELL Liz'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['CAMPBELL Liz'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['CAMPBELL Liz'],['CAMPBELL Liz'],['HAUVILLE Leo']
32,Australia_NewSouthWales_Mayorals_2021/Burwood-mayoral-finalpreferencedatafile.csv,['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John']
