ballotID,ward,rank1,rank2,numSeats,numCands
278,200,Cindy Dyballa,skipped,1,2
293,200,Cindy Dyballa,skipped,1,2
299,200,Cindy Dyballa,skipped,1,2
300,200,Cindy Dyballa,skipped,1,2
301,200,Cindy Dyballa,skipped,1,2
316,200,Cindy Dyballa,skipped,1,2
318,200,Cindy Dyballa,skipped,1,2
328,200,Cindy Dyballa,skipped,1,2
329,200,Cindy Dyballa,skipped,1,2
334,200,Cindy Dyballa,skipped,1,2
338,200,Cindy Dyballa,skipped,1,2
343,200,Cindy Dyballa,skipped,1,2
344,200,Cindy Dyballa,skipped,1,2
346,200,Cindy Dyballa,skipped,1,2
349,200,Cindy Dyballa,skipped,1,2
357,200,Cindy Dyballa,skipped,1,2
372,200,Cindy Dyballa,skipped,1,2
378,200,Cindy Dyballa,skipped,1,2
382,200,Cindy Dyballa,skipped,1,2
385,200,Cindy Dyballa,skipped,1,2
386,200,Cindy Dyballa,skipped,1,2
387,200,Cindy Dyballa,skipped,1,2
391,200,Cindy Dyballa,skipped,1,2
394,200,Cindy Dyballa,skipped,1,2
396,200,Cindy Dyballa,skipped,1,2
402,200,Cindy Dyballa,skipped,1,2
405,200,Cindy Dyballa,skipped,1,2
406,200,Cindy Dyballa,skipped,1,2
411,200,Cindy Dyballa,skipped,1,2
416,200,Cindy Dyballa,skipped,1,2
418,200,Cindy Dyballa,skipped,1,2
421,200,Cindy Dyballa,skipped,1,2
425,200,Cindy Dyballa,skipped,1,2
430,200,Cindy Dyballa,skipped,1,2
436,200,Cindy Dyballa,skipped,1,2
441,200,Cindy Dyballa,skipped,1,2
447,200,Cindy Dyballa,skipped,1,2
458,200,Cindy Dyballa,skipped,1,2
462,200,Cindy Dyballa,skipped,1,2
468,200,Cindy Dyballa,skipped,1,2
494,200,Cindy Dyballa,skipped,1,2
497,200,Cindy Dyballa,skipped,1,2
504,200,Cindy Dyballa,skipped,1,2
526,200,Cindy Dyballa,skipped,1,2
527,200,Cindy Dyballa,skipped,1,2
532,200,Cindy Dyballa,skipped,1,2
534,200,Cindy Dyballa,skipped,1,2
541,200,Cindy Dyballa,skipped,1,2
545,200,Cindy Dyballa,skipped,1,2
548,200,Cindy Dyballa,skipped,1,2
559,200,Cindy Dyballa,skipped,1,2
568,200,Cindy Dyballa,skipped,1,2
573,200,Cindy Dyballa,skipped,1,2
574,200,Cindy Dyballa,skipped,1,2
577,200,Cindy Dyballa,skipped,1,2
578,200,Cindy Dyballa,skipped,1,2
590,200,Cindy Dyballa,skipped,1,2
595,200,Cindy Dyballa,skipped,1,2
601,200,Cindy Dyballa,skipped,1,2
604,200,Cindy Dyballa,skipped,1,2
619,200,Cindy Dyballa,skipped,1,2
622,200,Cindy Dyballa,skipped,1,2
629,200,Cindy Dyballa,skipped,1,2
630,200,Cindy Dyballa,skipped,1,2
632,200,Cindy Dyballa,skipped,1,2
634,200,Cindy Dyballa,skipped,1,2
638,200,Cindy Dyballa,skipped,1,2
647,200,Cindy Dyballa,skipped,1,2
651,200,Cindy Dyballa,skipped,1,2
658,200,Cindy Dyballa,skipped,1,2
659,200,Cindy Dyballa,skipped,1,2
660,200,Cindy Dyballa,skipped,1,2
667,200,Cindy Dyballa,skipped,1,2
683,200,Cindy Dyballa,skipped,1,2
685,200,Cindy Dyballa,skipped,1,2
686,200,Cindy Dyballa,skipped,1,2
688,200,Cindy Dyballa,skipped,1,2
700,200,Cindy Dyballa,skipped,1,2
701,200,Cindy Dyballa,skipped,1,2
704,200,Cindy Dyballa,skipped,1,2
723,200,Cindy Dyballa,skipped,1,2
724,200,Cindy Dyballa,skipped,1,2
726,200,Cindy Dyballa,skipped,1,2
730,200,Cindy Dyballa,skipped,1,2
734,200,Cindy Dyballa,skipped,1,2
735,200,Cindy Dyballa,skipped,1,2
739,200,Cindy Dyballa,skipped,1,2
740,200,Cindy Dyballa,skipped,1,2
745,200,Cindy Dyballa,skipped,1,2
753,200,Cindy Dyballa,skipped,1,2
754,200,Cindy Dyballa,skipped,1,2
759,200,Cindy Dyballa,skipped,1,2
775,200,Cindy Dyballa,skipped,1,2
776,200,Cindy Dyballa,skipped,1,2
777,200,Cindy Dyballa,skipped,1,2
779,200,Cindy Dyballa,skipped,1,2
780,200,Cindy Dyballa,skipped,1,2
785,200,Cindy Dyballa,skipped,1,2
801,200,Cindy Dyballa,skipped,1,2
802,200,Cindy Dyballa,skipped,1,2
824,200,Cindy Dyballa,skipped,1,2
827,200,Cindy Dyballa,skipped,1,2
831,200,Cindy Dyballa,skipped,1,2
835,200,Cindy Dyballa,skipped,1,2
852,200,Cindy Dyballa,skipped,1,2
854,200,Cindy Dyballa,skipped,1,2
855,200,Cindy Dyballa,skipped,1,2
857,200,Cindy Dyballa,skipped,1,2
863,200,Cindy Dyballa,skipped,1,2
868,200,Cindy Dyballa,skipped,1,2
880,200,Cindy Dyballa,skipped,1,2
886,200,Cindy Dyballa,skipped,1,2
887,200,Cindy Dyballa,skipped,1,2
895,200,Cindy Dyballa,skipped,1,2
903,200,Cindy Dyballa,skipped,1,2
908,200,Cindy Dyballa,skipped,1,2
912,200,Cindy Dyballa,skipped,1,2
915,200,Cindy Dyballa,skipped,1,2
925,200,Cindy Dyballa,skipped,1,2
927,200,Cindy Dyballa,skipped,1,2
936,200,Cindy Dyballa,skipped,1,2
937,200,Cindy Dyballa,skipped,1,2
938,200,Cindy Dyballa,skipped,1,2
939,200,Cindy Dyballa,skipped,1,2
942,200,Cindy Dyballa,skipped,1,2
949,200,Cindy Dyballa,skipped,1,2
951,200,Cindy Dyballa,skipped,1,2
952,200,Cindy Dyballa,skipped,1,2
953,200,Cindy Dyballa,skipped,1,2
959,200,Cindy Dyballa,skipped,1,2
963,200,Cindy Dyballa,skipped,1,2
965,200,Cindy Dyballa,skipped,1,2
984,200,Cindy Dyballa,skipped,1,2
1002,200,Cindy Dyballa,skipped,1,2
1005,200,Cindy Dyballa,skipped,1,2
1006,200,Cindy Dyballa,skipped,1,2
1023,200,Cindy Dyballa,skipped,1,2
1028,200,Cindy Dyballa,skipped,1,2
1029,200,Cindy Dyballa,skipped,1,2
1034,200,Cindy Dyballa,skipped,1,2
1046,200,Cindy Dyballa,skipped,1,2
1047,200,Cindy Dyballa,skipped,1,2
1062,200,Cindy Dyballa,skipped,1,2
1063,200,Cindy Dyballa,skipped,1,2
1065,200,Cindy Dyballa,skipped,1,2
1070,200,Cindy Dyballa,skipped,1,2
1073,200,Cindy Dyballa,skipped,1,2
1079,200,Cindy Dyballa,skipped,1,2
1082,200,Cindy Dyballa,skipped,1,2
1084,200,Cindy Dyballa,skipped,1,2
1087,200,Cindy Dyballa,skipped,1,2
