Cast Vote Record,Precinct,Ballot Style,numCands,numSeats,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
51,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
52,Portland Absentee,Ballot Style 2,11,1,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,1,11
53,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,1,11
54,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Buxton, Catherine A.","Bailey, William M.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,1,11
55,Portland Absentee,Ballot Style 4,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,skipped,1,11
56,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Chann, Marpheen S.","Houseal, Ian P.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,1,11
57,Portland Absentee,Ballot Style 5,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,1,11
58,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","DiMillo, Steven A.","Grant, Benjamin K.","Bailey, William M.","Houseal, Ian P.","Condrey, Lawson T.","Buxton, Catherine A.","Emerson, Anthony M.","Rovelto, Hope R.",1,11
59,Portland Absentee,Ballot Style 4,11,1,"Bailey, William M.","Houseal, Ian P.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
60,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
61,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.","Washburn, Patricia J.","Emerson, Anthony M.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,1,11
62,Portland Absentee,Ballot Style 4,11,1,"Houseal, Ian P.","DiMillo, Steven A.","Bailey, William M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,1,11
63,Portland Absentee,Ballot Style 1,11,1,"Houseal, Ian P.","DiMillo, Steven A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
64,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Chann, Marpheen S.","Buxton, Catherine A.","Washburn, Patricia J.","Condrey, Lawson T.","Grant, Benjamin K.","Houseal, Ian P.","DiMillo, Steven A.",1,11
65,Portland Absentee,Ballot Style 1,11,1,"Grant, Benjamin K.","Houseal, Ian P.","Emerson, Anthony M.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,skipped,1,11
66,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Grant, Benjamin K.","Houseal, Ian P.","Condrey, Lawson T.","Chann, Marpheen S.","Bailey, William M.","Buxton, Catherine A.","Emerson, Anthony M.","Rovelto, Hope R.",1,11
67,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,1,11
68,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
69,Portland Absentee,Ballot Style 5,11,1,"Grant, Benjamin K.","Bailey, William M.","Buxton, Catherine A.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,1,11
70,Portland Absentee,Ballot Style 5,11,1,"Houseal, Ian P.","Chann, Marpheen S.","Condrey, Lawson T.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,1,11
71,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.","Chann, Marpheen S.","Bailey, William M.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,1,11
72,Portland Absentee,Ballot Style 3,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,1,11
73,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
74,Portland Absentee,Ballot Style 4,11,1,"Washburn, Patricia J.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,1,11
75,Portland Absentee,Ballot Style 1,11,1,"Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Grant, Benjamin K.","Houseal, Ian P.",skipped,skipped,1,11
76,Portland Absentee,Ballot Style 4,11,1,"Houseal, Ian P.","Grant, Benjamin K.","Buxton, Catherine A.","Condrey, Lawson T.","Washburn, Patricia J.","Bailey, William M.","Chann, Marpheen S.","DiMillo, Steven A.","Sheikh-Yousef, Nasreen A.",1,11
77,Portland Absentee,Ballot Style 1,11,1,"Houseal, Ian P.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
78,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
80,Portland Absentee,Ballot Style 5,11,1,"Grant, Benjamin K.","Washburn, Patricia J.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,1,11
81,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.","Emerson, Anthony M.",skipped,skipped,1,11
82,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Washburn, Patricia J.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Condrey, Lawson T.",skipped,skipped,1,11
83,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,1,11
84,Portland Absentee,Ballot Style 4,11,1,"Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,1,11
85,Portland Absentee,Ballot Style 5,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,1,11
86,Portland Absentee,Ballot Style 5,11,1,"Buxton, Catherine A.","Chann, Marpheen S.","Grant, Benjamin K.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",skipped,skipped,skipped,1,11
87,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.","DiMillo, Steven A.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
88,Portland Absentee,Ballot Style 3,11,1,"Houseal, Ian P.","Condrey, Lawson T.","Buxton, Catherine A.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Grant, Benjamin K.",skipped,skipped,1,11
89,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Grant, Benjamin K.","Condrey, Lawson T.","Emerson, Anthony M.",skipped,skipped,skipped,1,11
90,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Chann, Marpheen S.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
91,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
92,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Emerson, Anthony M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,1,11
93,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Washburn, Patricia J.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,1,11
94,Portland Absentee,Ballot Style 4,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,1,11
95,Portland Absentee,Ballot Style 5,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
96,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,1,11
97,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Houseal, Ian P.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,1,11
98,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.","Rovelto, Hope R.","Houseal, Ian P.","Grant, Benjamin K.","DiMillo, Steven A.",1,11
100,Portland Absentee,Ballot Style 4,11,1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,1,11
101,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,1,11
102,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
103,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Condrey, Lawson T.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,1,11
104,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,1,11
105,Portland Absentee,Ballot Style 3,11,1,"Houseal, Ian P.","Condrey, Lawson T.","Grant, Benjamin K.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,1,11
106,Portland Absentee,Ballot Style 3,11,1,"Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,1,11
107,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.","Grant, Benjamin K.","Condrey, Lawson T.",skipped,skipped,skipped,1,11
108,Portland Absentee,Ballot Style 3,11,1,"Condrey, Lawson T.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Houseal, Ian P.","Bailey, William M.","Chann, Marpheen S.",1,11
110,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.","Houseal, Ian P.","Bailey, William M.","Grant, Benjamin K.","Emerson, Anthony M.","DiMillo, Steven A.","Condrey, Lawson T.","Buxton, Catherine A.","Washburn, Patricia J.",1,11
111,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Condrey, Lawson T.","Chann, Marpheen S.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,1,11
112,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,1,11
113,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,1,11
114,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Bailey, William M.","Condrey, Lawson T.","Buxton, Catherine A.","DiMillo, Steven A.","Washburn, Patricia J.",1,11
115,Portland Absentee,Ballot Style 4,11,1,"Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,skipped,1,11
117,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.","Houseal, Ian P.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Grant, Benjamin K.",skipped,skipped,1,11
119,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Emerson, Anthony M.","Houseal, Ian P.","Grant, Benjamin K.",skipped,1,11
120,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Buxton, Catherine A.","Washburn, Patricia J.",skipped,skipped,skipped,1,11
121,Portland Absentee,Ballot Style 1,11,1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Grant, Benjamin K.",skipped,skipped,1,11
122,Portland Absentee,Ballot Style 1,11,1,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
123,Portland Absentee,Ballot Style 2,11,1,"DiMillo, Steven A.","Grant, Benjamin K.","Houseal, Ian P.","Washburn, Patricia J.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,1,11
124,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","Houseal, Ian P.","Grant, Benjamin K.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,1,11
125,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.","Buxton, Catherine A.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,1,11
126,Portland Absentee,Ballot Style 1,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
127,Portland Absentee,Ballot Style 3,11,1,"Houseal, Ian P.","Buxton, Catherine A.","Chann, Marpheen S.","Grant, Benjamin K.","Bailey, William M.",skipped,skipped,skipped,skipped,1,11
128,Portland Absentee,Ballot Style 5,11,1,"Bailey, William M.","DiMillo, Steven A.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
130,Portland Absentee,Ballot Style 3,11,1,"Condrey, Lawson T.","Buxton, Catherine A.","Emerson, Anthony M.","Houseal, Ian P.","Chann, Marpheen S.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Bailey, William M.","Washburn, Patricia J.",1,11
131,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Condrey, Lawson T.","Chann, Marpheen S.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.",skipped,skipped,1,11
132,Portland Absentee,Ballot Style 2,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Washburn, Patricia J.","Condrey, Lawson T.","Buxton, Catherine A.","Houseal, Ian P.","Emerson, Anthony M.","Bailey, William M.",1,11
133,Portland Absentee,Ballot Style 4,11,1,"Houseal, Ian P.","Buxton, Catherine A.","Condrey, Lawson T.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,1,11
134,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Bailey, William M.","Grant, Benjamin K.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,skipped,1,11
135,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Chann, Marpheen S.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,1,11
136,Portland Absentee,Ballot Style 2,11,1,"DiMillo, Steven A.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
137,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Bailey, William M.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,1,11
138,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
139,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Chann, Marpheen S.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,1,11
140,Portland Absentee,Ballot Style 5,11,1,"Grant, Benjamin K.","Condrey, Lawson T.","Houseal, Ian P.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,1,11
141,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
142,Portland Absentee,Ballot Style 5,11,1,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,1,11
143,Portland Absentee,Ballot Style 5,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Buxton, Catherine A.","Houseal, Ian P.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,1,11
144,Portland Absentee,Ballot Style 3,11,1,"Bailey, William M.","DiMillo, Steven A.","Chann, Marpheen S.","Houseal, Ian P.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,1,11
145,Portland Absentee,Ballot Style 1,11,1,"Buxton, Catherine A.","Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,skipped,1,11
146,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
147,Portland Absentee,Ballot Style 5,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
149,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
150,Portland Absentee,Ballot Style 4,11,1,"Buxton, Catherine A.","Condrey, Lawson T.","DiMillo, Steven A.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,1,11
151,Portland Absentee,Ballot Style 2,11,1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,1,11
152,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
153,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
154,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Washburn, Patricia J.","Emerson, Anthony M.","Buxton, Catherine A.","DiMillo, Steven A.","Condrey, Lawson T.",skipped,1,11
155,Portland Absentee,Ballot Style 3,11,1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,1,11
156,Portland Absentee,Ballot Style 3,11,1,"Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Chann, Marpheen S.","Houseal, Ian P.","Grant, Benjamin K.","Condrey, Lawson T.",skipped,1,11
157,Portland Absentee,Ballot Style 2,11,1,"Emerson, Anthony M.","Washburn, Patricia J.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Condrey, Lawson T.","Grant, Benjamin K.","Houseal, Ian P.","Rovelto, Hope R.",1,11
158,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
159,Portland Absentee,Ballot Style 4,11,1,"Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.","DiMillo, Steven A.","Grant, Benjamin K.","Condrey, Lawson T.",skipped,skipped,skipped,1,11
160,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
161,Portland Absentee,Ballot Style 3,11,1,"Rovelto, Hope R.","Buxton, Catherine A.","Washburn, Patricia J.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Houseal, Ian P.","Emerson, Anthony M.","DiMillo, Steven A.",1,11
162,Portland Absentee,Ballot Style 2,11,1,"Buxton, Catherine A.","Grant, Benjamin K.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Houseal, Ian P.","Condrey, Lawson T.","DiMillo, Steven A.",skipped,1,11
163,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,1,11
