Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
MUN Ballot Style 1,2821,Portland 3-2,"Albert, Stephanie G.","Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2822,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2823,Portland 3-2,"Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2824,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2826,Portland 3-2,"Hang, Stacey L.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2827,Portland 3-2,"Mancini, Kimberly A.","Hang, Stacey L.","Schertz, Amber J.","Ward, Richard L.",skipped,skipped,skipped,,7
MUN Ballot Style 1,2828,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Hang, Stacey L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2829,Portland 3-2,"Hang, Stacey L.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2830,Portland 3-2,"Grant, Benjamin K.","Albert, Stephanie G.","Schertz, Amber J.","Hang, Stacey L.","Lentz, Sarah M.","Mancini, Kimberly A.","Ward, Richard L.",,7
MUN Ballot Style 1,2831,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Hang, Stacey L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2832,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2833,Portland 3-2,"Mancini, Kimberly A.","Hang, Stacey L.","Schertz, Amber J.","Albert, Stephanie G.","Grant, Benjamin K.","Lentz, Sarah M.","Ward, Richard L.",,7
MUN Ballot Style 1,2834,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2835,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Schertz, Amber J.","Albert, Stephanie G.",skipped,skipped,skipped,,7
MUN Ballot Style 1,2836,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2837,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2838,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2839,Portland 3-2,"Lentz, Sarah M.","Albert, Stephanie G.","Mancini, Kimberly A.","Schertz, Amber J.","Grant, Benjamin K.","Ward, Richard L.",skipped,,7
MUN Ballot Style 1,2840,Portland 3-2,"Grant, Benjamin K.","Hang, Stacey L.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2842,Portland 3-2,"Mancini, Kimberly A.","Hang, Stacey L.","Albert, Stephanie G.","Schertz, Amber J.","Ward, Richard L.","Grant, Benjamin K.",skipped,,7
MUN Ballot Style 1,2843,Portland 3-2,"Lentz, Sarah M.","Albert, Stephanie G.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2844,Portland 3-2,"Lentz, Sarah M.","Albert, Stephanie G.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2845,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2846,Portland 3-2,"Lentz, Sarah M.","Hang, Stacey L.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2847,Portland 3-2,"Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2848,Portland 3-2,"Lentz, Sarah M.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2849,Portland 3-2,"Albert, Stephanie G.","Hang, Stacey L.","Mancini, Kimberly A.","Grant, Benjamin K.",skipped,skipped,skipped,,7
MUN Ballot Style 1,2850,Portland 3-2,"Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.",skipped,skipped,skipped,,7
MUN Ballot Style 1,2851,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.","Hang, Stacey L.",,7
MUN Ballot Style 1,2852,Portland 3-2,"Mancini, Kimberly A.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2853,Portland 3-2,"Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.","Albert, Stephanie G.","Lentz, Sarah M.","Grant, Benjamin K.",,7
MUN Ballot Style 1,2854,Portland 3-2,"Lentz, Sarah M.","Hang, Stacey L.","Mancini, Kimberly A.","Albert, Stephanie G.","Schertz, Amber J.","Grant, Benjamin K.","Ward, Richard L.",,7
MUN Ballot Style 1,2855,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2856,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.","Mancini, Kimberly A.","Schertz, Amber J.","Albert, Stephanie G.","Ward, Richard L.","Hang, Stacey L.",,7
MUN Ballot Style 1,2857,Portland 3-2,"Lentz, Sarah M.","Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.","Albert, Stephanie G.","Grant, Benjamin K.","Ward, Richard L.",,7
MUN Ballot Style 1,2858,Portland 3-2,"Albert, Stephanie G.","Grant, Benjamin K.","Lentz, Sarah M.","Mancini, Kimberly A.","Schertz, Amber J.","Hang, Stacey L.","Ward, Richard L.",,7
MUN Ballot Style 1,2859,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2860,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Ward, Richard L.","Mancini, Kimberly A.","Schertz, Amber J.","Albert, Stephanie G.",skipped,,7
MUN Ballot Style 1,2861,Portland 3-2,"Albert, Stephanie G.","Hang, Stacey L.","Lentz, Sarah M.","Mancini, Kimberly A.","Schertz, Amber J.","Grant, Benjamin K.","Ward, Richard L.",,7
MUN Ballot Style 1,2862,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2863,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2864,Portland 3-2,"Mancini, Kimberly A.","Schertz, Amber J.","Hang, Stacey L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2865,Portland 3-2,"Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2866,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2867,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2868,Portland 3-2,"Lentz, Sarah M.","Albert, Stephanie G.","Mancini, Kimberly A.","Schertz, Amber J.","Hang, Stacey L.","Ward, Richard L.","Grant, Benjamin K.",,7
MUN Ballot Style 1,2869,Portland 3-2,"Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2870,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2871,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2872,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2873,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2874,Portland 3-2,"Hang, Stacey L.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2875,Portland 3-2,"Hang, Stacey L.","Albert, Stephanie G.","Mancini, Kimberly A.","Schertz, Amber J.",skipped,skipped,skipped,,7
MUN Ballot Style 1,2876,Portland 3-2,"Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2877,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.","Albert, Stephanie G.","Mancini, Kimberly A.","Schertz, Amber J.",skipped,skipped,,7
MUN Ballot Style 1,2878,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2879,Portland 3-2,"Lentz, Sarah M.","Mancini, Kimberly A.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2880,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2881,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2882,Portland 3-2,"Lentz, Sarah M.","Albert, Stephanie G.","Hang, Stacey L.","Grant, Benjamin K.","Schertz, Amber J.","Mancini, Kimberly A.","Ward, Richard L.",,7
MUN Ballot Style 1,2883,Portland 3-2,"Hang, Stacey L.","Albert, Stephanie G.","Mancini, Kimberly A.","Grant, Benjamin K.","Schertz, Amber J.","Ward, Richard L.","Lentz, Sarah M.",,7
MUN Ballot Style 1,2885,Portland 3-2,"Grant, Benjamin K.","Hang, Stacey L.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2886,Portland 3-2,"Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2887,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2888,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2889,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2890,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Schertz, Amber J.","Mancini, Kimberly A.","Hang, Stacey L.","Albert, Stephanie G.","Ward, Richard L.",,7
MUN Ballot Style 1,2891,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2892,Portland 3-2,"Grant, Benjamin K.","Mancini, Kimberly A.","Ward, Richard L.","Schertz, Amber J.","Lentz, Sarah M.","Hang, Stacey L.","Albert, Stephanie G.",,7
MUN Ballot Style 1,2893,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2894,Portland 3-2,"Albert, Stephanie G.","Grant, Benjamin K.","Lentz, Sarah M.","Mancini, Kimberly A.","Hang, Stacey L.","Schertz, Amber J.","Ward, Richard L.",,7
MUN Ballot Style 1,2895,Portland 3-2,"Albert, Stephanie G.","Hang, Stacey L.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2896,Portland 3-2,"Grant, Benjamin K.","Albert, Stephanie G.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2897,Portland 3-2,"Hang, Stacey L.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2898,Portland 3-2,"Mancini, Kimberly A.","Albert, Stephanie G.","Hang, Stacey L.","Ward, Richard L.","Schertz, Amber J.","Lentz, Sarah M.","Grant, Benjamin K.",,7
MUN Ballot Style 1,2899,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2900,Portland 3-2,"Hang, Stacey L.","Albert, Stephanie G.","Grant, Benjamin K.","Schertz, Amber J.","Ward, Richard L.","Lentz, Sarah M.","Mancini, Kimberly A.",,7
MUN Ballot Style 1,2901,Portland 3-2,"Albert, Stephanie G.","Grant, Benjamin K.","Hang, Stacey L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2902,Portland 3-2,"Grant, Benjamin K.","Albert, Stephanie G.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2903,Portland 3-2,"Albert, Stephanie G.","Grant, Benjamin K.","Hang, Stacey L.","Lentz, Sarah M.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.",,7
MUN Ballot Style 1,2904,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.","Ward, Richard L.","Albert, Stephanie G.","Mancini, Kimberly A.","Schertz, Amber J.","Hang, Stacey L.",,7
MUN Ballot Style 1,2905,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2906,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Mancini, Kimberly A.","Ward, Richard L.",skipped,skipped,skipped,,7
MUN Ballot Style 1,2907,Portland 3-2,"Albert, Stephanie G.","Grant, Benjamin K.","Hang, Stacey L.","Lentz, Sarah M.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.",,7
MUN Ballot Style 1,2908,Portland 3-2,"Schertz, Amber J.","Hang, Stacey L.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2909,Portland 3-2,"Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2910,Portland 3-2,"Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2911,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2912,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2913,Portland 3-2,"Schertz, Amber J.","Ward, Richard L.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2914,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2915,Portland 3-2,"Lentz, Sarah M.","Schertz, Amber J.","Ward, Richard L.","Mancini, Kimberly A.","Hang, Stacey L.","Grant, Benjamin K.","Albert, Stephanie G.",,7
MUN Ballot Style 1,2916,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2917,Portland 3-2,"Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2918,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2919,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2920,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.","Ward, Richard L.","Schertz, Amber J.","Albert, Stephanie G.","Mancini, Kimberly A.","Hang, Stacey L.",,7
MUN Ballot Style 1,2921,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.","Ward, Richard L.","Schertz, Amber J.","Mancini, Kimberly A.","Hang, Stacey L.",,7
MUN Ballot Style 1,2922,Portland 3-2,"Lentz, Sarah M.","Hang, Stacey L.","Grant, Benjamin K.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.","Albert, Stephanie G.",,7
MUN Ballot Style 1,2923,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2924,Portland 3-2,"Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2925,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Hang, Stacey L.","Albert, Stephanie G.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.",,7
MUN Ballot Style 1,2926,Portland 3-2,"Grant, Benjamin K.","Albert, Stephanie G.","Hang, Stacey L.","Schertz, Amber J.","Lentz, Sarah M.","Mancini, Kimberly A.","Ward, Richard L.",,7
MUN Ballot Style 1,2927,Portland 3-2,"Albert, Stephanie G.","Hang, Stacey L.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2928,Portland 3-2,"Schertz, Amber J.","Mancini, Kimberly A.","Albert, Stephanie G.","Hang, Stacey L.","Grant, Benjamin K.","Lentz, Sarah M.","Ward, Richard L.",,7
MUN Ballot Style 1,2929,Portland 3-2,"Hang, Stacey L.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2930,Portland 3-2,"Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2931,Portland 3-2,"Albert, Stephanie G.","Hang, Stacey L.","Schertz, Amber J.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2932,Portland 3-2,"Schertz, Amber J.","Grant, Benjamin K.","Albert, Stephanie G.","Lentz, Sarah M.",skipped,skipped,skipped,,7
MUN Ballot Style 1,2933,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2934,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2935,Portland 3-2,"Hang, Stacey L.","Albert, Stephanie G.","Grant, Benjamin K.","Lentz, Sarah M.","Schertz, Amber J.",skipped,skipped,,7
MUN Ballot Style 1,2936,Portland 3-2,"Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2937,Portland 3-2,"Grant, Benjamin K.","Albert, Stephanie G.","Hang, Stacey L.","Schertz, Amber J.","Mancini, Kimberly A.","Lentz, Sarah M.","Ward, Richard L.",,7
MUN Ballot Style 1,2938,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2940,Portland 3-2,"Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2941,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2942,Portland 3-2,"Mancini, Kimberly A.","Hang, Stacey L.","Albert, Stephanie G.","Schertz, Amber J.",skipped,skipped,skipped,,7
MUN Ballot Style 1,2943,Portland 3-2,"Hang, Stacey L.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2945,Portland 3-2,"Lentz, Sarah M.","Ward, Richard L.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2947,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2948,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.","Ward, Richard L.",skipped,skipped,skipped,,7
MUN Ballot Style 1,2949,Portland 3-2,"Lentz, Sarah M.","Albert, Stephanie G.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2950,Portland 3-2,"Mancini, Kimberly A.","Schertz, Amber J.","Hang, Stacey L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2951,Portland 3-2,"Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2952,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.","Mancini, Kimberly A.","Schertz, Amber J.","Hang, Stacey L.",skipped,,7
MUN Ballot Style 1,2953,Portland 3-2,"Schertz, Amber J.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2954,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2955,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2956,Portland 3-2,"Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2957,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2958,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Mancini, Kimberly A.","Albert, Stephanie G.",skipped,skipped,skipped,,7
MUN Ballot Style 1,2959,Portland 3-2,"Grant, Benjamin K.","Hang, Stacey L.","Mancini, Kimberly A.","Lentz, Sarah M.","Albert, Stephanie G.","Schertz, Amber J.",skipped,,7
MUN Ballot Style 1,2960,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2961,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.","Hang, Stacey L.","Schertz, Amber J.","Ward, Richard L.","Albert, Stephanie G.","Mancini, Kimberly A.",,7
MUN Ballot Style 1,2962,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2963,Portland 3-2,"Grant, Benjamin K.","Ward, Richard L.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2964,Portland 3-2,"Hang, Stacey L.","Lentz, Sarah M.","Grant, Benjamin K.","Ward, Richard L.","Schertz, Amber J.","Mancini, Kimberly A.","Albert, Stephanie G.",,7
MUN Ballot Style 1,2965,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2966,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2967,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2968,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.","Schertz, Amber J.","Mancini, Kimberly A.","Hang, Stacey L.","Ward, Richard L.",,7
MUN Ballot Style 1,2969,Portland 3-2,"Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2970,Portland 3-2,"Mancini, Kimberly A.","Hang, Stacey L.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2971,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2972,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Hang, Stacey L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2973,Portland 3-2,"Hang, Stacey L.","Albert, Stephanie G.","Schertz, Amber J.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2974,Portland 3-2,"Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2976,Portland 3-2,"Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2977,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2978,Portland 3-2,"Mancini, Kimberly A.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2979,Portland 3-2,"Albert, Stephanie G.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2980,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2981,Portland 3-2,"Schertz, Amber J.","Hang, Stacey L.","Mancini, Kimberly A.","Albert, Stephanie G.",skipped,skipped,skipped,,7
MUN Ballot Style 1,2982,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.","Hang, Stacey L.","Albert, Stephanie G.",skipped,skipped,skipped,,7
MUN Ballot Style 1,2983,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2984,Portland 3-2,"Mancini, Kimberly A.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2985,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.",skipped,,7
MUN Ballot Style 1,2986,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2987,Portland 3-2,"Lentz, Sarah M.","Hang, Stacey L.","Grant, Benjamin K.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.","Albert, Stephanie G.",,7
MUN Ballot Style 1,2988,Portland 3-2,"Hang, Stacey L.","Lentz, Sarah M.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2989,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.","Ward, Richard L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2990,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2991,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2992,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2993,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.","Ward, Richard L.","Schertz, Amber J.","Mancini, Kimberly A.","Hang, Stacey L.",,7
MUN Ballot Style 1,2994,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2995,Portland 3-2,"Mancini, Kimberly A.","Schertz, Amber J.","Hang, Stacey L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2996,Portland 3-2,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,2997,Portland 3-2,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
