voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
33,James SCANLON Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Soryia SIDDIQUE Glasgow (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,10
34,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Elaine GALLAGHER Elect a (Grn) Councillor,Jamie DYER (Ind),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,4,10
35,Elaine GALLAGHER Elect a (Grn) Councillor,Alexander BELIC (SNP) Party (SNP),Jamie DYER (Ind),Mhairi HUNTER (SNP) Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4,10
36,Elaine GALLAGHER Elect a (Grn) Councillor,Alexander BELIC (SNP) Party (SNP),Jamie DYER (Ind),Mhairi HUNTER (SNP) Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4,10
37,Elaine GALLAGHER Elect a (Grn) Councillor,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Soryia SIDDIQUE Glasgow (Lab),Jamie DYER (Ind),Alexander BELIC (SNP) Party (SNP),James SCANLON Glasgow (Lab),Kamran BUTT (Alba) Party for independence,Mhairi HUNTER (SNP) Party (SNP),Sam GLASGOW-JACKSON Scottish (LD),Tariq PARVEZ Scottish (Con) and Unionist,4,10
38,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Elaine GALLAGHER Elect a (Grn) Councillor,Jamie DYER (Ind),Sam GLASGOW-JACKSON Scottish (LD),Soryia SIDDIQUE Glasgow (Lab),James SCANLON Glasgow (Lab),skipped,skipped,skipped,4,10
39,Alexander BELIC (SNP) Party (SNP),Mhairi HUNTER (SNP) Party (SNP),Elaine GALLAGHER Elect a (Grn) Councillor,Kamran BUTT (Alba) Party for independence,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Sam GLASGOW-JACKSON Scottish (LD),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,4,10
40,Alexander BELIC (SNP) Party (SNP),Mhairi HUNTER (SNP) Party (SNP),Elaine GALLAGHER Elect a (Grn) Councillor,Kamran BUTT (Alba) Party for independence,Sam GLASGOW-JACKSON Scottish (LD),skipped,skipped,skipped,skipped,skipped,4,10
41,Tariq PARVEZ Scottish (Con) and Unionist,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Sam GLASGOW-JACKSON Scottish (LD),James SCANLON Glasgow (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,10
42,Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Soryia SIDDIQUE Glasgow (Lab),Kamran BUTT (Alba) Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4,10
43,Mhairi HUNTER (SNP) Party (SNP),James SCANLON Glasgow (Lab),Elaine GALLAGHER Elect a (Grn) Councillor,Sam GLASGOW-JACKSON Scottish (LD),skipped,skipped,skipped,skipped,skipped,skipped,4,10
44,Elaine GALLAGHER Elect a (Grn) Councillor,Sam GLASGOW-JACKSON Scottish (LD),Soryia SIDDIQUE Glasgow (Lab),James SCANLON Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),skipped,skipped,skipped,skipped,4,10
45,Elaine GALLAGHER Elect a (Grn) Councillor,James SCANLON Glasgow (Lab),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Alexander BELIC (SNP) Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4,10
46,Sam GLASGOW-JACKSON Scottish (LD),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Elaine GALLAGHER Elect a (Grn) Councillor,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),skipped,skipped,skipped,skipped,4,10
47,Tariq PARVEZ Scottish (Con) and Unionist,Elaine GALLAGHER Elect a (Grn) Councillor,Kamran BUTT (Alba) Party for independence,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
48,Elaine GALLAGHER Elect a (Grn) Councillor,Jamie DYER (Ind),Soryia SIDDIQUE Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),James SCANLON Glasgow (Lab),skipped,skipped,skipped,skipped,4,10
49,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Soryia SIDDIQUE Glasgow (Lab),Elaine GALLAGHER Elect a (Grn) Councillor,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
50,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Soryia SIDDIQUE Glasgow (Lab),Elaine GALLAGHER Elect a (Grn) Councillor,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
51,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Alexander BELIC (SNP) Party (SNP),Mhairi HUNTER (SNP) Party (SNP),Elaine GALLAGHER Elect a (Grn) Councillor,skipped,skipped,skipped,skipped,skipped,4,10
52,Alexander BELIC (SNP) Party (SNP),Mhairi HUNTER (SNP) Party (SNP),Elaine GALLAGHER Elect a (Grn) Councillor,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Kamran BUTT (Alba) Party for independence,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Sam GLASGOW-JACKSON Scottish (LD),Jamie DYER (Ind),Tariq PARVEZ Scottish (Con) and Unionist,4,10
53,Alexander BELIC (SNP) Party (SNP),Mhairi HUNTER (SNP) Party (SNP),Elaine GALLAGHER Elect a (Grn) Councillor,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Kamran BUTT (Alba) Party for independence,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Sam GLASGOW-JACKSON Scottish (LD),Jamie DYER (Ind),Tariq PARVEZ Scottish (Con) and Unionist,4,10
54,Alexander BELIC (SNP) Party (SNP),Mhairi HUNTER (SNP) Party (SNP),Elaine GALLAGHER Elect a (Grn) Councillor,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Kamran BUTT (Alba) Party for independence,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Sam GLASGOW-JACKSON Scottish (LD),Jamie DYER (Ind),Tariq PARVEZ Scottish (Con) and Unionist,4,10
55,Jamie DYER (Ind),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
