voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
2673,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2674,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2675,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2676,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2677,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2678,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2679,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2680,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2681,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2682,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2683,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2684,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2685,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2686,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2687,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2688,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2689,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2690,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2691,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2692,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2693,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2694,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2695,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2696,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2697,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2698,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2699,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2700,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2701,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2702,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2703,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2704,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2705,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2706,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2707,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2708,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2709,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2710,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2711,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2712,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2713,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2714,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2715,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2716,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2717,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2718,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2719,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2720,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2721,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2722,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2723,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2724,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2725,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2726,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2727,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2728,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2729,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2730,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2731,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2732,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2733,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2734,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2735,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2736,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2737,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2738,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2739,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2740,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2741,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2742,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2743,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2744,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2745,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2746,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2747,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2748,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2749,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2750,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2751,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2752,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2753,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2754,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2755,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2756,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2757,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
