election,IRV,Borda
f16f6ed533.csv,2,3
0a504e722f.csv,8,8
385f5a652a.csv,12,12
a077413f56.csv,2,2
96734842e1.csv,1,1
0655f141f2.csv,4,5
8b02719418.csv,3,3
e00408fca8.csv,1,1
484ff423b6.csv,1,1
a0dd506102.csv,4,4
d5414f6a4f.csv,2,1
05aa8915f2.csv,6,6
1a3300430c.csv,1,14
171f9487ab.csv,3,3
ca5ced2540.csv,51,51
feaf1780f5.csv,4,4
7ddfe0a69d.csv,6,6
139cb78590.csv,21,1
21b60b3955.csv,11,1
9fc9b5d615.csv,4,4
d2f2341428.csv,16,16
518fb39196.csv,5,5
6c1c3111c0.csv,13,13
9570ed76e1.csv,169,169
3f51f326bd.csv,2,2
4be8085e5b.csv,7,7
d87c44015d.csv,16,16
dc3265ec84.csv,8,2
74fd45dbb6.csv,14,14
eafe9b03c3.csv,1,5
7d6c79a6c1.csv,2,3
e9015d27ba.csv,8,5
f8761b701b.csv,2,4
8d30651a8c.csv,3,4
b13e1b59ab.csv,4,4
ad9547c6d3.csv,3,8
01f039ce6c.csv,1,1
7b18610b34.csv,7,7
32977d99f1.csv,2,2
8172585383.csv,5,5
6d8af25822.csv,7,7
1bda2a5e83.csv,4,4
b75749f2c3.csv,5,5
6cf90b563a.csv,5,5
b6c7863dc1.csv,21,21
d6bd92be8b.csv,4,1
3654170686.csv,1,2
fc4915aaf7.csv,8,2
50514291b5.csv,5,5
dd7c798ddf.csv,48,48
43719fca32.csv,12,12
52f84d35d9.csv,2,6
6cb2721c9d.csv,4,4
2e580e1584.csv,8,8
41fc7e7bfe.csv,7,7
de2c34c376.csv,7,1
8d8ac6dd42.csv,7,7
a204d343a1.csv,1,6
41350b0f9c.csv,2,2
10da88d1da.csv,3,3
4506610042.csv,9,9
d424aa153c.csv,37,1
abbf2caea5.csv,25,25
625858e0fa.csv,1,1
b53e921736.csv,4,1
018508461a.csv,2,1
d05ec33737.csv,9,9
dc86fd261c.csv,7,7
f806316cde.csv,1,1
115426c44b.csv,8,8
488a267122.csv,17,17
4cc0e805c8.csv,1,1
2c378ad717.csv,3,3
25107c2852.csv,30,30
10232dd336.csv,3,3
43a1149aa5.csv,51,51
ffbed5118f.csv,14,14
029918cc9d.csv,2,3
4c387776f4.csv,5,1
77ddf5b010.csv,4,4
483d7c621c.csv,7,1
339b49b158.csv,1,1
950c64b49a.csv,1,1
e7dd0b0243.csv,21,21
2746502843.csv,20,20
4a60afcf59.csv,2,1
ac93396602.csv,6,1
fc0751325e.csv,3,1
02c2dcfdde.csv,1,4
c8d4ba48ff.csv,2,1
b8ba7dd30c.csv,46,46
398e05438d.csv,1,1
49afec44e6.csv,21,21
6e0e621041.csv,2,2
9a4ca1b869.csv,2,2
da64f443c0.csv,12,1
4f124270ac.csv,4,1
3eab6ce560.csv,169,169
d6bdff2069.csv,3,1
d8adf56c7b.csv,6,6
af9a150d7c.csv,6,6
4b62e31ef9.csv,15,15
0daaf83cb2.csv,16,1
e3be7b1c4e.csv,1,1
553b2eb052.csv,1,1
42e9f6d629.csv,25,25
610bf7feed.csv,1,1
651dac326a.csv,3,3
66bd0b43a7.csv,15,15
7d9a59aaff.csv,5,1
db694ea4f5.csv,1,1
88ace4b77c.csv,4,4
5586520b08.csv,2,2
79ae1bd58c.csv,6,6
28e1e84255.csv,1,4
f084df174f.csv,20,2
6029865bb4.csv,6,1
c8991dd905.csv,1,1
ff39dcd145.csv,4,4
4335f9313e.csv,2,2
3205c9aa08.csv,52,52
fb6ff69f3e.csv,13,13
d2ab8a8f96.csv,3,3
a2c763a449.csv,123,123
609c5caf54.csv,75,75
0852f34d17.csv,1,7
111e7187da.csv,7,3
51f593d2f3.csv,1,1
1c5bc1529d.csv,3,7
53735c3eef.csv,3,3
277e60df7f.csv,12,12
ab3215e271.csv,9,9
398f888312.csv,3,3
528cbde754.csv,10,10
ca7f502857.csv,1,1
f8778a32ee.csv,1,1
fc064eba99.csv,15,15
079e3b8a8d.csv,1,1
c470ed0a65.csv,8,8
e8dd7ab6da.csv,13,1
cc2975f67b.csv,2,2
ed396694d0.csv,3,3
fb43e3fd3c.csv,1,1
e44e6f9835.csv,5,15
bb6730b59c.csv,4,4
06cd3e39dc.csv,2,2
74b2a4dc17.csv,2,4
654f1aee20.csv,1,1
478279cac0.csv,3,3
e81edc6775.csv,3,3
1df49fb44c.csv,1,1
3c0a0d1465.csv,1,1
6aca14326d.csv,6,6
eed4756773.csv,8,8
3bda087ae1.csv,1,1
3629eab883.csv,9,9
4cdd441ed5.csv,6,6
b3d02ded9e.csv,21,21
a1399549fc.csv,26,26
951de05c36.csv,3,3
d33f6b698e.csv,1,1
75437037ef.csv,3,3
0091e41519.csv,9,9
721e1de395.csv,3,1
4c481d4383.csv,3,3
0d1f93e3c2.csv,1,1
79d56fe1d4.csv,4,4
7cfb157374.csv,6,6
349489d732.csv,8,8
a50b10b865.csv,1,1
7ee6116dba.csv,1,3
3d9c85ca09.csv,1,15
aadb0e98fe.csv,3,3
af3ade14e9.csv,6,6
5cf367f50b.csv,1,1
265d7acfd9.csv,1,1
1fcb7d3202.csv,21,1
21a4f853c0.csv,1,1
efee705915.csv,25,25
3ce3166da6.csv,6,6
37bf6fa697.csv,1,1
d6cd465864.csv,4,4
4d4a661559.csv,27,27
87f76d675b.csv,5,5
e543bf0ae5.csv,80,80
f8ab46b238.csv,19,19
833a5918cc.csv,3,1
5f38736b3e.csv,6,6
1f51051cfc.csv,1,1
126b3f35fa.csv,3,3
a891f13d87.csv,31,31
ef4f6312e8.csv,1,1
801a6b85e9.csv,Skipped,Skipped
a70e6f7198.csv,72,1
a7d8bd09f2.csv,19,1
61f53a6523.csv,8,8
e4a65af222.csv,2,2
185ba8d97e.csv,53,53
c6341abea4.csv,40,40
eabde041e3.csv,8,8
0b92e8ac10.csv,7,7
9c4ca061a8.csv,7,7
5fd56833e8.csv,36,36
bf1ddcc0ee.csv,26,26
5ea960f32b.csv,21,2
328563994c.csv,5,5
0b471647fc.csv,Skipped,Skipped
baae129009.csv,5,2
41814743a1.csv,6,14
dcf53e4866.csv,1,1
c91bfcdf2d.csv,9,9
2c51f33edf.csv,155,155
5d24b1f8d2.csv,7,7
9b2fc1d380.csv,1,1
0dcd7b6905.csv,1,1
e6fa1c423f.csv,10,10
db3b763640.csv,2,3
20d279c592.csv,19,2
0f18edf8ea.csv,4,4
e737799075.csv,3,3
eacab07188.csv,1,1
4acd607a76.csv,4,4
7865e54bcd.csv,4,7
6a482ef9e2.csv,12,1
7c7cf92de8.csv,15,15
86aa9d11f6.csv,2,2
301b20575d.csv,1,1
3aa9107e1a.csv,2,2
b8a48601b3.csv,1,1
1a66bf9cf2.csv,12,12
3acd125bfd.csv,12,12
4b8320d3da.csv,3,3
fe3f681d0b.csv,7,7
bc326ee101.csv,10,10
ccdd56fd89.csv,3,3
0cc16c2c6d.csv,5,5
54754276cd.csv,32,1
3196d079b0.csv,6,3
bee8cc85f2.csv,12,12
8e555d6f11.csv,10,10
d0a4566129.csv,4,4
4c5050e572.csv,2,2
0a2d849cd2.csv,1,1
ec67035a42.csv,4,4
07187a6479.csv,9,9
9c1b1b74cc.csv,5,5
0a91d87404.csv,11,11
010edf8805.csv,17,17
1c9cb70238.csv,2,1
1b10f1f600.csv,3,3
d567c5cd83.csv,58,58
830baf55df.csv,1,1
0b3746b0cb.csv,7,7
fee8f23324.csv,13,13
36cd9b2f39.csv,3,3
d3addfc2aa.csv,6,6
3f4a4d3ed2.csv,4,4
8e8cef6259.csv,1,1
edf57c98c9.csv,4,4
72400e8ae9.csv,1,1
db1c3a6f41.csv,37,37
ddf4e263ae.csv,9,9
007fd1ee28.csv,1,1
3f77af6dbd.csv,2,2
bbf60746fb.csv,11,11
2d178cbda2.csv,13,13
a0ec9636b1.csv,Skipped,Skipped
20cf623758.csv,1,1
3a160d1a2d.csv,2,2
a973f5cedb.csv,3,3
e1cae49c22.csv,15,1
a7849b1f37.csv,2,3
e267f26fed.csv,2,2
59c8c92c4f.csv,9,9
1e8b76d031.csv,2,10
6c3fcb4d84.csv,5,1
6a81223b52.csv,115,115
18ec2b109e.csv,4,2
c9cfe06df1.csv,1,1
386612022d.csv,12,12
cb46063882.csv,4,4
9fe2bd2aa2.csv,2,2
4ecbced463.csv,2,1
3bade31e1e.csv,1,1
30f43968a1.csv,3,3
97fbe90e76.csv,15,15
e8cda228bd.csv,1,1
e62b745563.csv,1,1
c2a77a299c.csv,2,4
36ba20b126.csv,18,1
0281705aec.csv,1,2
ddc646aac4.csv,14,14
7ae41d855a.csv,1,1
f88ab32742.csv,21,21
2661813c3b.csv,40,4
c510553732.csv,3,6
103bc6b8f2.csv,8,8
bb44cd6000.csv,10,10
3e1a054670.csv,3,11
54874866b6.csv,50,1
141e9a4d25.csv,Skipped,Skipped
ec8f00cb00.csv,2,2
9f3ebaa750.csv,2,2
76428d3dd8.csv,4,4
1d0b5b9859.csv,3,3
167d5c17cc.csv,4,4
33cecc12cd.csv,3,3
ece1835742.csv,5,5
14913a1880.csv,13,13
b41ee19faa.csv,4,4
5e18be2053.csv,4,4
6d15c6a767.csv,10,3
5deda8de9e.csv,5,5
91d5af80b2.csv,1,1
f8061c72a7.csv,1,2
dd3348e2bf.csv,11,11
3d2f6ae8ca.csv,26,26
5df1f0c64e.csv,3,4
f0b58ef943.csv,16,16
b17de76666.csv,3,4
106143579b.csv,2,1
a80989a462.csv,7,7
29fd964d25.csv,6,6
a9cc09e005.csv,8,8
ba21f2709d.csv,3,1
0b06399990.csv,11,11
ecfee6c155.csv,6,1
ded47c1ac2.csv,18,18
563b7f41a3.csv,1,1
ba1e9a8100.csv,105,105
68d3bcf71e.csv,8,8
2478a6eac2.csv,9,1
288eecca2e.csv,7,2
967dc7a9cd.csv,10,10
8011641884.csv,4,3
374b325c68.csv,21,21
e3794bad55.csv,16,1
a1712997da.csv,3,1
a784402b48.csv,2,2
daca76964f.csv,8,8
6cf8f2aacf.csv,6,1
147f354870.csv,7,7
a3f209a6f1.csv,22,22
ca232cf069.csv,132,132
9d07a69841.csv,1,1
ff2c93008b.csv,3,3
4e16af80df.csv,2,2
419f4e3e2b.csv,40,40
c49566b3eb.csv,2,2
746a5593e6.csv,9,9
0e0906a3a3.csv,11,11
da7891d195.csv,1,1
d62df293f6.csv,2,2
a42a6e65f6.csv,5,5
8f319a61a7.csv,2,2
442e5389ec.csv,4,4
19e5289dd4.csv,1,1
74a7363946.csv,9,9
40f24277c8.csv,7,1
b958edca21.csv,1,1
f500cb0513.csv,3,3
ece3f7c6e4.csv,9,1
9f2388edd8.csv,5,6
6504972337.csv,8,8
16ed01b049.csv,3,1
9f38c8aaab.csv,11,2
7dcab89c88.csv,23,23
17825be60e.csv,9,9
8075154f06.csv,12,12
0d271cbe9f.csv,3,3
15c1111155.csv,2,2
56c3ead95e.csv,6,6
2a81a67d95.csv,5,1
08966bf7d8.csv,2,2
45ece9ad44.csv,36,36
9ae3912577.csv,7,7
022bfdae64.csv,6,4
651b90a50c.csv,2,1
277ede6a90.csv,13,13
ba2245df4f.csv,4,4
062e20108b.csv,4,4
fc45c3002a.csv,7,7
faaf9bfe12.csv,14,14
94235cf887.csv,1,1
cfa936ecb2.csv,52,52
91a4079dfd.csv,1,1
2f64af9037.csv,9,10
0fe9f9b6f1.csv,3,1
b2d402999f.csv,13,13
05746f0ae5.csv,1,1
51a7d0f8d3.csv,82,82
08d3cdc606.csv,4,4
16f7839cd3.csv,25,25
98b214bb67.csv,1,1
033748e5ce.csv,Skipped,Skipped
2a50fe4632.csv,9,9
614bc6a90e.csv,52,52
1d80bff330.csv,30,30
b8a46ad7bc.csv,1,1
43e79e7326.csv,69,69
77dce0c078.csv,2,2
4d1c6e57eb.csv,1,1
fa36f3929d.csv,26,26
61c4eebd64.csv,3,3
7d47576f72.csv,10,10
87869154e9.csv,2,2
3ae897ce86.csv,4,1
fd629d26ab.csv,1,1
b7ef508e41.csv,4,4
cf70799c98.csv,6,6
d7d0d44ff2.csv,6,6
6adb4fa662.csv,4,4
6af918bf07.csv,5,5
d2da3dd4f0.csv,10,10
ace3e1db6a.csv,12,12
451fb74860.csv,2,3
306cf7f0d3.csv,1,1
f9bd3a815b.csv,7,7
b29d3be438.csv,8,8
f60b579d37.csv,2,2
70bab1ac40.csv,8,8
a5b0abd0fa.csv,9,9
6d4cc313ee.csv,1,1
78112b5fdc.csv,1,1
e7ad72e00c.csv,13,13
b9c9c9d9be.csv,1,1
e4d497e98f.csv,18,18
8c036de74b.csv,4,4
1cf41dcf42.csv,0,0
1a84955616.csv,4,4
4ef3954939.csv,1,1
8a453c8e8f.csv,3,3
59b0d703cc.csv,5,5
f0f7d3733e.csv,8,1
c82068758d.csv,1,1
8d6b4268cc.csv,11,13
ba42ee21ff.csv,2,2
78848751b7.csv,2,2
fe00c77bb9.csv,13,1
2a244ece77.csv,2,2
2296d07474.csv,6,6
feb82581e0.csv,12,4
1308936db2.csv,2,2
aac8e0f780.csv,3,1
f7ac9b7eb6.csv,17,17
a4343f3000.csv,4,4
e71c1d12f2.csv,3,3
63756b783d.csv,3,5
dcfef48d62.csv,3,3
64be1f9778.csv,2,2
f08f4624a2.csv,4,4
8f5442cf7f.csv,2,2
f489323f43.csv,6,6
5047343e1f.csv,7,1
31096b47dd.csv,50,1
9d5ecafb8b.csv,1,1
d33fc8b5af.csv,5,5
9313d6312d.csv,3,10
1ac46a8c71.csv,6,1
ca2cbf1773.csv,3,3
b78e86ca84.csv,2,42
135bed9078.csv,11,11
2efc70c997.csv,2,3
2e3da1aade.csv,4,4
cdceea53c2.csv,1,1
e44f5b436e.csv,113,113
325484491d.csv,1,1
26635736a3.csv,5,5
d462c766d7.csv,32,32
dadbe75539.csv,84,84
9fd12b2aa3.csv,1,1
8cc8a889b4.csv,2,2
6d15bdae51.csv,6,1
3980320410.csv,34,34
12ac5b9c8c.csv,5,5
8b7d0ad95d.csv,1,10
d75bb2a8e7.csv,1,1
f19b8ff9ac.csv,1,1
b983165db7.csv,6,6
a8ec671c17.csv,5,3
db6a40cec4.csv,1,1
251f0acb0b.csv,3,3
3092e89f78.csv,8,8
bb267d8067.csv,8,3
da56b56e94.csv,3,2
cd5427c321.csv,7,1
e3c163b05e.csv,12,1
dac7b32540.csv,20,20
caedf0ad39.csv,10,10
1a3582a3ff.csv,3,3
1aff36c2e3.csv,3,3
aba2cadf89.csv,2,2
bd2fc27e90.csv,1,8
464373629c.csv,3,3
e002a74822.csv,19,2
e26f1af928.csv,5,4
1f89528f39.csv,12,12
06d9624195.csv,1,1
8d1dc8875c.csv,3,3
730ce6dfb0.csv,1,1
a0690053b2.csv,23,23
98371daa06.csv,1,1
91934c258c.csv,3,3
563159c138.csv,8,8
e7ef6a8af0.csv,Skipped,Skipped
ebf56f0e01.csv,1,1
0155e1e087.csv,10,10
950842e561.csv,2,2
d10bfa4599.csv,2,5
3aea25fd54.csv,4,4
ebd6fb0103.csv,3,3
32cd349275.csv,14,1
32d0a75e12.csv,6,6
25ad4ca8b3.csv,3,2
b2646fd48b.csv,10,10
1910eee72a.csv,4,12
4bbd9f82cc.csv,3,3
58b267413e.csv,1,1
7d80fd33d6.csv,5,1
d58b364fd6.csv,5,5
e3f802a6c2.csv,1,10
d364d7a828.csv,1,1
bca71d8e48.csv,13,13
27c4f466d2.csv,58,58
6375a113b3.csv,1,1
3016b2c49e.csv,3,3
31c81497a8.csv,20,20
31e01bf1c7.csv,2,2
970a8ed957.csv,18,18
02a6a5b1cf.csv,1,1
2f4980f8aa.csv,6,6
7db8edfe7c.csv,1,1
1360136383.csv,2,2
707a573d7c.csv,74,74
0f3e68a0e9.csv,15,15
43b083815b.csv,1,1
7ba7cc6925.csv,1,1
908cb2197b.csv,19,8
9d8f0e4fc2.csv,2,1
34d00ce19d.csv,Skipped,1
67a9b29493.csv,6,6
9929e3a231.csv,1,1
2b39b219bb.csv,6,6
6a2f71a640.csv,3,4
761cc2edac.csv,1,1
c150e3186b.csv,1,2
63bcb048f8.csv,19,19
81c491f9b0.csv,1,1
657d5ee9ca.csv,2,1
8df9efb223.csv,12,12
28cb2eef22.csv,2,2
34d0967286.csv,9,9
ed7debafd9.csv,3,2
27295db523.csv,6,6
e59384a31d.csv,1,1
fec8bd30a5.csv,26,26
e5765b0d4f.csv,3,3
2720da91ce.csv,75,75
f4049bbaf5.csv,3,3
c0fcb7402f.csv,7,7
8e7fc30a8f.csv,10,10
7fb53b4b18.csv,17,17
31aacee83e.csv,17,3
f0d9b275a4.csv,8,8
8ff09b1c51.csv,5,5
54d4c846e7.csv,8,8
e8e1a53c9a.csv,3,3
f97851b26a.csv,9,9
78ae8d8f4d.csv,1,1
3f3de21f0f.csv,6,6
fe3a16b75f.csv,1,1
8b2c3e1cae.csv,1,1
938e6798d7.csv,9,9
f6f8d08a0d.csv,6,8
a95da3fae2.csv,8,8
f09ec289ee.csv,5,5
3b7d8f8942.csv,17,17
45fa9e215f.csv,Skipped,1
6ddb81ea7a.csv,4,4
8485fcae1c.csv,7,1
e789a7f915.csv,2,8
c575b11a64.csv,1,1
d3e7478ae6.csv,2,1
4de8682ef1.csv,14,14
e5bbab75a9.csv,1,1
b8a9a5b32c.csv,28,28
87037e4175.csv,4,4
16d22bfcc1.csv,10,10
043444229e.csv,11,11
3a9a0a309b.csv,3,3
5eaec6bd8d.csv,11,1
abd1098207.csv,20,20
44e4432801.csv,10,10
9c56f8fef4.csv,4,6
96e3297785.csv,1,3
8852abebe9.csv,3,3
8b588952f2.csv,2,1
ceed6a5cfb.csv,12,12
6b4fdc84dd.csv,9,9
7abc80f697.csv,7,1
7cf340711d.csv,2,2
ad0e3a88cb.csv,4,4
1a40019b54.csv,12,12
63737dac7c.csv,17,17
a65c912cc4.csv,3,3
025f8e2331.csv,5,5
476f34adc0.csv,6,5
b20317b704.csv,29,29
77f7de2b42.csv,2,2
cc94e10365.csv,3,3
ebba4c38e5.csv,5,5
40abae5545.csv,1,1
f7d5618704.csv,60,60
cafd25fb46.csv,5,5
1b4de9c1c4.csv,32,32
8160fd66be.csv,1,1
0a91ab4de1.csv,3,3
7f2cb6024a.csv,5,5
927d576046.csv,1,1
32f207e2c7.csv,5,5
b7ad593c1b.csv,3,3
5f8571e94e.csv,10,10
94d38d675a.csv,8,8
cf0b9cc737.csv,3,3
0e24e311c4.csv,21,21
73bebe17a2.csv,12,12
5c80424256.csv,7,7
1b37803108.csv,2,2
9b930fe522.csv,5,5
3987bbaab7.csv,1,1
f101a1e237.csv,3,1
b931597271.csv,10,10
ab00fcd42b.csv,30,30
c4a4b80e1c.csv,8,8
2c83e6077c.csv,2,2
0a4312f60a.csv,6,6
fa52c1263e.csv,8,8
f062418dad.csv,3,3
f677b44444.csv,8,8
920198d131.csv,32,3
5efe447b09.csv,15,15
3c106ff511.csv,3,3
086c49a424.csv,7,7
db3e3e7a5d.csv,Skipped,Skipped
e582a0f554.csv,4,4
24c8ad541b.csv,3,3
7ac09a7565.csv,1,1
7643a09b2f.csv,2,2
02e561c6a0.csv,3,7
08003305ab.csv,1,4
42b644833f.csv,1,1
a1b32edd63.csv,2,6
dc6f18cbb6.csv,8,8
0e498d8806.csv,63,63
5760c70065.csv,10,10
303e1bb1d0.csv,10,10
076612cbfb.csv,6,6
b2694b66b2.csv,1,1
47f80eadb8.csv,3,3
35b049e405.csv,5,5
781d4dcd8b.csv,3,3
e26783f2d8.csv,2,1
be57d28b78.csv,12,12
c68e9768b7.csv,1,1
f9a5abb217.csv,19,1
21d082cdca.csv,2,2
0434da862a.csv,11,11
942b0a62bc.csv,14,14
60e3d3feb5.csv,3,3
156894b98f.csv,25,25
cbb430ad17.csv,Skipped,1
d8a5ca21da.csv,2,2
f314b32d2b.csv,1,1
4b41c315d1.csv,12,12
c7cb917484.csv,11,11
cc5aae67fc.csv,6,6
8982966761.csv,1,5
5bf63b5c1b.csv,11,11
66e5600489.csv,11,11
cd52dee303.csv,2,2
a85bd7a449.csv,1,18
8fb673c809.csv,7,7
62091e2425.csv,8,8
141e2169b2.csv,2,2
e7cdc35a3f.csv,3,3
4ffac904fa.csv,Skipped,1
f199ec5b4e.csv,1,1
26a942d43b.csv,7,1
3822289485.csv,9,1
664556000a.csv,18,18
48d5ce2570.csv,Skipped,Skipped
64a95dbfcd.csv,3,3
f53152bfb0.csv,17,17
41d496a0af.csv,1,1
6c8895b2fe.csv,8,8
b9daddfe37.csv,3,3
b7fa0e69ff.csv,7,1
72af5f873c.csv,34,34
da90be2357.csv,4,4
a92a00ce01.csv,6,1
fbda4fb474.csv,7,7
e482e085ea.csv,10,1
ca1ee127b4.csv,3,3
4b6f695f74.csv,10,1
5f1d4e0011.csv,22,22
c5c242279d.csv,3,3
e45cde7da0.csv,10,10
8318038381.csv,5,2
66d98053eb.csv,3,1
a374d51e28.csv,21,21
631d98490c.csv,6,3
d09d3582bf.csv,8,8
2f1e4457ee.csv,4,4
abdeb2f802.csv,4,4
df41a50556.csv,2,2
b02e1fac3c.csv,11,1
dee19b67f6.csv,51,51
370783d656.csv,1,1
19287d949d.csv,13,1
2713e7c7a2.csv,10,10
e71c220e1a.csv,2,2
45f8659fb6.csv,3,2
23cc61e988.csv,20,1
109422b446.csv,14,1
8e7d663d12.csv,1,1
3105492562.csv,23,23
ae140db505.csv,28,28
967626b22b.csv,8,8
a9cfd6b7bd.csv,27,27
2b6b47bbf2.csv,4,1
d4deee7860.csv,6,1
178feea29a.csv,2,2
6de2313dc7.csv,1,1
51fc893523.csv,8,8
dad5dabc5e.csv,4,3
7c0f2567b4.csv,1,8
2436bb0967.csv,9,9
a653ba4478.csv,1,1
933217c79c.csv,15,15
db0124f143.csv,7,7
3a562861e8.csv,39,39
31fc6d05a1.csv,12,12
92dac1dde1.csv,3,1
00d115455c.csv,21,21
3f22dea998.csv,14,2
cc25482856.csv,4,6
2c543393cb.csv,2,1
7782fd0461.csv,1,1
8b06090ca4.csv,14,14
f17cdc5c02.csv,3,3
8c40eb47f9.csv,2,1
9b93987c65.csv,7,7
746f21193d.csv,2,1
cbe08d8e57.csv,5,5
b47d464c38.csv,2,4
325ea9539f.csv,11,11
6bff6ce697.csv,21,21
25317fae55.csv,3,3
0519dcf665.csv,6,6
c382d2499f.csv,16,16
b7667ab450.csv,11,11
6d9d3c0585.csv,105,105
580a0c319f.csv,3,3
eb42d58dcb.csv,1,5
c9bc2cb6f4.csv,18,18
018766482d.csv,9,9
d7a8e3f09c.csv,14,2
862cdd4635.csv,10,10
e6ef71f16f.csv,2,1
4273eb73fc.csv,1,1
c18ba9eaaf.csv,2,2
8f48042eb8.csv,26,26
243c4bc8b3.csv,31,31
1cf8bc601b.csv,2,1
db6c7891f2.csv,40,1
29d405ecb2.csv,4,4
4af730d210.csv,3,3
aac26fc221.csv,1,1
061a796ec9.csv,1,1
ba215e4b1d.csv,6,6
ea5281ad23.csv,18,18
ae86cd0749.csv,48,48
976df66461.csv,5,5
40301f1ab0.csv,3,3
6d2a813370.csv,72,1
