voter_id,rank1,rank2,rank3,rank4,rank5,num_positions
343,John Ross SCOTT Scottish Greens,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,4
344,John Ross SCOTT Scottish Greens,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,4
345,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,4
346,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,4
347,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,4
348,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,4
349,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,4
350,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,4
351,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,4
352,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,4
353,John Ross SCOTT Scottish Greens,Gwenda SHEARER Independent,Graham MACDONALD Independent,skipped,skipped,4
354,Gwenda SHEARER Independent,David DAWSON Independent,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,4
355,Gwenda SHEARER Independent,David DAWSON Independent,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,4
356,Gwenda SHEARER Independent,David DAWSON Independent,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,4
357,Gwenda SHEARER Independent,David DAWSON Independent,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,Graham MACDONALD Independent,4
358,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Gwenda SHEARER Independent,Graham MACDONALD Independent,David DAWSON Independent,4
359,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Gwenda SHEARER Independent,Graham MACDONALD Independent,David DAWSON Independent,4
360,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Gwenda SHEARER Independent,Graham MACDONALD Independent,David DAWSON Independent,4
361,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Gwenda SHEARER Independent,Graham MACDONALD Independent,David DAWSON Independent,4
362,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Gwenda SHEARER Independent,Graham MACDONALD Independent,David DAWSON Independent,4
363,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Gwenda SHEARER Independent,Graham MACDONALD Independent,David DAWSON Independent,4
364,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Gwenda SHEARER Independent,Graham MACDONALD Independent,David DAWSON Independent,4
365,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,4
366,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,4
367,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,4
368,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,4
369,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
370,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
371,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
372,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
