voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
564,Kristopher LEASK Scottish Greens,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
565,Kristopher LEASK Scottish Greens,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
566,Kristopher LEASK Scottish Greens,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
567,Leslie SINCLAIR Independent,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
568,Leslie SINCLAIR Independent,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
569,Leslie SINCLAIR Independent,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
570,Leslie SINCLAIR Independent,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
571,Beverly CLUBLEY Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,skipped,4
572,Sandy COWIE Independent,Barbara FOULKES Independent,Beverly CLUBLEY Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,skipped,skipped,skipped,4
573,Beverly CLUBLEY Independent,Leslie SINCLAIR Independent,Leslie MANSON Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,4
574,Leslie MANSON Independent,Kristopher LEASK Scottish Greens,Sandy COWIE Independent,Ivan TAYLOR Independent,Beverly CLUBLEY Independent,Barbara FOULKES Independent,Leslie SINCLAIR Independent,Cameron WHITTLE Independent,4
575,Barbara FOULKES Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,Kristopher LEASK Scottish Greens,Leslie SINCLAIR Independent,Cameron WHITTLE Independent,Beverly CLUBLEY Independent,Sandy COWIE Independent,4
576,Leslie MANSON Independent,Ivan TAYLOR Independent,Sandy COWIE Independent,Beverly CLUBLEY Independent,Barbara FOULKES Independent,skipped,skipped,skipped,4
577,Beverly CLUBLEY Independent,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,4
578,Beverly CLUBLEY Independent,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,4
579,Beverly CLUBLEY Independent,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,4
580,Beverly CLUBLEY Independent,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,4
581,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
582,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
583,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
584,Sandy COWIE Independent,Barbara FOULKES Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
585,Sandy COWIE Independent,Barbara FOULKES Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
586,Leslie SINCLAIR Independent,Sandy COWIE Independent,Cameron WHITTLE Independent,Leslie MANSON Independent,Barbara FOULKES Independent,Ivan TAYLOR Independent,Beverly CLUBLEY Independent,skipped,4
587,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,4
588,Ivan TAYLOR Independent,Kristopher LEASK Scottish Greens,Barbara FOULKES Independent,Beverly CLUBLEY Independent,Sandy COWIE Independent,Cameron WHITTLE Independent,Leslie SINCLAIR Independent,Leslie MANSON Independent,4
589,Kristopher LEASK Scottish Greens,Beverly CLUBLEY Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
590,Kristopher LEASK Scottish Greens,Beverly CLUBLEY Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
591,Kristopher LEASK Scottish Greens,Beverly CLUBLEY Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
592,Kristopher LEASK Scottish Greens,Beverly CLUBLEY Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
593,Kristopher LEASK Scottish Greens,Beverly CLUBLEY Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
594,Kristopher LEASK Scottish Greens,Beverly CLUBLEY Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
595,Leslie MANSON Independent,Leslie SINCLAIR Independent,Kristopher LEASK Scottish Greens,Sandy COWIE Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,skipped,skipped,4
596,Sandy COWIE Independent,Leslie MANSON Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
597,Sandy COWIE Independent,Leslie MANSON Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
598,Sandy COWIE Independent,Leslie MANSON Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
599,Kristopher LEASK Scottish Greens,Beverly CLUBLEY Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
600,Leslie SINCLAIR Independent,Beverly CLUBLEY Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
601,Beverly CLUBLEY Independent,Barbara FOULKES Independent,Leslie MANSON Independent,Sandy COWIE Independent,Leslie SINCLAIR Independent,Cameron WHITTLE Independent,Ivan TAYLOR Independent,skipped,4
602,Leslie SINCLAIR Independent,Beverly CLUBLEY Independent,Barbara FOULKES Independent,Ivan TAYLOR Independent,Cameron WHITTLE Independent,Sandy COWIE Independent,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,4
603,Sandy COWIE Independent,Ivan TAYLOR Independent,Barbara FOULKES Independent,Leslie MANSON Independent,Beverly CLUBLEY Independent,skipped,skipped,skipped,4
604,Beverly CLUBLEY Independent,Sandy COWIE Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
605,Beverly CLUBLEY Independent,Sandy COWIE Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
606,Beverly CLUBLEY Independent,Sandy COWIE Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
607,Beverly CLUBLEY Independent,Sandy COWIE Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,4
