Precinct,Ballot Style,source_file,rank1,rank2,rank3,numSeats,numCands
AD: 33 ED: 006,,2021P4V1_ELE1,James F. Reilly,writein,Alex Amoroso,1,3
AD: 33 ED: 002,,2021P4V1_ELE1,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 006,,2021P4V1_ELE1,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 006,,2021P4V1_ELE1,Alex Amoroso,skipped,skipped,1,3
AD: 33 ED: 005,,2021P4V1_ELE1,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 33 ED: 005,,2021P4V1_ELE1,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 33 ED: 005,,2021P4V1_ELE1,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 33 ED: 075,,2021P4V1_ELE1,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 075,,2021P4V1_ELE1,Alex Amoroso,skipped,skipped,1,3
AD: 33 ED: 002,,2021P4V1_ELE1,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 003,,2021P4V1_ELE1,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 33 ED: 075,,2021P4V1_ELE1,Alex Amoroso,James F. Reilly,writein,1,3
AD: 33 ED: 005,,2021P4V1_ELE1,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 005,,2021P4V1_ELE1,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 33 ED: 003,,2021P4V1_ELE1,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 005,,2021P4V1_ELE1,James F. Reilly,skipped,skipped,1,3
AD: 26 ED: 042,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 26 ED: 042,,2021P4V1_ELE2,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 26 ED: 044,,2021P4V1_ELE2,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 26 ED: 043,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 023,,2021P4V1_ELE2,Alex Amoroso,skipped,skipped,1,3
AD: 26 ED: 042,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 26 ED: 043,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 26 ED: 042,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 26 ED: 042,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 26 ED: 044,,2021P4V1_ELE2,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 26 ED: 040,,2021P4V1_ELE2,James F. Reilly,skipped,skipped,1,3
AD: 26 ED: 042,,2021P4V1_ELE2,James F. Reilly,Alex Amoroso,skipped,1,3
