file,numCands,irv,plurality,plurality_runoff,borda_pm,borda_om_no_uwi,borda_avg_no_uwi,borda_trunc_points_scheme,condorcet,minimax,smith_set,bucklin
american/processed_data/Alaska/Alaska_11082022_HouseDistrict22.csv,3,"['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']"
american/processed_data/Alaska/Alaska_08162022_HouseofRepresentativesSpecial.csv,4,"['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict34.csv,4,"['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict20.csv,5,"['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict21.csv,3,"['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Wolfe, Forrest M.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict35.csv,5,"['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict19.csv,3,"['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict31.csv,4,"['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict25.csv,3,"['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict24.csv,4,"['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict30.csv,4,"['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict18.csv,4,"['Groh, Cliff']","['Nelson, David']","['Groh, Cliff']","['Nelson, David']","['Groh, Cliff']","['Nelson, David']","['Nelson, David']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Nelson, David']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict26.csv,3,"['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict32.csv,4,"['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD40.csv,4,"['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict33.csv,2,"['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict27.csv,4,"['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict40.csv,2,"['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']",['Write-in'],"['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD33.csv,2,"['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""', 'Write-in']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD27.csv,3,"['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict1.csv,3,"['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD26.csv,2,"['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']",['Write-in'],"['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD32.csv,3,"['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD1.csv,4,"['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']"
american/processed_data/Alaska/Alaska_11082022_SenateDistrictA.csv,3,"['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']"
american/processed_data/Alaska/Alaska_11052024_StateSenateJ.csv,3,"['Dunbar, Forrest']","['Dunbar, Forrest']","['Dunbar, Forrest']","['Dunbar, Forrest']","['Dunbar, Forrest']","['Dunbar, Forrest']","['Dunbar, Forrest']","['Dunbar, Forrest']","['Dunbar, Forrest']","['Dunbar, Forrest']","['Dunbar, Forrest']"
american/processed_data/Alaska/Alaska_11052024_StateSenateH.csv,3,"['Claman, Matt']","['Claman, Matt']","['Claman, Matt']","['Claman, Matt']","['Claman, Matt']","['Claman, Matt']","['Claman, Matt']","['Claman, Matt']","['Claman, Matt']","['Claman, Matt']","['Claman, Matt']"
american/processed_data/Alaska/Alaska_11082022_SenateDistrictC.csv,4,"['Stevens, Gary']","['Stevens, Gary']","['Stevens, Gary']","['Stevens, Gary']","['Stevens, Gary']","['Stevens, Gary']","['Stevens, Gary']","['Stevens, Gary']","['Stevens, Gary']","['Stevens, Gary']","['Stevens, Gary']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD3.csv,2,"['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']",['Write-in'],"['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD24.csv,2,"['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']",['Write-in'],"['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD30.csv,3,"['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD18.csv,3,"['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']","['Nelson, David']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict2.csv,3,"['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict3.csv,2,"['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']",['Write-in'],"['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']","['Story, Andrea ""Andi""']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD19.csv,4,"['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD31.csv,3,"['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD25.csv,2,"['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']",['Write-in'],"['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD2.csv,2,"['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']","['Himschoot, Rebecca']"
american/processed_data/Alaska/Alaska_11082022_SenateDistrictB.csv,2,"['Kiehl, Jesse']","['Kiehl, Jesse']","['Kiehl, Jesse']","['Kiehl, Jesse']","['Kiehl, Jesse']",['Write-in'],"['Kiehl, Jesse']","['Kiehl, Jesse']","['Kiehl, Jesse']","['Kiehl, Jesse']","['Kiehl, Jesse']"
american/processed_data/Alaska/Alaska_11082022_GovernorLieutenantGovernor.csv,5,['Dunleavy/Dahlstrom'],['Dunleavy/Dahlstrom'],['Dunleavy/Dahlstrom'],['Dunleavy/Dahlstrom'],['Dunleavy/Dahlstrom'],['Dunleavy/Dahlstrom'],['Dunleavy/Dahlstrom'],['Dunleavy/Dahlstrom'],['Dunleavy/Dahlstrom'],['Dunleavy/Dahlstrom'],['Dunleavy/Dahlstrom']
american/processed_data/Alaska/Alaska_11082022_SenateDistrictQ.csv,4,"['Myers, Robert H. Jr.']","['Myers, Robert H. Jr.']","['Myers, Robert H. Jr.']","['Myers, Robert H. Jr.']","['Myers, Robert H. Jr.']","['Myers, Robert H. Jr.']","['Myers, Robert H. Jr.']","['Myers, Robert H. Jr.']","['Myers, Robert H. Jr.']","['Myers, Robert H. Jr.']","['Myers, Robert H. Jr.']"
american/processed_data/Alaska/Alaska_11082022_SenateDistrictF.csv,3,"['Kaufman, James D.']","['Kaufman, James D.']","['Kaufman, James D.']","['Kaufman, James D.']","['Kaufman, James D.']","['Kaufman, James D.']","['Kaufman, James D.']","['Kaufman, James D.']","['Kaufman, James D.']","['Kaufman, James D.']","['Kaufman, James D.']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD6.csv,4,"['Vance, Sarah L.']","['Vance, Sarah L.']","['Vance, Sarah L.']","['Vance, Sarah L.']","['Johnson, Brent']","['Vance, Sarah L.']","['Vance, Sarah L.']","['Vance, Sarah L.']","['Vance, Sarah L.']","['Vance, Sarah L.']","['Vance, Sarah L.']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD21.csv,3,"['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD35.csv,3,"['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict7.csv,3,"['Ruffridge, Justin']","['Ruffridge, Justin']","['Ruffridge, Justin']","['Ruffridge, Justin']","['Ruffridge, Justin']","['Ruffridge, Justin']","['Ruffridge, Justin']","['Ruffridge, Justin']","['Ruffridge, Justin']","['Ruffridge, Justin']","['Ruffridge, Justin']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict6.csv,4,"['Vance, Sarah L.']","['Vance, Sarah L.']","['Vance, Sarah L.']","['Vance, Sarah L.']","['Flora, Louis A. ""Louie""']","['Vance, Sarah L.']","['Vance, Sarah L.']","['Vance, Sarah L.']","['Vance, Sarah L.']","['Vance, Sarah L.']","['Vance, Sarah L.']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD34.csv,3,"['Tomaszewski, Frank']","['Tomaszewski, Frank']","['Tomaszewski, Frank']","['Tomaszewski, Frank']","['Tomaszewski, Frank']","['Tomaszewski, Frank']","['Tomaszewski, Frank']","['Tomaszewski, Frank']","['Tomaszewski, Frank']","['Tomaszewski, Frank']","['Tomaszewski, Frank']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD20.csv,3,"['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD7.csv,3,"['Ruffridge, Justin M.']","['Ruffridge, Justin M.']","['Ruffridge, Justin M.']","['Ruffridge, Justin M.']","['Ruffridge, Justin M.']","['Ruffridge, Justin M.']","['Ruffridge, Justin M.']","['Ruffridge, Justin M.']","['Ruffridge, Justin M.']","['Ruffridge, Justin M.']","['Ruffridge, Justin M.']"
american/processed_data/Alaska/Alaska_11082022_SenateDistrictG.csv,3,"['Gray-Jackson, Elvi']","['Gray-Jackson, Elvi']","['Gray-Jackson, Elvi']","['Gray-Jackson, Elvi']","['Gray-Jackson, Elvi']","['Gray-Jackson, Elvi']","['Gray-Jackson, Elvi']","['Gray-Jackson, Elvi']","['Gray-Jackson, Elvi']","['Gray-Jackson, Elvi']","['Gray-Jackson, Elvi']"
american/processed_data/Alaska/Alaska_11082022_SenateDistrictP.csv,4,"['Kawasaki, Scott']","['Kawasaki, Scott']","['Kawasaki, Scott']","['Kawasaki, Scott']","['Matherly, Jim']","['Kawasaki, Scott']","['Kawasaki, Scott']","['Kawasaki, Scott']","['Kawasaki, Scott']","['Kawasaki, Scott']","['Kawasaki, Scott']"
american/processed_data/Alaska/Alaska_11052024_StateSenateL.csv,4,"['Merrick, Kelly R.']","['Merrick, Kelly R.']","['Merrick, Kelly R.']","['Merrick, Kelly R.']","['Merrick, Kelly R.']","['Merrick, Kelly R.']","['Merrick, Kelly R.']","['Merrick, Kelly R.']","['Merrick, Kelly R.']","['Merrick, Kelly R.']","['Merrick, Kelly R.']"
american/processed_data/Alaska/Alaska_11052024_StateSenateN.csv,4,"['Yundt, Robert']","['Yundt, Robert']","['Yundt, Robert']","['Yundt, Robert']","['Yundt, Robert']","['Yundt, Robert']","['Yundt, Robert']","['Yundt, Robert']","['Yundt, Robert']","['Yundt, Robert']","['Yundt, Robert']"
american/processed_data/Alaska/Alaska_11082022_SenateDistrictR.csv,4,"['Bishop, Click']","['Bishop, Click']","['Bishop, Click']","['Bishop, Click']","['Bishop, Click']","['Bishop, Click']","['Bishop, Click']","['Bishop, Click']","['Bishop, Click']","['Bishop, Click']","['Bishop, Click']"
american/processed_data/Alaska/Alaska_11082022_SenateDistrictE.csv,4,"['Giessel, Cathy']","['Giessel, Cathy']","['Giessel, Cathy']","['Giessel, Cathy']","['Giessel, Cathy']","['Giessel, Cathy']","['Giessel, Cathy']","['Giessel, Cathy']","['Giessel, Cathy']","['Giessel, Cathy']","['Giessel, Cathy']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD5.csv,3,"['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD36.csv,5,"['Schwanke, Rebecca A.']","['Schwanke, Rebecca A.']","['Schwanke, Rebecca A.']","['Schwanke, Rebecca A.']","['Schwanke, Rebecca A.']","['Schwanke, Rebecca A.']","['Schwanke, Rebecca A.']","['Schwanke, Rebecca A.']","['Schwanke, Rebecca A.']","['Schwanke, Rebecca A.']","['Schwanke, Rebecca A.']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD22.csv,3,"['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']","['Eischeid, Ted J.']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict4.csv,3,"['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict5.csv,3,"['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']","['Stutes, Louise B.']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD23.csv,3,"['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD37.csv,3,"['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']"
american/processed_data/Alaska/Alaska_11052024_StateHouseD4.csv,2,"['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']",['Write-in'],"['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']","['Hannan, Sara']"
