Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,rank4,numSeats,numCands
"Eastpointe, Pct 5",81607,"Eastpointe, Pct 5",Shenita Lloyd,Rob Baker,Tonia Gladney,Michael Jones,2,6
"Eastpointe, Pct 4",81608,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 2",81609,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 5",81610,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Rob Baker,Shenita Lloyd,Tonia Gladney,2,6
"Eastpointe, Pct 2",81611,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Rob Baker,Shenita Lloyd,Michael Jones,2,6
"Eastpointe, Pct 4",81612,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 5",81613,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Sylvia L. Moore,Michael Jones,Shenita Lloyd,2,6
"Eastpointe, Pct 4",81614,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,skipped,2,6
"Eastpointe, Pct 5",81615,"Eastpointe, Pct 5",Shenita Lloyd,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 3",81616,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Rob Baker,Sylvia L. Moore,Michael Jones,2,6
"Eastpointe, Pct 3",81617,"Eastpointe, Pct 3",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 3",81618,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 4",81619,"Eastpointe, Pct 4",Shenita Lloyd,Sylvia L. Moore,skipped,skipped,2,6
"Eastpointe, Pct 3",81620,"Eastpointe, Pct 3",Rob Baker,Tonia Gladney,Sylvia L. Moore,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 3",81621,"Eastpointe, Pct 3",Rob Baker,Cardi DeMonaco Jr.,Sylvia L. Moore,Michael Jones,2,6
"Eastpointe, Pct 5",81622,"Eastpointe, Pct 5",Shenita Lloyd,Michael Jones,Rob Baker,Tonia Gladney,2,6
"Eastpointe, Pct 5",81623,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Michael Jones,Sylvia L. Moore,Rob Baker,2,6
"Eastpointe, Pct 1",81624,"Eastpointe, Pct 1",Rob Baker,Cardi DeMonaco Jr.,Tonia Gladney,Sylvia L. Moore,2,6
"Eastpointe, Pct 1",81625,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 4",81626,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 1",81628,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 3",81629,"Eastpointe, Pct 3",Tonia Gladney,skipped,skipped,skipped,2,6
"Eastpointe, Pct 2",81630,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,Tonia Gladney,2,6
"Eastpointe, Pct 1",81632,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Tonia Gladney,skipped,skipped,2,6
"Eastpointe, Pct 4",81633,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,skipped,2,6
"Eastpointe, Pct 4",81634,"Eastpointe, Pct 4",Shenita Lloyd,skipped,skipped,skipped,2,6
"Eastpointe, Pct 1",81635,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Rob Baker,Sylvia L. Moore,Tonia Gladney,2,6
"Eastpointe, Pct 4",81636,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 1",81637,"Eastpointe, Pct 1",Sylvia L. Moore,Shenita Lloyd,skipped,skipped,2,6
"Eastpointe, Pct 1",81638,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 1",81641,"Eastpointe, Pct 1",Rob Baker,Michael Jones,Sylvia L. Moore,skipped,2,6
"Eastpointe, Pct 4",81642,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,Shenita Lloyd,2,6
"Eastpointe, Pct 3",81643,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Tonia Gladney,Rob Baker,Shenita Lloyd,2,6
"Eastpointe, Pct 3",81644,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 2",81645,"Eastpointe, Pct 2",Sylvia L. Moore,Cardi DeMonaco Jr.,Tonia Gladney,Michael Jones,2,6
"Eastpointe, Pct 2",81646,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,Shenita Lloyd,2,6
"Eastpointe, Pct 2",81647,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Tonia Gladney,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 4",81648,"Eastpointe, Pct 4",Sylvia L. Moore,Rob Baker,Michael Jones,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 5",81649,"Eastpointe, Pct 5",Shenita Lloyd,Michael Jones,Sylvia L. Moore,Tonia Gladney,2,6
"Eastpointe, Pct 2",81650,"Eastpointe, Pct 2",Sylvia L. Moore,Shenita Lloyd,skipped,skipped,2,6
"Eastpointe, Pct 4",81652,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 1",81654,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 4",81655,"Eastpointe, Pct 4",Rob Baker,Cardi DeMonaco Jr.,Tonia Gladney,Michael Jones,2,6
"Eastpointe, Pct 3",81656,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Michael Jones,Rob Baker,Tonia Gladney,2,6
"Eastpointe, Pct 2",81657,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,skipped,2,6
"Eastpointe, Pct 3",81658,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Michael Jones,Sylvia L. Moore,Rob Baker,2,6
"Eastpointe, Pct 1",81659,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 2",81660,"Eastpointe, Pct 2",Tonia Gladney,Shenita Lloyd,Sylvia L. Moore,Michael Jones,2,6
"Eastpointe, Pct 4",81661,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 5",81662,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 2",81664,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Tonia Gladney,Rob Baker,Sylvia L. Moore,2,6
"Eastpointe, Pct 5",81665,"Eastpointe, Pct 5",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 2",81666,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Sylvia L. Moore,Michael Jones,Rob Baker,2,6
"Eastpointe, Pct 3",81667,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 5",81668,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 5",81669,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Sylvia L. Moore,Shenita Lloyd,Rob Baker,2,6
"Eastpointe, Pct 5",81670,"Eastpointe, Pct 5",Shenita Lloyd,Sylvia L. Moore,Michael Jones,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 3",81671,"Eastpointe, Pct 3",Sylvia L. Moore,Rob Baker,Michael Jones,skipped,2,6
"Eastpointe, Pct 2",81673,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 3",81674,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 1",81675,"Eastpointe, Pct 1",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 3",81676,"Eastpointe, Pct 3",Shenita Lloyd,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 1",81677,"Eastpointe, Pct 1",Sylvia L. Moore,Rob Baker,Michael Jones,Tonia Gladney,2,6
"Eastpointe, Pct 2",81678,"Eastpointe, Pct 2",Sylvia L. Moore,Tonia Gladney,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 3",81679,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 3",81680,"Eastpointe, Pct 3",Tonia Gladney,Shenita Lloyd,Sylvia L. Moore,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 3",81681,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Michael Jones,Tonia Gladney,Rob Baker,2,6
"Eastpointe, Pct 1",81682,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 1",81683,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Rob Baker,Tonia Gladney,skipped,2,6
"Eastpointe, Pct 1",81684,"Eastpointe, Pct 1",Rob Baker,Sylvia L. Moore,Cardi DeMonaco Jr.,Tonia Gladney,2,6
"Eastpointe, Pct 2",81685,"Eastpointe, Pct 2",Sylvia L. Moore,Cardi DeMonaco Jr.,Rob Baker,Shenita Lloyd,2,6
"Eastpointe, Pct 4",81686,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Sylvia L. Moore,skipped,skipped,2,6
"Eastpointe, Pct 3",81687,"Eastpointe, Pct 3",Rob Baker,Sylvia L. Moore,Michael Jones,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 2",81688,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 5",81689,"Eastpointe, Pct 5",Rob Baker,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 4",81690,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Tonia Gladney,Sylvia L. Moore,Michael Jones,2,6
"Eastpointe, Pct 1",81691,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 1",81692,"Eastpointe, Pct 1",Rob Baker,Tonia Gladney,Michael Jones,Sylvia L. Moore,2,6
"Eastpointe, Pct 4",81693,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Michael Jones,Shenita Lloyd,Rob Baker,2,6
"Eastpointe, Pct 4",81694,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Shenita Lloyd,Tonia Gladney,skipped,2,6
"Eastpointe, Pct 4",81695,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Shenita Lloyd,Michael Jones,Sylvia L. Moore,2,6
"Eastpointe, Pct 2",81696,"Eastpointe, Pct 2",Shenita Lloyd,Tonia Gladney,Sylvia L. Moore,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 4",81697,"Eastpointe, Pct 4",Sylvia L. Moore,Shenita Lloyd,Rob Baker,skipped,2,6
"Eastpointe, Pct 5",81698,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 3",81699,"Eastpointe, Pct 3",Sylvia L. Moore,Rob Baker,Tonia Gladney,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 4",81700,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,Sylvia L. Moore,2,6
"Eastpointe, Pct 4",81701,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Rob Baker,Tonia Gladney,skipped,2,6
"Eastpointe, Pct 2",81702,"Eastpointe, Pct 2",Rob Baker,Cardi DeMonaco Jr.,Sylvia L. Moore,skipped,2,6
"Eastpointe, Pct 4",81703,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 4",81704,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 3",81705,"Eastpointe, Pct 3",Rob Baker,Cardi DeMonaco Jr.,Michael Jones,skipped,2,6
"Eastpointe, Pct 4",81706,"Eastpointe, Pct 4",Rob Baker,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 5",81707,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Michael Jones,Rob Baker,Shenita Lloyd,2,6
"Eastpointe, Pct 5",81708,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Michael Jones,Rob Baker,Sylvia L. Moore,2,6
"Eastpointe, Pct 1",81709,"Eastpointe, Pct 1",Shenita Lloyd,Michael Jones,Tonia Gladney,Rob Baker,2,6
"Eastpointe, Pct 5",81710,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 3",81711,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Rob Baker,Sylvia L. Moore,Tonia Gladney,2,6
"Eastpointe, Pct 2",81712,"Eastpointe, Pct 2",Shenita Lloyd,Michael Jones,Sylvia L. Moore,Tonia Gladney,2,6
"Eastpointe, Pct 3",81713,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 1",81714,"Eastpointe, Pct 1",Rob Baker,Tonia Gladney,Michael Jones,Sylvia L. Moore,2,6
"Eastpointe, Pct 3",81715,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 1",81716,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Shenita Lloyd,Sylvia L. Moore,Michael Jones,2,6
"Eastpointe, Pct 4",81717,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Tonia Gladney,Rob Baker,skipped,2,6
"Eastpointe, Pct 3",81718,"Eastpointe, Pct 3",Sylvia L. Moore,Cardi DeMonaco Jr.,Tonia Gladney,Shenita Lloyd,2,6
"Eastpointe, Pct 4",81719,"Eastpointe, Pct 4",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 1",81720,"Eastpointe, Pct 1",Shenita Lloyd,Sylvia L. Moore,Tonia Gladney,Michael Jones,2,6
"Eastpointe, Pct 1",81721,"Eastpointe, Pct 1",Sylvia L. Moore,Tonia Gladney,Shenita Lloyd,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 5",81722,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Rob Baker,Sylvia L. Moore,Tonia Gladney,2,6
"Eastpointe, Pct 3",81723,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 2",81724,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 1",81725,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Michael Jones,Rob Baker,Sylvia L. Moore,2,6
"Eastpointe, Pct 2",81726,"Eastpointe, Pct 2",Michael Jones,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 5",81727,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 1",81728,"Eastpointe, Pct 1",Michael Jones,Shenita Lloyd,Rob Baker,Sylvia L. Moore,2,6
"Eastpointe, Pct 3",81729,"Eastpointe, Pct 3",Rob Baker,Sylvia L. Moore,skipped,skipped,2,6
"Eastpointe, Pct 4",81730,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Tonia Gladney,Shenita Lloyd,Michael Jones,2,6
"Eastpointe, Pct 2",81731,"Eastpointe, Pct 2",Michael Jones,Rob Baker,Sylvia L. Moore,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 2",81732,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 3",81733,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 4",81734,"Eastpointe, Pct 4",Sylvia L. Moore,Shenita Lloyd,Tonia Gladney,Michael Jones,2,6
"Eastpointe, Pct 1",81735,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 2",81736,"Eastpointe, Pct 2",Sylvia L. Moore,skipped,skipped,skipped,2,6
"Eastpointe, Pct 5",81737,"Eastpointe, Pct 5",Tonia Gladney,Sylvia L. Moore,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 4",81738,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 4",81739,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 1",81740,"Eastpointe, Pct 1",Michael Jones,Shenita Lloyd,Rob Baker,skipped,2,6
"Eastpointe, Pct 5",81741,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,Shenita Lloyd,2,6
"Eastpointe, Pct 1",81742,"Eastpointe, Pct 1",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 5",81743,"Eastpointe, Pct 5",Rob Baker,Michael Jones,Cardi DeMonaco Jr.,Shenita Lloyd,2,6
"Eastpointe, Pct 4",81744,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 5",81745,"Eastpointe, Pct 5",Rob Baker,Cardi DeMonaco Jr.,Michael Jones,Tonia Gladney,2,6
"Eastpointe, Pct 2",81746,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 2",81747,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Rob Baker,Sylvia L. Moore,Michael Jones,2,6
"Eastpointe, Pct 1",81748,"Eastpointe, Pct 1",Sylvia L. Moore,Cardi DeMonaco Jr.,Rob Baker,skipped,2,6
"Eastpointe, Pct 4",81749,"Eastpointe, Pct 4",Rob Baker,Cardi DeMonaco Jr.,Sylvia L. Moore,Michael Jones,2,6
"Eastpointe, Pct 1",81750,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Sylvia L. Moore,Shenita Lloyd,Michael Jones,2,6
"Eastpointe, Pct 1",81751,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Michael Jones,Rob Baker,Tonia Gladney,2,6
"Eastpointe, Pct 4",81752,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,Shenita Lloyd,2,6
"Eastpointe, Pct 4",81753,"Eastpointe, Pct 4",Rob Baker,Cardi DeMonaco Jr.,Shenita Lloyd,Michael Jones,2,6
"Eastpointe, Pct 3",81754,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 2",81755,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 3",81756,"Eastpointe, Pct 3",Rob Baker,Sylvia L. Moore,Cardi DeMonaco Jr.,Tonia Gladney,2,6
"Eastpointe, Pct 5",81757,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 4",81758,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,Sylvia L. Moore,2,6
"Eastpointe, Pct 5",81759,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 2",81760,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 4",81761,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Michael Jones,Rob Baker,Sylvia L. Moore,2,6
"Eastpointe, Pct 5",81763,"Eastpointe, Pct 5",Sylvia L. Moore,Rob Baker,Cardi DeMonaco Jr.,skipped,2,6
"Eastpointe, Pct 2",81764,"Eastpointe, Pct 2",Shenita Lloyd,Michael Jones,Rob Baker,Sylvia L. Moore,2,6
"Eastpointe, Pct 4",81765,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,Sylvia L. Moore,2,6
"Eastpointe, Pct 1",81766,"Eastpointe, Pct 1",Rob Baker,Tonia Gladney,Michael Jones,Sylvia L. Moore,2,6
"Eastpointe, Pct 3",81767,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Michael Jones,Sylvia L. Moore,Rob Baker,2,6
"Eastpointe, Pct 2",81768,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,skipped,2,6
"Eastpointe, Pct 3",81769,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Rob Baker,Shenita Lloyd,Tonia Gladney,2,6
"Eastpointe, Pct 3",81770,"Eastpointe, Pct 3",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 1",81771,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 5",81772,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Shenita Lloyd,Michael Jones,skipped,2,6
"Eastpointe, Pct 1",81773,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Rob Baker,Michael Jones,Shenita Lloyd,2,6
"Eastpointe, Pct 2",81774,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 2",81775,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 2",81776,"Eastpointe, Pct 2",Tonia Gladney,Sylvia L. Moore,Shenita Lloyd,Michael Jones,2,6
"Eastpointe, Pct 3",81777,"Eastpointe, Pct 3",Shenita Lloyd,Cardi DeMonaco Jr.,Tonia Gladney,Sylvia L. Moore,2,6
"Eastpointe, Pct 4",81778,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,Sylvia L. Moore,skipped,skipped,2,6
"Eastpointe, Pct 1",81779,"Eastpointe, Pct 1",Rob Baker,Cardi DeMonaco Jr.,Sylvia L. Moore,Tonia Gladney,2,6
"Eastpointe, Pct 4",81780,"Eastpointe, Pct 4",Michael Jones,Shenita Lloyd,Rob Baker,skipped,2,6
"Eastpointe, Pct 2",81781,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Sylvia L. Moore,skipped,skipped,2,6
"Eastpointe, Pct 2",81782,"Eastpointe, Pct 2",Rob Baker,Michael Jones,Sylvia L. Moore,Tonia Gladney,2,6
"Eastpointe, Pct 3",81783,"Eastpointe, Pct 3",Sylvia L. Moore,Tonia Gladney,skipped,skipped,2,6
"Eastpointe, Pct 1",81784,"Eastpointe, Pct 1",Rob Baker,Shenita Lloyd,Michael Jones,Tonia Gladney,2,6
"Eastpointe, Pct 3",81785,"Eastpointe, Pct 3",Michael Jones,Shenita Lloyd,skipped,skipped,2,6
"Eastpointe, Pct 1",81786,"Eastpointe, Pct 1",Sylvia L. Moore,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 3",81787,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 5",81788,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Sylvia L. Moore,skipped,skipped,2,6
"Eastpointe, Pct 2",81789,"Eastpointe, Pct 2",Tonia Gladney,Sylvia L. Moore,skipped,skipped,2,6
"Eastpointe, Pct 5",81790,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,Tonia Gladney,2,6
"Eastpointe, Pct 4",81791,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 4",81792,"Eastpointe, Pct 4",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 2",81793,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Michael Jones,Rob Baker,skipped,2,6
"Eastpointe, Pct 5",81794,"Eastpointe, Pct 5",Rob Baker,Cardi DeMonaco Jr.,skipped,skipped,2,6
"Eastpointe, Pct 3",81795,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 5",81796,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Michael Jones,Rob Baker,skipped,2,6
"Eastpointe, Pct 4",81797,"Eastpointe, Pct 4",Tonia Gladney,Michael Jones,Rob Baker,Shenita Lloyd,2,6
"Eastpointe, Pct 5",81798,"Eastpointe, Pct 5",Shenita Lloyd,Michael Jones,Tonia Gladney,Sylvia L. Moore,2,6
"Eastpointe, Pct 4",81799,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 5",81800,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 4",81801,"Eastpointe, Pct 4",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 2",81802,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
