voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
4397,Andy OVENS Scottish Conservative and Unionist,Tim PORTEUS Scottish Green Party,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
4398,Andy OVENS Scottish Conservative and Unionist,Tim PORTEUS Scottish Green Party,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
4399,Andy OVENS Scottish Conservative and Unionist,Tim PORTEUS Scottish Green Party,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
4400,Janis WILSON Scottish National Party - Stronger for Scotland,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,Colin YORKSTON Scottish Labour Party,1
4401,Janis WILSON Scottish National Party - Stronger for Scotland,Tim PORTEUS Scottish Green Party,Colin YORKSTON Scottish Labour Party,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,1
4402,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,Andy OVENS Scottish Conservative and Unionist,skipped,skipped,skipped,1
4403,Calum MILLER Independent,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,skipped,skipped,skipped,1
4404,Calum MILLER Independent,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,skipped,skipped,skipped,1
4405,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Ben MORSE Scottish Liberal Democrats,Tim PORTEUS Scottish Green Party,Colin YORKSTON Scottish Labour Party,Andy OVENS Scottish Conservative and Unionist,1
4406,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Ben MORSE Scottish Liberal Democrats,Tim PORTEUS Scottish Green Party,Colin YORKSTON Scottish Labour Party,Andy OVENS Scottish Conservative and Unionist,1
4407,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Ben MORSE Scottish Liberal Democrats,Tim PORTEUS Scottish Green Party,Colin YORKSTON Scottish Labour Party,Andy OVENS Scottish Conservative and Unionist,1
4408,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,Colin YORKSTON Scottish Labour Party,Andy OVENS Scottish Conservative and Unionist,Janis WILSON Scottish National Party - Stronger for Scotland,1
4409,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4410,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4411,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4412,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4413,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4414,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4415,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4416,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4417,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4418,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4419,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4420,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4421,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4422,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4423,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4424,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4425,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4426,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4427,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4428,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4429,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
4430,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,skipped,skipped,1
