voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
101,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
102,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
103,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
104,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
105,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
106,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
107,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
108,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
109,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
110,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
111,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
112,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
113,Lab,(Ind) Archibald ROBERTSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
114,Lab,(Ind) Archibald ROBERTSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
115,Lab,(Ind) Archibald ROBERTSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
116,Lab,(Ind) Archibald ROBERTSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
117,Lab,(Ind) Archibald ROBERTSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
118,Lab,(Ind) Archibald ROBERTSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
119,Lab,(Ind) Archibald ROBERTSON,(Ind) Douglas James THOMSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
120,Lab,(Ind) Archibald ROBERTSON,(Ind) Douglas James THOMSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
121,Lab,(Ind) Archibald ROBERTSON,(Ind) Douglas James THOMSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
122,Lab,(Ind) Archibald ROBERTSON,(Ind) Douglas James THOMSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
123,Lab,(Ind) Archibald ROBERTSON,(Ind) Douglas James THOMSON,Lab,(Ind) David Page HENDERSON,skipped,skipped,skipped,skipped,skipped,skipped,3,11
124,Lab,(Ind) Archibald ROBERTSON,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
125,Lab,(Ind) Archibald ROBERTSON,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
126,Lab,(Ind) Archibald ROBERTSON,SNP,SNP,Lab,(Ind) David Page HENDERSON,Con,(Ind) Douglas James THOMSON,Grn,NF,skipped,3,11
127,Lab,(Ind) Archibald ROBERTSON,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
128,Lab,(Ind) Archibald ROBERTSON,LD,(Ind) David Page HENDERSON,Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,11
129,Lab,(Ind) Archibald ROBERTSON,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
130,Lab,(Ind) Archibald ROBERTSON,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
131,Lab,(Ind) Archibald ROBERTSON,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
132,Lab,(Ind) Archibald ROBERTSON,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
133,Lab,(Ind) Archibald ROBERTSON,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
134,Lab,(Ind) Archibald ROBERTSON,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
135,Lab,(Ind) Archibald ROBERTSON,Lab,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
136,Lab,(Ind) Archibald ROBERTSON,Lab,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
137,Lab,(Ind) Archibald ROBERTSON,(Ind) David Page HENDERSON,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
138,Lab,(Ind) Archibald ROBERTSON,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
139,Lab,(Ind) Archibald ROBERTSON,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
140,Lab,(Ind) Archibald ROBERTSON,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
141,Lab,(Ind) Archibald ROBERTSON,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
142,Lab,(Ind) Archibald ROBERTSON,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
143,Lab,(Ind) Archibald ROBERTSON,NF,(Ind) Douglas James THOMSON,Grn,(Ind) David Page HENDERSON,Con,LD,Lab,SNP,SNP,3,11
144,Lab,(Ind) Douglas James THOMSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
145,Lab,(Ind) Douglas James THOMSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
146,Lab,(Ind) Douglas James THOMSON,(Ind) Archibald ROBERTSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
147,Lab,(Ind) Douglas James THOMSON,(Ind) Archibald ROBERTSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
148,Lab,(Ind) Douglas James THOMSON,SNP,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,11
149,Lab,(Ind) Douglas James THOMSON,Lab,(Ind) David Page HENDERSON,Grn,skipped,skipped,skipped,skipped,skipped,skipped,3,11
150,Lab,(Ind) Douglas James THOMSON,(Ind) David Page HENDERSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
151,Lab,(Ind) Douglas James THOMSON,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
152,Lab,(Ind) Douglas James THOMSON,Grn,(Ind) Archibald ROBERTSON,Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,11
153,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
154,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
155,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
156,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
157,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
158,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
159,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
160,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
161,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
162,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
163,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
164,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
165,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
166,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
167,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
168,Lab,SNP,(Ind) Archibald ROBERTSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
169,Lab,SNP,(Ind) Archibald ROBERTSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
170,Lab,SNP,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
171,Lab,SNP,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
172,Lab,SNP,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
173,Lab,SNP,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
174,Lab,SNP,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
175,Lab,SNP,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
176,Lab,SNP,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
177,Lab,SNP,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
178,Lab,SNP,LD,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
179,Lab,SNP,LD,Lab,Con,(Ind) David Page HENDERSON,Grn,SNP,NF,(Ind) Archibald ROBERTSON,(Ind) Douglas James THOMSON,3,11
180,Lab,SNP,LD,SNP,(Ind) Archibald ROBERTSON,(Ind) David Page HENDERSON,Grn,skipped,skipped,skipped,skipped,3,11
181,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
182,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
183,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
184,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
185,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
186,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
187,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
188,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
189,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
190,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
191,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
192,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
193,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
