ballotID,ward,rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
1142,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
1942,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
1943,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
2021,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
2022,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
2029,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
2156,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
2628,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
3289,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
3487,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
4108,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
4436,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
4472,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
4716,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
4732,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
4736,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
4744,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
4799,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
4831,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
5042,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
5054,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
5574,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
5581,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
4753,600,Mike Moore,Jason Small,writein,Ambroise Agosse,skipped,5,1
31,600,Raju Charles,Mike Moore,Ambroise Agosse,Jason Small,skipped,5,1
62,600,Raju Charles,Mike Moore,Ambroise Agosse,Jason Small,skipped,5,1
1430,600,Raju Charles,Mike Moore,Ambroise Agosse,Jason Small,skipped,5,1
4268,600,Raju Charles,Mike Moore,Ambroise Agosse,Jason Small,skipped,5,1
474,600,Mike Moore,Raju Charles,Ambroise Agosse,Jason Small,skipped,5,1
4007,600,Mike Moore,Raju Charles,Ambroise Agosse,Jason Small,skipped,5,1
4008,600,Mike Moore,Raju Charles,Ambroise Agosse,Jason Small,skipped,5,1
5014,600,Mike Moore,Raju Charles,Ambroise Agosse,Jason Small,skipped,5,1
5290,600,Mike Moore,Raju Charles,Ambroise Agosse,Jason Small,skipped,5,1
66,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,5,1
148,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,5,1
193,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,5,1
194,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,5,1
226,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,5,1
531,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,5,1
974,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,5,1
1091,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,5,1
1890,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,5,1
2157,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,5,1
2920,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,5,1
126,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,5,1
206,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,5,1
2996,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,5,1
3015,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,5,1
4402,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,5,1
4750,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,5,1
4760,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,5,1
5030,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,5,1
582,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,5,1
593,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,5,1
1274,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,5,1
1296,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,5,1
3444,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,5,1
3547,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,5,1
4475,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,5,1
4546,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,5,1
4692,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,5,1
4712,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,5,1
5614,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,5,1
34,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,5,1
63,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,5,1
579,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,5,1
806,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,5,1
2243,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,5,1
2869,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,5,1
3126,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,5,1
4225,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,5,1
5071,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,5,1
5724,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,5,1
6249,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,5,1
6250,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,5,1
2467,600,Ambroise Agosse,skipped,skipped,skipped,skipped,5,1
6335,600,Raju Charles,Jason Small,Ambroise Agosse,Mike Moore,skipped,5,1
788,600,Jason Small,Raju Charles,Ambroise Agosse,Mike Moore,skipped,5,1
1421,600,Jason Small,Raju Charles,Ambroise Agosse,Mike Moore,skipped,5,1
2504,600,Jason Small,Raju Charles,Ambroise Agosse,Mike Moore,skipped,5,1
4771,600,Jason Small,Raju Charles,Ambroise Agosse,Mike Moore,skipped,5,1
5488,600,Jason Small,Raju Charles,Ambroise Agosse,Mike Moore,skipped,5,1
5489,600,Jason Small,Raju Charles,Ambroise Agosse,Mike Moore,skipped,5,1
2592,600,Raju Charles,writein,Ambroise Agosse,Mike Moore,skipped,5,1
178,600,Mike Moore,Ambroise Agosse,Jason Small,skipped,skipped,5,1
14,600,Raju Charles,Ambroise Agosse,Jason Small,Mike Moore,skipped,5,1
1422,600,Raju Charles,Ambroise Agosse,Jason Small,Mike Moore,skipped,5,1
2451,600,Raju Charles,Ambroise Agosse,Jason Small,Mike Moore,skipped,5,1
2922,600,Raju Charles,Ambroise Agosse,Jason Small,Mike Moore,skipped,5,1
2924,600,Raju Charles,Ambroise Agosse,Jason Small,Mike Moore,skipped,5,1
5073,600,Raju Charles,Ambroise Agosse,Jason Small,Mike Moore,skipped,5,1
82,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,skipped,5,1
3398,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,skipped,5,1
4009,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,skipped,5,1
4749,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,skipped,5,1
5027,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,skipped,5,1
5068,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,skipped,5,1
2719,600,Jason Small,Mike Moore,skipped,skipped,skipped,5,1
33,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
795,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
1061,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
1847,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
1848,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
2588,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
2681,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
2864,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
4444,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
4579,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
4774,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
4785,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
5010,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
5013,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
5032,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
5045,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
5046,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
5051,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,5,1
2698,600,Ambroise Agosse,Jason Small,Raju Charles,Mike Moore,skipped,5,1
2825,600,Ambroise Agosse,Jason Small,Raju Charles,Mike Moore,skipped,5,1
4693,600,Ambroise Agosse,Jason Small,Raju Charles,Mike Moore,skipped,5,1
4726,600,Ambroise Agosse,Jason Small,Raju Charles,Mike Moore,skipped,5,1
3555,600,Mike Moore,Jason Small,skipped,skipped,skipped,5,1
1,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
55,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
125,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
228,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
796,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
1060,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
1177,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
1278,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
1498,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
1721,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
1842,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
2444,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
2849,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
3313,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
3316,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
3850,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
4336,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
4368,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
4426,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
4737,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
4777,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
4778,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
4798,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
5048,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
5061,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
5062,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
5477,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
5919,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
6433,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,5,1
691,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
879,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
1051,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
1154,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
1367,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
1770,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
1771,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
1849,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
1880,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
1904,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
1974,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
1995,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
2094,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
2095,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
2165,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
2219,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
2220,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
2391,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
2974,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
3100,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
3281,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
3324,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
3489,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
3532,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
4284,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
4500,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
4649,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
4730,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
4741,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
4761,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
4776,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
4801,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
4824,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
4826,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
5049,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
5797,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
5668,600,Jason Small,Ambroise Agosse,Raju Charles,skipped,skipped,5,1
365,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,5,1
467,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,5,1
1030,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,5,1
1957,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,5,1
2246,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,5,1
2268,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,5,1
4654,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,5,1
4713,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,5,1
5378,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,5,1
917,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,5,1
1071,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,5,1
1078,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,5,1
3000,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,5,1
3358,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,5,1
4092,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,5,1
4538,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,5,1
444,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
510,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
1769,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
1922,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
2485,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
2677,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
3019,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
3549,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
3697,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
3704,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
4521,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
4547,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
4748,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
4808,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
4823,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
5031,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
6333,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,5,1
790,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,5,1
1224,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,5,1
1846,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,5,1
2332,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,5,1
2598,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,5,1
3216,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,5,1
3219,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,5,1
4456,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,5,1
4746,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,5,1
5813,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,5,1
5864,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,5,1
6074,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,5,1
2733,600,Ambroise Agosse,Raju Charles,Mike Moore,writein,skipped,5,1
2868,600,Raju Charles,Jason Small,Mike Moore,writein,skipped,5,1
2626,600,Ambroise Agosse,skipped,skipped,skipped,skipped,5,1
3094,600,Mike Moore,Jason Small,Ambroise Agosse,skipped,skipped,5,1
4152,600,Mike Moore,Jason Small,Ambroise Agosse,skipped,skipped,5,1
6311,600,Raju Charles,Jason Small,Ambroise Agosse,skipped,skipped,5,1
637,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,5,1
1808,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,5,1
1825,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,5,1
1864,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,5,1
2209,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,5,1
4013,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,5,1
4014,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,5,1
4231,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,5,1
4409,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,5,1
4470,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,5,1
5065,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,5,1
6310,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,5,1
958,600,Jason Small,Raju Charles,Ambroise Agosse,skipped,skipped,5,1
2661,600,Mike Moore,Raju Charles,Ambroise Agosse,skipped,skipped,5,1
4474,600,Mike Moore,Raju Charles,Ambroise Agosse,skipped,skipped,5,1
562,600,Mike Moore,Ambroise Agosse,Jason Small,skipped,skipped,5,1
1907,600,Mike Moore,Ambroise Agosse,Jason Small,skipped,skipped,5,1
3186,600,Mike Moore,Ambroise Agosse,Jason Small,skipped,skipped,5,1
6429,600,Mike Moore,Ambroise Agosse,Jason Small,skipped,skipped,5,1
789,600,Ambroise Agosse,Mike Moore,Jason Small,skipped,skipped,5,1
1056,600,Raju Charles,Mike Moore,Jason Small,skipped,skipped,5,1
3453,600,Raju Charles,Mike Moore,Jason Small,skipped,skipped,5,1
4501,600,Ambroise Agosse,Raju Charles,Jason Small,skipped,skipped,5,1
2743,600,Mike Moore,Raju Charles,Jason Small,skipped,skipped,5,1
4688,600,Mike Moore,Raju Charles,Jason Small,skipped,skipped,5,1
476,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,5,1
800,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,5,1
1038,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,5,1
2164,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,5,1
4432,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,5,1
4443,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,5,1
5281,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,5,1
1888,600,Raju Charles,Ambroise Agosse,Mike Moore,skipped,skipped,5,1
