voter_id,rank1,rank2,rank3,num_positions
246,Alistair Mason,Glen Reynolds,Iain Taylor,1
247,Alistair Mason,Glen Reynolds,Iain Taylor,1
248,Alistair Mason,Glen Reynolds,Iain Taylor,1
249,Alistair Mason,Glen Reynolds,Iain Taylor,1
250,Alistair Mason,Glen Reynolds,Iain Taylor,1
251,Alistair Mason,Glen Reynolds,Iain Taylor,1
252,Alistair Mason,Glen Reynolds,Iain Taylor,1
253,Alistair Mason,Glen Reynolds,Iain Taylor,1
254,Alistair Mason,Glen Reynolds,Iain Taylor,1
255,Alistair Mason,Glen Reynolds,Iain Taylor,1
256,Alistair Mason,Glen Reynolds,Iain Taylor,1
257,Alistair Mason,Glen Reynolds,Iain Taylor,1
258,Alistair Mason,Glen Reynolds,Iain Taylor,1
259,Alistair Mason,Glen Reynolds,Iain Taylor,1
260,Alistair Mason,Glen Reynolds,Iain Taylor,1
261,Alistair Mason,Glen Reynolds,Iain Taylor,1
262,Alistair Mason,Glen Reynolds,Iain Taylor,1
263,Alistair Mason,Glen Reynolds,Iain Taylor,1
264,Alistair Mason,Glen Reynolds,Iain Taylor,1
265,Alistair Mason,Glen Reynolds,Iain Taylor,1
266,Alistair Mason,Glen Reynolds,Iain Taylor,1
267,Alistair Mason,Glen Reynolds,Iain Taylor,1
268,Alistair Mason,Glen Reynolds,Iain Taylor,1
269,Alistair Mason,Glen Reynolds,Iain Taylor,1
270,Alistair Mason,Glen Reynolds,Iain Taylor,1
271,Alistair Mason,Glen Reynolds,Iain Taylor,1
272,Alistair Mason,Glen Reynolds,Iain Taylor,1
273,Alistair Mason,Glen Reynolds,Iain Taylor,1
274,Alistair Mason,Glen Reynolds,Iain Taylor,1
275,Alistair Mason,Glen Reynolds,Iain Taylor,1
276,Alistair Mason,Glen Reynolds,Iain Taylor,1
277,Alistair Mason,Glen Reynolds,Iain Taylor,1
278,Alistair Mason,Glen Reynolds,Iain Taylor,1
279,Alistair Mason,Glen Reynolds,Iain Taylor,1
280,Alistair Mason,Glen Reynolds,Iain Taylor,1
281,Alistair Mason,Glen Reynolds,Iain Taylor,1
282,Alistair Mason,Glen Reynolds,Iain Taylor,1
283,Alistair Mason,Glen Reynolds,Iain Taylor,1
284,Alistair Mason,Glen Reynolds,Iain Taylor,1
285,Alistair Mason,Glen Reynolds,Iain Taylor,1
286,Alistair Mason,Glen Reynolds,Iain Taylor,1
287,Alistair Mason,Glen Reynolds,Iain Taylor,1
288,Alistair Mason,Glen Reynolds,Iain Taylor,1
289,Alistair Mason,Glen Reynolds,Iain Taylor,1
290,Alistair Mason,Glen Reynolds,Iain Taylor,1
291,Alistair Mason,Glen Reynolds,Iain Taylor,1
292,Alistair Mason,Glen Reynolds,Iain Taylor,1
293,Alistair Mason,Glen Reynolds,Iain Taylor,1
294,Alistair Mason,Glen Reynolds,Iain Taylor,1
295,Alistair Mason,Glen Reynolds,Iain Taylor,1
296,Alistair Mason,Glen Reynolds,Iain Taylor,1
297,Alistair Mason,Glen Reynolds,Iain Taylor,1
298,Alistair Mason,Glen Reynolds,Iain Taylor,1
299,Alistair Mason,Glen Reynolds,Iain Taylor,1
300,Alistair Mason,Glen Reynolds,Iain Taylor,1
301,Alistair Mason,Glen Reynolds,Iain Taylor,1
302,Alistair Mason,Glen Reynolds,Iain Taylor,1
303,Alistair Mason,Glen Reynolds,Iain Taylor,1
304,Alistair Mason,Glen Reynolds,Iain Taylor,1
305,Alistair Mason,Glen Reynolds,Iain Taylor,1
306,Alistair Mason,Glen Reynolds,Iain Taylor,1
307,Alistair Mason,Glen Reynolds,Iain Taylor,1
308,Alistair Mason,Glen Reynolds,Iain Taylor,1
309,Alistair Mason,Glen Reynolds,Iain Taylor,1
310,Alistair Mason,Glen Reynolds,Iain Taylor,1
311,Alistair Mason,Glen Reynolds,Iain Taylor,1
312,Alistair Mason,Glen Reynolds,Iain Taylor,1
313,Alistair Mason,Glen Reynolds,Iain Taylor,1
314,Alistair Mason,Glen Reynolds,Iain Taylor,1
315,Alistair Mason,Glen Reynolds,Iain Taylor,1
316,Alistair Mason,Glen Reynolds,Iain Taylor,1
317,Alistair Mason,Glen Reynolds,Iain Taylor,1
318,Alistair Mason,Iain Taylor,skipped,1
319,Alistair Mason,Iain Taylor,skipped,1
320,Alistair Mason,Iain Taylor,skipped,1
321,Alistair Mason,Iain Taylor,skipped,1
322,Alistair Mason,Iain Taylor,skipped,1
323,Alistair Mason,Iain Taylor,skipped,1
324,Alistair Mason,Iain Taylor,skipped,1
325,Alistair Mason,Iain Taylor,skipped,1
326,Alistair Mason,Iain Taylor,skipped,1
327,Alistair Mason,Iain Taylor,skipped,1
328,Alistair Mason,Iain Taylor,skipped,1
329,Alistair Mason,Iain Taylor,skipped,1
330,Alistair Mason,Iain Taylor,skipped,1
331,Alistair Mason,Iain Taylor,skipped,1
332,Alistair Mason,Iain Taylor,skipped,1
333,Alistair Mason,Iain Taylor,skipped,1
334,Alistair Mason,Iain Taylor,skipped,1
335,Alistair Mason,Iain Taylor,skipped,1
336,Alistair Mason,Iain Taylor,skipped,1
337,Alistair Mason,Iain Taylor,skipped,1
338,Alistair Mason,Iain Taylor,skipped,1
339,Alistair Mason,Iain Taylor,skipped,1
340,Alistair Mason,Iain Taylor,skipped,1
341,Alistair Mason,Iain Taylor,skipped,1
342,Alistair Mason,Iain Taylor,skipped,1
343,Alistair Mason,Iain Taylor,skipped,1
344,Alistair Mason,Iain Taylor,skipped,1
345,Alistair Mason,Iain Taylor,skipped,1
346,Alistair Mason,Iain Taylor,skipped,1
347,Alistair Mason,Iain Taylor,skipped,1
348,Alistair Mason,Iain Taylor,skipped,1
349,Alistair Mason,Iain Taylor,skipped,1
350,Alistair Mason,Iain Taylor,skipped,1
351,Alistair Mason,Iain Taylor,skipped,1
352,Alistair Mason,Iain Taylor,skipped,1
353,Alistair Mason,Iain Taylor,skipped,1
354,Alistair Mason,Iain Taylor,skipped,1
355,Alistair Mason,Iain Taylor,skipped,1
356,Alistair Mason,Iain Taylor,skipped,1
357,Alistair Mason,Iain Taylor,skipped,1
358,Alistair Mason,Iain Taylor,skipped,1
359,Alistair Mason,Iain Taylor,skipped,1
360,Alistair Mason,Iain Taylor,skipped,1
361,Alistair Mason,Iain Taylor,skipped,1
362,Alistair Mason,Iain Taylor,skipped,1
363,Alistair Mason,Iain Taylor,skipped,1
364,Alistair Mason,Iain Taylor,skipped,1
365,Alistair Mason,Iain Taylor,skipped,1
366,Alistair Mason,Iain Taylor,skipped,1
367,Alistair Mason,Iain Taylor,skipped,1
368,Alistair Mason,Iain Taylor,skipped,1
369,Alistair Mason,Iain Taylor,Glen Reynolds,1
370,Alistair Mason,Iain Taylor,Glen Reynolds,1
371,Alistair Mason,Iain Taylor,Glen Reynolds,1
372,Alistair Mason,Iain Taylor,Glen Reynolds,1
