voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
4984,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,skipped,4
4985,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,skipped,4
4986,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Robin LAWSON Scottish Conservative and Unionist,skipped,4
4987,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Robin LAWSON Scottish Conservative and Unionist,skipped,4
4988,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Robin LAWSON Scottish Conservative and Unionist,skipped,4
4989,Jane Ann LISTON Scottish Liberal Democrats,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Robin LAWSON Scottish Conservative and Unionist,Al CLARK Scottish Liberal Democrats,4
4990,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Rosalind GARTON Scottish Labour Party,Robin LAWSON Scottish Conservative and Unionist,Jane Ann LISTON Scottish Liberal Democrats,skipped,skipped,4
4991,Ann VERNER Scottish National Party (SNP),Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Rosalind GARTON Scottish Labour Party,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,4
4992,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Jane Ann LISTON Scottish Liberal Democrats,skipped,skipped,skipped,4
4993,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Jane Ann LISTON Scottish Liberal Democrats,skipped,skipped,skipped,4
