voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
1394,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1395,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1396,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1397,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1398,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1399,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1400,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1401,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1402,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1403,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1404,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1405,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1406,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1407,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1408,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1409,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1410,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1411,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1412,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1413,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1414,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
