voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
56,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Libby FOX Scottish Conservative and Unionist,3
57,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Libby FOX Scottish Conservative and Unionist,3
58,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Libby FOX Scottish Conservative and Unionist,3
59,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Libby FOX Scottish Conservative and Unionist,3
60,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Libby FOX Scottish Conservative and Unionist,3
61,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Libby FOX Scottish Conservative and Unionist,3
62,Libby FOX Scottish Conservative and Unionist,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Alex MCRAE Scottish Greens - Think Global Act Local,skipped,skipped,skipped,3
63,Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,Alex MCRAE Scottish Greens - Think Global Act Local,Andrea COWAN Scottish National Party (SNP),Janine CALIKES Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,Gloria ADEBO Scottish Liberal Democrats,3
64,Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,Alex MCRAE Scottish Greens - Think Global Act Local,Andrea COWAN Scottish National Party (SNP),Janine CALIKES Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,Gloria ADEBO Scottish Liberal Democrats,3
65,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Martin Patrick LENNON Scottish Labour Party,Alex MCRAE Scottish Greens - Think Global Act Local,Jack David MCGINTY Scottish Labour Party,Libby FOX Scottish Conservative and Unionist,Gloria ADEBO Scottish Liberal Democrats,3
66,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Jack David MCGINTY Scottish Labour Party,skipped,skipped,skipped,skipped,3
67,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Jack David MCGINTY Scottish Labour Party,skipped,skipped,skipped,skipped,3
68,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Jack David MCGINTY Scottish Labour Party,skipped,skipped,skipped,skipped,3
69,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Jack David MCGINTY Scottish Labour Party,skipped,skipped,skipped,skipped,3
70,Gloria ADEBO Scottish Liberal Democrats,Martin Patrick LENNON Scottish Labour Party,Janine CALIKES Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
71,Gloria ADEBO Scottish Liberal Democrats,Martin Patrick LENNON Scottish Labour Party,Janine CALIKES Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
72,Gloria ADEBO Scottish Liberal Democrats,Martin Patrick LENNON Scottish Labour Party,Janine CALIKES Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
73,Gloria ADEBO Scottish Liberal Democrats,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,3
74,Gloria ADEBO Scottish Liberal Democrats,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,3
75,Gloria ADEBO Scottish Liberal Democrats,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,3
76,Gloria ADEBO Scottish Liberal Democrats,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,3
77,Gloria ADEBO Scottish Liberal Democrats,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,3
78,Gloria ADEBO Scottish Liberal Democrats,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,3
79,Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Andrea COWAN Scottish National Party (SNP),skipped,skipped,skipped,3
80,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Alex MCRAE Scottish Greens - Think Global Act Local,Gloria ADEBO Scottish Liberal Democrats,Libby FOX Scottish Conservative and Unionist,Andrea COWAN Scottish National Party (SNP),Janine CALIKES Scottish National Party (SNP),3
81,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Alex MCRAE Scottish Greens - Think Global Act Local,Gloria ADEBO Scottish Liberal Democrats,Libby FOX Scottish Conservative and Unionist,Andrea COWAN Scottish National Party (SNP),Janine CALIKES Scottish National Party (SNP),3
82,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,3
83,Martin Patrick LENNON Scottish Labour Party,Andrea COWAN Scottish National Party (SNP),Jack David MCGINTY Scottish Labour Party,Janine CALIKES Scottish National Party (SNP),Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,skipped,3
84,Libby FOX Scottish Conservative and Unionist,Gloria ADEBO Scottish Liberal Democrats,Martin Patrick LENNON Scottish Labour Party,Andrea COWAN Scottish National Party (SNP),skipped,skipped,skipped,3
85,Martin Patrick LENNON Scottish Labour Party,Alex MCRAE Scottish Greens - Think Global Act Local,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Libby FOX Scottish Conservative and Unionist,Andrea COWAN Scottish National Party (SNP),Janine CALIKES Scottish National Party (SNP),3
86,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
87,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
88,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
89,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
90,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
