voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
3878,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3879,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3880,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3881,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3882,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3883,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3884,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3885,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3886,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3887,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3888,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3889,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3890,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3891,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3892,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3893,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3894,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3895,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3896,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3897,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3898,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3899,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3900,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3901,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3902,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3903,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3904,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3905,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3906,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3907,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3908,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3909,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3910,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3911,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3912,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3913,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3914,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3915,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3916,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3917,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3918,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3919,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3920,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3921,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3922,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Jamie BRYANT Alba Party,Marion BLACK Scottish Green Party,Mark WELLS Scottish Conservative and Unionist,3
3923,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Jamie BRYANT Alba Party,Marion BLACK Scottish Green Party,Mark WELLS Scottish Conservative and Unionist,3
3924,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Jamie BRYANT Alba Party,Marion BLACK Scottish Green Party,Mark WELLS Scottish Conservative and Unionist,3
3925,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Jamie BRYANT Alba Party,Marion BLACK Scottish Green Party,Mark WELLS Scottish Conservative and Unionist,3
3926,Colin John CASSIDY Scottish National Party (SNP),Karen Mary GREEN Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Mark WELLS Scottish Conservative and Unionist,skipped,skipped,3
3927,Karen Mary GREEN Scottish National Party (SNP),Marion BLACK Scottish Green Party,Stephen CURRAN Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),Margot RUSSELL Scottish Labour Party,skipped,skipped,3
3928,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),Mark WELLS Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
3929,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),Mark WELLS Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
3930,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Jamie BRYANT Alba Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,3
3931,Colin John CASSIDY Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,skipped,skipped,skipped,skipped,3
3932,Colin John CASSIDY Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,skipped,skipped,skipped,skipped,3
3933,Colin John CASSIDY Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,skipped,skipped,skipped,skipped,3
3934,Colin John CASSIDY Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,skipped,skipped,skipped,skipped,3
3935,Colin John CASSIDY Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,skipped,skipped,skipped,skipped,3
3936,Colin John CASSIDY Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,skipped,skipped,skipped,skipped,3
3937,Colin John CASSIDY Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,skipped,skipped,skipped,skipped,3
3938,Colin John CASSIDY Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,skipped,skipped,skipped,skipped,3
3939,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Stephen CURRAN Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),Margot RUSSELL Scottish Labour Party,Jamie BRYANT Alba Party,Mark WELLS Scottish Conservative and Unionist,3
3940,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3941,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3942,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3943,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3944,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3945,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3946,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3947,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3948,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3949,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3950,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3951,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3952,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3953,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3954,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3955,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3956,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3957,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3958,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3959,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
3960,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,3
