voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,num_positions
48,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Jim LEISHMAN Scottish Labour Party,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Garry Kirwin HALDANE Scottish Labour Party,Leanne TERVIT Alba Party for independence,Lewis CAMPBELL Scottish Greens - Think Global Act Local,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Malcolm MACAULAY Scottish Conservative and Unionist,4
49,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,skipped,skipped,skipped,4
50,Jim LEISHMAN Scottish Labour Party,Garry Kirwin HALDANE Scottish Labour Party,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),skipped,skipped,skipped,4
51,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Garry Kirwin HALDANE Scottish Labour Party,skipped,skipped,skipped,skipped,4
52,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Jim LEISHMAN Scottish Labour Party,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,skipped,skipped,skipped,skipped,4
53,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Garry Kirwin HALDANE Scottish Labour Party,Aude BOUBAKER-CALDER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,4
54,Jim LEISHMAN Scottish Labour Party,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
55,Jim LEISHMAN Scottish Labour Party,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
56,Jim LEISHMAN Scottish Labour Party,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
57,Jim LEISHMAN Scottish Labour Party,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
58,Jim LEISHMAN Scottish Labour Party,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
59,Jim LEISHMAN Scottish Labour Party,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
60,Malcolm MACAULAY Scottish Conservative and Unionist,Jim LEISHMAN Scottish Labour Party,Jean HALL MUIR Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
61,Jean HALL MUIR Scottish National Party (SNP),Jim LEISHMAN Scottish Labour Party,Derek Gareth GLEN Scottish National Party (SNP),Garry Kirwin HALDANE Scottish Labour Party,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Leanne TERVIT Alba Party for independence,Malcolm MACAULAY Scottish Conservative and Unionist,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",4
62,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Jim LEISHMAN Scottish Labour Party,Malcolm MACAULAY Scottish Conservative and Unionist,Garry Kirwin HALDANE Scottish Labour Party,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Lewis CAMPBELL Scottish Greens - Think Global Act Local,skipped,skipped,skipped,4
