,file,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,numCands,plurality,IRV,top-two,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,smith
23,fabd136b5d.csv,['2'],['2'],['2'],6,['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],[']'],"['5', '1']",['2']
24,fab11dc966.csv,['1'],['1'],['1'],4,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],[']'],['1'],['1']
25,faaf9bfe12.csv,['14'],['14'],['14'],15,['14'],['14'],['14'],['14'],['14'],['14'],['14'],['14'],['14'],['14'],[']'],['14'],['14']
26,fa88a77b71.csv,['30'],['30'],['30'],31,['30'],['30'],['30'],['30'],['30'],['30'],['30'],['30'],['30'],['30'],['['],['1'],['30']
27,fa36f3929d.csv,['26'],['26'],['26'],27,['26'],['26'],['26'],['26'],['26'],['26'],['26'],['26'],['26'],['26'],['2'],['26'],['26']
28,fa05d11532.csv,['18'],['18'],['18'],19,['18'],['18'],['18'],['18'],['18'],['18'],['18'],['18'],['18'],['18'],[']'],['18'],['18']
29,f99a6d7f63.csv,['2'],['2'],['2'],6,['4'],['4'],['4'],['2'],[],['4'],['2'],['4'],['4'],['4'],"['""']",['5'],"['1', '2', '4']"
30,f97d0d799b.csv,['1'],['1'],['1'],5,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],[']'],['4'],['1']
31,f97c8bc045.csv,['8'],['8'],['8'],9,['3'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],"[""'""]",['8'],['8']
32,f9230266b2.csv,['11'],['11'],['11'],12,['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],"[""'""]",['1'],['11']
33,f8e7890254.csv,['9'],['9'],['9'],10,['9'],['9'],['9'],['9'],['9'],['9'],['9'],['9'],['9'],['9'],"[""'""]",['9'],['9']
34,f8d73b1e02.csv,['5'],['5'],['5'],6,['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],"[""'""]","['5', '1']",['5']
35,f8d520375a.csv,['1'],['1'],['1'],6,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],"[""'""]","['5', '1']",['1']
36,f8ac3ad836.csv,['5'],['5'],['5'],6,['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],"[',']","['5', '1']",['5']
37,f8827e551e.csv,['4'],['4'],['4'],6,['2'],['2'],['2'],['4'],[],"['2', '4']",['2'],['2'],"['2', '4']",['2'],[']'],"['5', '2']","['5', '2', '4']"
38,f8761b701b.csv,['4'],"['2', '4']",['4'],5,['2'],['2'],['2'],['4'],[],"['2', '4']",['2'],['4'],"['2', '4']",['2'],"['""']","['1', '4']","['2', '4']"
39,f87234d740.csv,['7'],['7'],['7'],12,['7'],['7'],['7'],['7'],[],['7'],['7'],['7'],['7'],['7'],['['],['2'],"['7', '9', '6', '8', '11', '4', '10']"
40,f806316cde.csv,['1'],['1'],['1'],9,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],[']'],['1'],['1']
41,f6ab2fdfd0.csv,"['1', '3']","['1', '3']","['1', '3']",4,['3'],['3'],['3'],['1'],['3'],['3'],['3'],['3'],['3'],['3'],['['],"['1', '3']",['3']
42,f677b44444.csv,['8'],['8'],['8'],9,['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],[']'],['1'],['8']
43,f54521a9f5.csv,['10'],['10'],['10'],11,['10'],['10'],['10'],['10'],['10'],['10'],['10'],['10'],['10'],['10'],[']'],['10'],['10']
44,f53b35d120.csv,['1'],['1'],['1'],6,['5'],['5'],['5'],['1'],[],['5'],['1'],['5'],['5'],['5'],"['""']",['1'],"['5', '1', '2']"
45,f500cb0513.csv,['3'],['3'],['3'],5,['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['['],['1'],['3']
46,f48b14442d.csv,['1'],['1'],['1'],8,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],"[""'""]",['1'],['1']
47,f489323f43.csv,['6'],['6'],['6'],7,['6'],['6'],['6'],['3'],['1'],['1'],['1'],['1'],['1'],['1'],['['],"['1', '6']",['1']
48,f45e9a572c.csv,['4'],['4'],['4'],5,['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],"[""'""]",['4'],['4']
49,f3d3b6897b.csv,['11'],['9'],['11'],12,['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],"[""'""]",['1'],['11']
50,f3c5262afa.csv,['1'],['1'],['1'],6,['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],"[""'""]",['1'],['2']
51,f3b3706396.csv,['1'],['1'],['1'],16,['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],"[""'""]",['1'],['2']
52,f36c6431bf.csv,['11'],['11'],['11'],12,['5'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],"[""'""]","['1', '11']",['11']
53,f314b32d2b.csv,['1'],['1'],['1'],10,['1'],['1'],['1'],['1'],['9'],['9'],['9'],['9'],['9'],['9'],['['],['1'],['9']
54,f2ef9eeb69.csv,['5'],['5'],['5'],6,['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['1'],['5']
55,f27d01c4af.csv,['7'],['7'],['7'],8,['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],[']'],['1'],['7']
56,f225a3c2a0.csv,['4'],['4'],['4'],5,['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],"[""'""]",['1'],['4']
57,f21f9c68c8.csv,['2'],['2'],['2'],4,['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['['],['1'],['2']
58,f1a2213b09.csv,['1'],['1'],['1'],12,['2'],['1'],['1'],['2'],['1'],['1'],['1'],['1'],['1'],['1'],['['],['1'],['1']
59,f191578b71.csv,['1'],['1'],['1'],6,['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],[']'],['1'],['5']
60,f18e89c3c3.csv,['18'],['18'],['18'],19,['18'],['18'],['18'],['18'],['18'],['18'],['18'],['18'],['18'],['18'],"[""'""]",['1'],['18']
61,f0f7d3733e.csv,['1'],['1'],['1'],9,['8'],['8'],['8'],['1'],['8'],['8'],['8'],['8'],['8'],['8'],['['],['1'],['8']
62,f0d9b275a4.csv,['8'],['8'],['8'],9,['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],"[""'""]",['1'],['8']
63,f09ec289ee.csv,['5'],['5'],['5'],6,['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['['],['1'],['5']
64,f0535305a9.csv,['4'],['4'],['4'],5,['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],['['],['1'],['4']
65,f03456455d.csv,['1'],['1'],['1'],5,['4'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['['],['1'],['1']
66,f033e01f0d.csv,['1'],['1'],['1'],9,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['['],['1'],['1']
67,efee705915.csv,['25'],['25'],['25'],26,['25'],['25'],['25'],['25'],['25'],['25'],['25'],['25'],['25'],['25'],['5'],['1'],['25']
68,ef586fe824.csv,['1'],['4'],['1'],7,['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],"['""']",['1'],['6']
69,ef3db6bfd5.csv,['2'],['2'],['2'],6,['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['['],"['5', '1']",['2']
70,eed4756773.csv,['8'],['8'],['8'],9,['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['1'],['8']
