country,file_name,num_voters,num_cands,num_seats,no_skipped,one_skipped,two_skipped,three_skipped,write_in,truncated,other_skipped,bullet_vote
america,Alaska_11082022_HouseDistrict16.csv,7693,3,1,55,1605,6033,0,0,0,0,6033
america,Alaska_11082022_HouseDistrict17.csv,5410,3,1,35,2729,2646,0,0,0,0,2646
america,Alaska_11082022_HouseDistrict15.csv,7254,4,1,48,1438,2106,3662,0,0,0,3662
america,Alaska_11082022_HouseDistrict29.csv,7485,3,1,40,1708,5737,0,0,0,0,5737
america,Alaska_11082022_HouseDistrict28.csv,5924,5,1,42,1813,613,1026,0,0,2430,2430
america,Alaska_11082022_HouseDistrict14.csv,5685,3,1,43,1234,4408,0,0,0,0,4408
america,Alaska_11082022_HouseDistrict38.csv,3155,2,1,248,2907,0,0,0,0,0,2907
america,Alaska_11082022_HouseDistrict10.csv,6792,4,1,36,1362,1358,4036,0,0,0,4036
america,Alaska_11082022_HouseDistrict11.csv,7645,4,1,43,1499,2179,3924,0,0,0,3924
america,Alaska_11082022_HouseDistrict39.csv,3647,3,1,49,1847,1751,0,0,0,0,1751
america,Alaska_11052024_US_House.csv,329359,5,1,3789,33556,21702,49145,0,0,221167,221167
america,Alaska_11082022_HouseDistrict13.csv,5528,3,1,64,1287,4177,0,0,0,0,4177
america,Alaska_11082022_HouseDistrict12.csv,6477,3,1,50,1489,4938,0,0,0,0,4938
america,Minneapolis_11072023_CityCouncilWard12.csv,12148,4,1,4903,3828,3417,0,1,0,0,3417
america,Minneapolis_11072017_BoardofEstimateandTaxation.csv,69694,4,2,2976,41342,25376,0,1,0,0,25376
america,Minneapolis_11072017_ParkBoardAtLarge.csv,84347,11,3.0,53401,12098,18848,0,1,1,0,18848
america,Minneapolis_11072017_Ward6CityCouncil.csv,7234,5,1,894,1393,4947,0,1,1,0,4947
america,Minneapolis_11072017_Mayor.csv,104522,18,1,75459,15105,13958,0,1,1,0,13958
america,Minneapolis_11062009_PRBoardDistrict6.csv,8354,5,1,2124,2007,4223,0,1,1,0,4223
america,Minneapolis_11062009_Ward10CityCouncil.csv,3329,5,1,975,872,1482,0,1,1,0,1482
america,Minneapolis_11072023_CityCouncilWard13.csv,10025,5,1,4273,2852,2900,0,1,1,0,2900
america,Minneapolis_11022021_BoardofEstimateandTaxationAtLarge.csv,95625,5,2,34652,20698,40275,0,1,1,0,40275
america,Minneapolis_11072017_Ward1CityCouncil.csv,8734,4,1,3503,2806,2425,0,1,0,0,2425
america,Minneapolis_11062009_PRBoardDistrict5.csv,7848,6,1,2513,1870,3465,0,1,1,0,3465
america,Minneapolis_11062009_PRBoardDistrict4.csv,5143,2,1,0,76,5067,0,1,0,0,5067
america,Minneapolis_11072017_Ward9CityCouncil.csv,5519,5,1,2680,1271,1568,0,1,1,0,1568
america,Minneapolis_11072023_CityCouncilWard10.csv,6312,5,1,1954,1533,2825,0,1,1,0,2825
america,Minneapolis_11062009_BoardofEstimateandTaxation.csv,32086,7,2,11033,6811,14242,0,1,1,0,14242
