rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,numSeats,numCands
"Davis, Henrietta","Simmons, E. Denise","Decker, Marjorie C.","Murphy, Brian","Maher, David P.","Kelley, Craig A.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Ward, Larry W.","Davis, Henrietta","Seidel, Sam","Moore, M. Kevin","Murphy, Brian","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Kelley, Craig A.","Ward, Larry W.","Simmons, E. Denise","Murphy, Brian","Decker, Marjorie C.","Moore, M. Kevin","Seidel, Sam","Janik, Jonathan S.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,9,17
"Ward, Larry W.","Davis, Henrietta","Decker, Marjorie C.","Janik, Jonathan S.","Murphy, Brian","Maher, David P.","Simmons, E. Denise","Seidel, Sam","Podgers, Kathy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Kelley, Craig A.","Ward, Larry W.","Simmons, E. Denise","Murphy, Brian","Decker, Marjorie C.","Moore, M. Kevin","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Reeves, Kenneth E.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Decker, Marjorie C.","Seidel, Sam","Davis, Henrietta","Kelley, Craig A.","Maher, David P.","Ward, Larry W.","Murphy, Brian","Reeves, Kenneth E.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Davis, Henrietta","Decker, Marjorie C.","Reeves, Kenneth E.","Kelley, Craig A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Reeves, Kenneth E.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Simmons, E. Denise","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Kelley, Craig A.","Murphy, Brian","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Simmons, E. Denise","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Kelley, Craig A.","Murphy, Brian","Reeves, Kenneth E.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Kelley, Craig A.","Murphy, Brian","Moore, M. Kevin","Seidel, Sam","Ward, Larry W.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Kelley, Craig A.","Toomey, Timothy J., Jr.","Janik, Jonathan S.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Murphy, Brian","Janik, Jonathan S.","Toomey, Timothy J., Jr.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Decker, Marjorie C.","Ward, Larry W.","Davis, Henrietta","Murphy, Brian","Seidel, Sam","Maher, David P.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Decker, Marjorie C.","Davis, Henrietta","Murphy, Brian","Ward, Larry W.","Simmons, E. Denise","Seidel, Sam","Kelley, Craig A.","Maher, David P.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Ward, Larry W.","Moore, M. Kevin","Murphy, Brian","Reeves, Kenneth E.","Decker, Marjorie C.","Podgers, Kathy","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Decker, Marjorie C.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Kelley, Craig A.","Podgers, Kathy","Decker, Marjorie C.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Decker, Marjorie C.","Ward, Larry W.","Podgers, Kathy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Reeves, Kenneth E.","Davis, Henrietta","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Ward, Larry W.","Murphy, Brian","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Seidel, Sam","Murphy, Brian","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Ward, Larry W.","Seidel, Sam","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Kelley, Craig A.","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Sullivan, Edward J.","Davis, Henrietta","Toomey, Timothy J., Jr.","Maher, David P.","Decker, Marjorie C.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Kelley, Craig A.","Maher, David P.","Davis, Henrietta","Janik, Jonathan S.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Maher, David P.","Davis, Henrietta","Seidel, Sam","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Decker, Marjorie C.","Toomey, Timothy J., Jr.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Decker, Marjorie C.","Sullivan, Edward J.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Reeves, Kenneth E.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Moore, M. Kevin","Sullivan, Edward J.","Decker, Marjorie C.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Seidel, Sam","Maher, David P.","Ward, Larry W.","Kelley, Craig A.","Reeves, Kenneth E.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","Ward, Larry W.","Janik, Jonathan S.","Seidel, Sam","Murphy, Brian","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Decker, Marjorie C.","Maher, David P.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Seidel, Sam","Ward, Larry W.","Simmons, E. Denise","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Murphy, Brian","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Decker, Marjorie C.","Simmons, E. Denise","Davis, Henrietta","Galluccio, Anthony D.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Janik, Jonathan S.","Reeves, Kenneth E.","Kelley, Craig A.","Seidel, Sam","Murphy, Brian","Davis, Henrietta","Ward, Larry W.","Decker, Marjorie C.","Simmons, E. Denise","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Reeves, Kenneth E.","Davis, Henrietta","Simmons, E. Denise","Ward, Larry W.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Maher, David P.","Galluccio, Anthony D.","Simmons, E. Denise","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Ward, Larry W.","Murphy, Brian","Seidel, Sam","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Simmons, E. Denise","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Davis, Henrietta","Murphy, Brian","Kelley, Craig A.","Decker, Marjorie C.","Podgers, Kathy","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Toomey, Timothy J., Jr.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Maher, David P.","Decker, Marjorie C.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Simmons, E. Denise","Seidel, Sam","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Toomey, Timothy J., Jr.","Decker, Marjorie C.","Reeves, Kenneth E.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Seidel, Sam","Davis, Henrietta","Simmons, E. Denise","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Sullivan, Edward J.","Simmons, E. Denise","Maher, David P.","Toomey, Timothy J., Jr.","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Moore, M. Kevin","Reeves, Kenneth E.","Ward, Larry W.","Kelley, Craig A.","Janik, Jonathan S.","Murphy, Brian","Seidel, Sam",skipped,skipped,9,17
"Maher, David P.","Galluccio, Anthony D.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Kelley, Craig A.","Davis, Henrietta","Seidel, Sam","Simmons, E. Denise","Murphy, Brian","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Moore, M. Kevin","Reeves, Kenneth E.","Simmons, E. Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Davis, Henrietta","Decker, Marjorie C.","Murphy, Brian","Seidel, Sam","Sullivan, Edward J.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Ward, Larry W.","Kelley, Craig A.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Decker, Marjorie C.","Davis, Henrietta","Simmons, E. Denise","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Kelley, Craig A.","Seidel, Sam","Ward, Larry W.","Maher, David P.","Decker, Marjorie C.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Davis, Henrietta","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Seidel, Sam","Davis, Henrietta","Ward, Larry W.","Murphy, Brian","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Simmons, E. Denise","Ward, Larry W.","Moore, M. Kevin","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Seidel, Sam","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Seidel, Sam","Davis, Henrietta","Simmons, E. Denise","Kelley, Craig A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Davis, Henrietta","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Ward, Larry W.","Davis, Henrietta","Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Maher, David P.","Murphy, Brian","Davis, Henrietta","Simmons, E. Denise","Ward, Larry W.","Decker, Marjorie C.","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Ward, Larry W.","Decker, Marjorie C.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Decker, Marjorie C.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Toomey, Timothy J., Jr.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Decker, Marjorie C.","Ward, Larry W.","Murphy, Brian","Seidel, Sam","Toomey, Timothy J., Jr.","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Decker, Marjorie C.","Ward, Larry W.","Murphy, Brian","Seidel, Sam","Reeves, Kenneth E.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Decker, Marjorie C.","Davis, Henrietta","Simmons, E. Denise","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Decker, Marjorie C.","Moore, M. Kevin","Reeves, Kenneth E.","Simmons, E. Denise","Galluccio, Anthony D.","Kelley, Craig A.","Maher, David P.","Murphy, Brian","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Davis, Henrietta","Seidel, Sam","Decker, Marjorie C.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Davis, Henrietta","Decker, Marjorie C.","Reeves, Kenneth E.","Murphy, Brian","Seidel, Sam","Kelley, Craig A.","Maher, David P.","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Davis, Henrietta","Seidel, Sam","Decker, Marjorie C.","Murphy, Brian","Ward, Larry W.","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Ward, Larry W.","Moore, M. Kevin","Decker, Marjorie C.","Murphy, Brian","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Seidel, Sam","Murphy, Brian","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Ward, Larry W.","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Kelley, Craig A.","Simmons, E. Denise","Murphy, Brian","Ward, Larry W.","Decker, Marjorie C.","Janik, Jonathan S.","Moore, M. Kevin","Toomey, Timothy J., Jr.","Sullivan, Edward J.","Reeves, Kenneth E.","Seidel, Sam","Podgers, Kathy","Maher, David P.","Moree, Gregg J.",skipped,9,17
"Davis, Henrietta","Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Decker, Marjorie C.","Sullivan, Edward J.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Maher, David P.","Reeves, Kenneth E.","Sullivan, Edward J.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Kelley, Craig A.","Davis, Henrietta","Reeves, Kenneth E.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Moree, Gregg J.","Galluccio, Anthony D.","Simmons, E. Denise","Sullivan, Edward J.","Davis, Henrietta","Decker, Marjorie C.","Reeves, Kenneth E.","Maher, David P.","Kelley, Craig A.","Moore, M. Kevin","Podgers, Kathy","Seidel, Sam","Toomey, Timothy J., Jr.","Ward, Larry W.","Janik, Jonathan S.",skipped,9,17
"Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Murphy, Brian","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Decker, Marjorie C.","Ward, Larry W.","Davis, Henrietta","Murphy, Brian","Seidel, Sam","Maher, David P.","Podgers, Kathy","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Moore, M. Kevin","Davis, Henrietta","Decker, Marjorie C.","Reeves, Kenneth E.","Podgers, Kathy","Janik, Jonathan S.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Ward, Larry W.","Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Decker, Marjorie C.","Kelley, Craig A.","Davis, Henrietta","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Seidel, Sam","Ward, Larry W.","Decker, Marjorie C.","Simmons, E. Denise","Kelley, Craig A.","Moore, M. Kevin","Davis, Henrietta","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Seidel, Sam","Davis, Henrietta","Decker, Marjorie C.","Murphy, Brian","Ward, Larry W.","Simmons, E. Denise","Janik, Jonathan S.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Murphy, Brian","Kelley, Craig A.","Seidel, Sam","Toomey, Timothy J., Jr.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Decker, Marjorie C.","Reeves, Kenneth E.","Ward, Larry W.","Davis, Henrietta","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Decker, Marjorie C.","Murphy, Brian","Seidel, Sam","Simmons, E. Denise","Janik, Jonathan S.","Ward, Larry W.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Decker, Marjorie C.","Simmons, E. Denise","Davis, Henrietta","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Janik, Jonathan S.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Maher, David P.","Sullivan, Edward J.","Reeves, Kenneth E.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Moore, M. Kevin","Murphy, Brian","Ward, Larry W.","Davis, Henrietta","Reeves, Kenneth E.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Kelley, Craig A.","Seidel, Sam","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Kelley, Craig A.","Sullivan, Edward J.","Galluccio, Anthony D.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Murphy, Brian","Simmons, E. Denise","Seidel, Sam","Ward, Larry W.","Decker, Marjorie C.","Davis, Henrietta","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Seidel, Sam","Maher, David P.","Ward, Larry W.","Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Kelley, Craig A.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Sullivan, Edward J.","Simmons, E. Denise","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Reeves, Kenneth E.","Decker, Marjorie C.","Maher, David P.","Moore, M. Kevin","Sullivan, Edward J.","Ward, Larry W.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Reeves, Kenneth E.","Simmons, E. Denise","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Ward, Larry W.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Reeves, Kenneth E.","Davis, Henrietta","Simmons, E. Denise","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Davis, Henrietta","Kelley, Craig A.","Decker, Marjorie C.","Ward, Larry W.","Toomey, Timothy J., Jr.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Simmons, E. Denise","Kelley, Craig A.","Decker, Marjorie C.","Ward, Larry W.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Simmons, E. Denise","Reeves, Kenneth E.","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Seidel, Sam","Ward, Larry W.","Reeves, Kenneth E.","Davis, Henrietta","Kelley, Craig A.","Simmons, E. Denise","Moree, Gregg J.","Decker, Marjorie C.","Maher, David P.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Seidel, Sam","Ward, Larry W.","Davis, Henrietta","Reeves, Kenneth E.","Galluccio, Anthony D.","Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
