voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,num_positions
60,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
61,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
62,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
63,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
64,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
65,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
66,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
67,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
68,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
69,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Cara RAE Scottish Green Party,Ben SMITH Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
70,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Cara RAE Scottish Green Party,Ben SMITH Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
71,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Cara RAE Scottish Green Party,Ben SMITH Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
72,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Cara RAE Scottish Green Party,Ben SMITH Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
