,file,smith_plurality,smith_irv,smith-minimax
109,Alaska/Alaska_11082022_HouseDistrict17.csv,"['Fields, William Z. ""Zack""']","['Fields, William Z. ""Zack""']","['Fields, William Z. ""Zack""']"
110,Alaska/Alaska_11082022_HouseDistrict15.csv,"['McKay, Thomas W. ""Tom""']","['McKay, Thomas W. ""Tom""']","['McKay, Thomas W. ""Tom""']"
111,Alaska/Alaska_11082022_HouseDistrict29.csv,"['Rauscher, George']","['Rauscher, George']","['Rauscher, George']"
112,Alaska/Alaska_11082022_HouseDistrict28.csv,"['Sumner, Jesse M.']","['Sumner, Jesse M.']","['Sumner, Jesse M.']"
113,Alaska/Alaska_11082022_HouseDistrict14.csv,"['Galvin, Alyse S.']","['Galvin, Alyse S.']","['Galvin, Alyse S.']"
114,Alaska/Alaska_11082022_HouseDistrict38.csv,"['McCormick, Conrad J. ""C.J.""']","['McCormick, Conrad J. ""C.J.""']","['McCormick, Conrad J. ""C.J.""']"
115,Alaska/Alaska_11082022_HouseDistrict10.csv,"['Johnson, Craig W.']","['Johnson, Craig W.']","['Johnson, Craig W.']"
116,Alaska/Alaska_11082022_HouseDistrict11.csv,"['Coulombe, Julie']","['Coulombe, Julie']","['Coulombe, Julie']"
117,Alaska/Alaska_11082022_HouseDistrict39.csv,"['Foster, Neal W.']","['Foster, Neal W.']","['Foster, Neal W.']"
118,Alaska/Alaska_11052024_US_House.csv,"['Begich, Nick']","['Begich, Nick']","['Begich, Nick']"
119,Alaska/Alaska_11082022_HouseDistrict13.csv,"['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']"
120,Alaska/Alaska_11082022_HouseDistrict12.csv,"['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']"
121,Minneapolis/Minneapolis_11072023_CityCouncilWard12.csv,['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury']
122,Minneapolis/Minneapolis_11072017_BoardofEstimateandTaxation.csv,['Carol Becker'],['Carol Becker'],['Carol Becker']
123,Minneapolis/Minneapolis_11072017_ParkBoardAtLarge.csv,['Latrisha Vetaw'],['Latrisha Vetaw'],['Latrisha Vetaw']
124,Minneapolis/Minneapolis_11072017_Ward6CityCouncil.csv,['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame']
125,Minneapolis/Minneapolis_11072017_Mayor.csv,['Jacob Frey'],['Jacob Frey'],['Jacob Frey']
126,Minneapolis/Minneapolis_11062009_PRBoardDistrict6.csv,['Brad Bourn'],['Brad Bourn'],['Brad Bourn']
127,Minneapolis/Minneapolis_11062009_Ward10CityCouncil.csv,['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill']
128,Minneapolis/Minneapolis_11072023_CityCouncilWard13.csv,['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano']
129,Minneapolis/Minneapolis_11022021_BoardofEstimateandTaxationAtLarge.csv,['Steve Brandt'],['Steve Brandt'],['Steve Brandt']
130,Minneapolis/Minneapolis_11072017_Ward1CityCouncil.csv,['Kevin Reich'],['Kevin Reich'],['Kevin Reich']
131,Minneapolis/Minneapolis_11062009_PRBoardDistrict5.csv,['Carol Kummer'],['Carol Kummer'],['Carol Kummer']
132,Minneapolis/Minneapolis_11062009_PRBoardDistrict4.csv,['Anita Tabb'],['Anita Tabb'],['Anita Tabb']
133,Minneapolis/Minneapolis_11072017_Ward9CityCouncil.csv,['Alondra Cano'],['Alondra Cano'],['Alondra Cano']
134,Minneapolis/Minneapolis_11072023_CityCouncilWard10.csv,['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai']
135,Minneapolis/Minneapolis_11062009_BoardofEstimateandTaxation.csv,['Carol Becker'],['Carol Becker'],['Carol Becker']
136,Minneapolis/Minneapolis_11072017_Ward8CityCouncil.csv,['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins']
137,Minneapolis/Minneapolis_11022021_Mayor.csv,['Jacob Frey'],['Jacob Frey'],['Jacob Frey']
138,Minneapolis/Minneapolis_11062009_PRBoardDistrict1.csv,['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski']
139,Minneapolis/Minneapolis_11022021_ParkBoardAtLarge.csv,['Meg Forney'],['Meg Forney'],['Meg Forney']
140,Minneapolis/Minneapolis_11062009_Ward11CityCouncil.csv,['John Quincy'],['John Quincy'],['John Quincy']
141,Minneapolis/Minneapolis_11052013_PRBoardDistrict6.csv,['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN']
142,Minneapolis/Minneapolis_11062009_PRBoardDistrict3.csv,['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland']
143,Minneapolis/Minneapolis_11062009_PRBoardDistrict2.csv,['Jon Olson'],['Jon Olson'],['Jon Olson']
144,Minneapolis/Minneapolis_11072017_Ward7CityCouncil.csv,['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman']
145,Minneapolis/Minneapolis_11022021_CityCouncilWard4.csv,['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw']
146,Minneapolis/Minneapolis_11062009_Ward13CityCouncil.csv,['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges']
147,Minneapolis/Minneapolis_11072017_Ward5CityCouncil.csv,['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison']
148,Minneapolis/Minneapolis_11022021_CityCouncilWard10.csv,['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai']
149,Minneapolis/Minneapolis_11022021_CityCouncilWard12.csv,['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson']
150,Minneapolis/Minneapolis_11022021_CityCouncilWard7.csv,['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman']
151,Minneapolis/Minneapolis_11022021_CityCouncilWard6.csv,['Jamal Osman'],['Jamal Osman'],['Jamal Osman']
152,Minneapolis/Minneapolis_11072017_Ward2CityCouncil.csv,['Cam Gordon'],['Cam Gordon'],['Cam Gordon']
153,Minneapolis/Minneapolis_11022021_CityCouncilWard13.csv,['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano']
154,Minneapolis/Minneapolis_11072017_Ward3CityCouncil.csv,['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher']
155,Minneapolis/Minneapolis_11022021_CityCouncilWard2.csv,['Yusra Arab'],['Yusra Arab'],['Yusra Arab']
156,Minneapolis/Minneapolis_11022021_CityCouncilWard3.csv,['Michael Rainville'],['Michael Rainville'],['Michael Rainville']
157,Minneapolis/Minneapolis_11072017_Ward4CityCouncil.csv,['Phillipe M. Cunningham'],['Phillipe M. Cunningham'],['Phillipe M. Cunningham']
158,Minneapolis/Minneapolis_11022021_CityCouncilWard1.csv,['Elliott Payne'],['Elliott Payne'],['Elliott Payne']
159,Minneapolis/Minneapolis_11052013_Mayor.csv,['BETSY HODGES'],['BETSY HODGES'],['BETSY HODGES']
160,Minneapolis/Minneapolis_11072023_CityCouncilWard8.csv,['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins']
161,Minneapolis/Minneapolis_11062009_Ward12CityCouncil.csv,['Sandy Colvin Roy'],['Sandy Colvin Roy'],['Sandy Colvin Roy']
162,Minneapolis/Minneapolis_11072023_CityCouncilWard5.csv,['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison'],['Jeremiah Bey Ellison']
163,Minneapolis/Minneapolis_11072017_PRBoardDistrict3.csv,['AK Hassan'],['AK Hassan'],['AK Hassan']
164,Minneapolis/Minneapolis_11072017_PRBoardDistrict2.csv,['Kale Severson'],['Kale Severson'],['Kale Severson']
165,Minneapolis/Minneapolis_08112020_Ward6CityCouncilSpecialElection.csv,['Jamal Osman'],['Jamal Osman'],['Jamal Osman']
166,Minneapolis/Minneapolis_11072023_CityCouncilWard4.csv,['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw'],['LaTrisha M. Vetaw']
167,Minneapolis/Minneapolis_11062009_Ward7CityCouncil.csv,['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman']
168,Minneapolis/Minneapolis_11052013_ParkRecBoardAtLarge.csv,['JOHN ERWIN'],['JOHN ERWIN'],['JOHN ERWIN']
169,Minneapolis/Minneapolis_11072023_CityCouncilWard6.csv,['Jamal Osman'],['Jamal Osman'],['Jamal Osman']
170,Minneapolis/Minneapolis_11062009_Ward8CityCouncil.csv,['Elizabeth Glidden'],['Elizabeth Glidden'],['Elizabeth Glidden']
171,Minneapolis/Minneapolis_11062009_Mayor.csv,['R.T. Rybak'],['R.T. Rybak'],['R.T. Rybak']
172,Minneapolis/Minneapolis_11072017_Ward12CityCouncil.csv,['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson']
173,Minneapolis/Minneapolis_11052013_Ward9CityCouncil.csv,['ALONDRA CANO'],['ALONDRA CANO'],['ALONDRA CANO']
174,Minneapolis/Minneapolis_11072017_PRBoardDistrict1.csv,['Chris Meyer'],['Chris Meyer'],['Chris Meyer']
175,Minneapolis/Minneapolis_11072023_CityCouncilWard7.csv,['Katie Cashman'],['Katie Cashman'],['Katie Cashman']
176,Minneapolis/Minneapolis_11072017_PRBoardDistrict5.csv,['Steffanie Musich'],['Steffanie Musich'],['Steffanie Musich']
177,Minneapolis/Minneapolis_11062009_Ward1CityCouncil.csv,['Kevin Reich'],['Kevin Reich'],['Kevin Reich']
178,Minneapolis/Minneapolis_11062009_Ward9CityCouncil.csv,['Gary Schiff'],['Gary Schiff'],['Gary Schiff']
