filename,elections_with_changes,country,percentage,method,IRV,approval,borda-avg,borda-om,borda-pm,bucklin,condorcet,minimax,plurality,ranked-pairs,smith,smith-minimax,smith_irv,smith_plurality,top-3-truncation,top-two
scotland_borda_scores_0.2-borda,0,scotland,0.2,borda,,,,,,,,,,,,,,,,
civs_mention_scores_0.9-mention,1602,civs,0.9,mention,1042,1323,1024,1041,1030,1035,925,1046,1069,1032,1075,1046,1035,1040,1020,1038
australia_borda_scores_0.9-borda,75,australia,0.9,borda,2,9,11,66,,2,3,3,1,3,3,3,3,3,7,2
civs_borda_scores_0.6-borda,283,civs,0.6,borda,,277,,,,,,,5,,2,,,,1,2
america_borda_scores_0.9-borda,11,america,0.9,borda,2,1,,3,,,,,7,,,,,,1,3
america_borda_scores_0.8-borda,2,america,0.8,borda,1,,,,,,,,2,,,,,,,1
australia_borda_scores_0.8-borda,46,australia,0.8,borda,,2,1,44,,,,,,,,,,,,
civs_borda_scores_0.7-borda,436,civs,0.7,borda,3,417,,,,,,,26,,5,,1,,2,9
scotland_borda_scores_0.3-borda,0,scotland,0.3,borda,,,,,,,,,,,,,,,,
civs_mention_scores_0.8-mention,1478,civs,0.8,mention,897,1203,880,895,882,905,793,902,919,884,936,902,891,896,878,890
scotland_mention_scores_0.5-mention,0,scotland,0.5,mention,,,,,,,,,,,,,,,,
america_mention_scores_0.5-mention,0,america,0.5,mention,,,,,,,,,,,,,,,,
america_borda_scores_0.4-borda,0,america,0.4,borda,,,,,,,,,,,,,,,,
australia_mention_scores_0.3-mention,0,australia,0.3,mention,,,,,,,,,,,,,,,,
australia_borda_scores_0.4-borda,0,australia,0.4,borda,,,,,,,,,,,,,,,,
civs_mention_scores_0.4-mention,814,civs,0.4,mention,341,630,409,420,409,443,337,390,315,380,423,390,378,380,360,319
scotland_mention_scores_0.9-mention,233,scotland,0.9,mention,52,,14,48,10,1,22,24,209,24,27,24,22,24,62,71
america_mention_scores_0.9-mention,16,america,0.9,mention,2,3,,3,,,,,10,,1,,1,,,2
america_borda_scores_0.7-borda,0,america,0.7,borda,,,,,,,,,,,,,,,,
civs_borda_scores_0.8-borda,711,civs,0.8,borda,31,632,,1,,7,1,1,105,1,24,1,2,1,4,62
australia_borda_scores_0.7-borda,25,australia,0.7,borda,,,,25,,,,,,,,,,,,
civs_mention_scores_0.7-mention,1325,civs,0.7,mention,744,1044,741,761,751,779,669,763,759,745,801,763,752,760,732,738
civs_borda_scores_0.4-borda,88,civs,0.4,borda,,88,,,,,,,,,,,,,,
scotland_mention_scores_0.6-mention,2,scotland,0.6,mention,,,,,,,,,2,,,,,,,
america_mention_scores_0.6-mention,0,america,0.6,mention,,,,,,,,,,,,,,,,
america_mention_scores_0.7-mention,0,america,0.7,mention,,,,,,,,,,,,,,,,
scotland_mention_scores_0.7-mention,25,scotland,0.7,mention,,,,,,,,,25,,,,,,,3
scotland_borda_scores_0.1-borda,0,scotland,0.1,borda,,,,,,,,,,,,,,,,
civs_borda_scores_0.5-borda,163,civs,0.5,borda,,162,,,,,,,,,1,,,,,
civs_mention_scores_0.6-mention,1147,civs,0.6,mention,590,885,611,630,619,650,542,614,593,605,653,614,608,614,589,575
civs_borda_scores_0.9-borda,1110,civs,0.9,borda,112,916,,9,,55,13,22,288,17,90,21,28,29,34,179
australia_borda_scores_0.6-borda,8,australia,0.6,borda,,,,8,,,,,,,,,,,,
australia_mention_scores_0.1-mention,0,australia,0.1,mention,,,,,,,,,,,,,,,,
america_borda_scores_0.6-borda,0,america,0.6,borda,,,,,,,,,,,,,,,,
civs_borda_scores_0.2-borda,22,civs,0.2,borda,,22,,,,,,,,,,,,,,
scotland_borda_scores_0.6-borda,1,scotland,0.6,borda,,,,,,,,,1,,,,,,,
america_borda_scores_0.1-borda,0,america,0.1,borda,,,,,,,,,,,,,,,,
australia_mention_scores_0.6-mention,3,australia,0.6,mention,,,,3,,,,,,,,,,,,
australia_borda_scores_0.1-borda,0,australia,0.1,borda,,,,,,,,,,,,,,,,
civs_mention_scores_0.1-mention,213,civs,0.1,mention,40,158,78,83,77,83,57,65,37,64,79,65,60,62,50,34
australia_mention_scores_0.7-mention,17,australia,0.7,mention,,,,17,,,,,,,,,,,,
america_mention_scores_0.1-mention,0,america,0.1,mention,,,,,,,,,,,,,,,,
scotland_mention_scores_0.1-mention,0,scotland,0.1,mention,,,,,,,,,,,,,,,,
scotland_borda_scores_0.7-borda,8,scotland,0.7,borda,,,,,,,,,8,,,,,,,
civs_borda_scores_0.3-borda,52,civs,0.3,borda,,52,,,,,,,,,,,,,,
