file,candidate_removed,plurality,IRV,top-two,borda-pm,top-3-truncation,condorcet,minimax,smith,smith-minimax,ranked-pairs
american/Alaska/Alaska_11082022_HouseDistrict37.csv,none,"Edgmon, Bryce","Edgmon, Bryce",unknown,"Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce"
american/Alaska/Alaska_11082022_HouseDistrict36.csv,none,"Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike"
american/Alaska/Alaska_11082022_HouseDistrict36.csv,"Cronk, Mike","Fowler, Angela K. ""Fitch""","Fowler, Angela K. ""Fitch""",unknown,"Fowler, Angela K. ""Fitch""","Fowler, Angela K. ""Fitch""","Fowler, Angela K. ""Fitch""","Fowler, Angela K. ""Fitch""","Fowler, Angela K. ""Fitch""","Fowler, Angela K. ""Fitch""","Fowler, Angela K. ""Fitch"""
american/Alaska/Alaska_11082022_HouseDistrict36.csv,"Fowler, Angela K. ""Fitch""","Cronk, Mike","Cronk, Mike",unknown,"Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike"
american/Alaska/Alaska_11082022_HouseDistrict22.csv,none,"Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J."
american/Alaska/Alaska_11082022_HouseDistrict22.csv,"Eischeid, Ted J.","Wright, Stanley A.","Wright, Stanley A.",unknown,"Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A."
american/Alaska/Alaska_11082022_HouseDistrict22.csv,"Wright, Stanley A.","Eischeid, Ted J.","Eischeid, Ted J.",unknown,"Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J."
american/Alaska/Alaska_08162022_HouseofRepresentativesSpecial.csv,none,"Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Begich, Nick","Begich, Nick","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S."
american/Alaska/Alaska_08162022_HouseofRepresentativesSpecial.csv,"Palin, Sarah","Begich, Nick","Begich, Nick","Begich, Nick","Begich, Nick","Begich, Nick","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S."
american/Alaska/Alaska_08162022_HouseofRepresentativesSpecial.csv,"Peltola, Mary S.","Begich, Nick","Begich, Nick","Begich, Nick","Begich, Nick","Begich, Nick","Begich, Nick","Begich, Nick","Begich, Nick","Begich, Nick","Begich, Nick"
american/Alaska/Alaska_08162022_HouseofRepresentativesSpecial.csv,"Begich, Nick","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S."
