,file,smith_plurality,smith_irv,smith-minimax,smith,0.1_smith_irv_hit_percent,0.1_smith_plurality_hit_percent,0.1_smith_minimax_hit_percent
114,Alaska/Alaska_11082022_HouseDistrict38.csv,"['McCormick, Conrad J. ""C.J.""']","['McCormick, Conrad J. ""C.J.""']","['McCormick, Conrad J. ""C.J.""']","['McCormick, Conrad J. ""C.J.""']",0,0,0
115,Alaska/Alaska_11082022_HouseDistrict10.csv,"['Johnson, Craig W.']","['Johnson, Craig W.']","['Johnson, Craig W.']","['Johnson, Craig W.']",0,0,0
116,Alaska/Alaska_11082022_HouseDistrict11.csv,"['Coulombe, Julie']","['Coulombe, Julie']","['Coulombe, Julie']","['Coulombe, Julie']",0,0,0
117,Alaska/Alaska_11082022_HouseDistrict39.csv,"['Foster, Neal W.']","['Foster, Neal W.']","['Foster, Neal W.']","['Foster, Neal W.']",0,0,0
118,Alaska/Alaska_11052024_US_House.csv,"['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']",0,0,0
119,Alaska/Alaska_11082022_HouseDistrict13.csv,"['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']","['Josephson, Andy']",0,0,0
120,Alaska/Alaska_11082022_HouseDistrict12.csv,"['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']","['Schrage, Calvin R.']",0,0,0
121,Minneapolis/Minneapolis_11072023_CityCouncilWard12.csv,['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],['Aurin Chowdhury'],0,0,0
122,Minneapolis/Minneapolis_11072017_BoardofEstimateandTaxation.csv,['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],0,0,0
123,Minneapolis/Minneapolis_11072017_ParkBoardAtLarge.csv,['Latrisha Vetaw'],['Latrisha Vetaw'],['Latrisha Vetaw'],['Latrisha Vetaw'],0,0,0
124,Minneapolis/Minneapolis_11072017_Ward6CityCouncil.csv,['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],['Abdi Warsame'],0,0,0
125,Minneapolis/Minneapolis_11072017_Mayor.csv,['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],0,0,0
126,Minneapolis/Minneapolis_11062009_PRBoardDistrict6.csv,['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],['Brad Bourn'],0,0,0
127,Minneapolis/Minneapolis_11062009_Ward10CityCouncil.csv,['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],['Meg Tuthill'],0,0,0
128,Minneapolis/Minneapolis_11072023_CityCouncilWard13.csv,['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],0,0,0
129,Minneapolis/Minneapolis_11022021_BoardofEstimateandTaxationAtLarge.csv,['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],['Steve Brandt'],0,0,0
130,Minneapolis/Minneapolis_11072017_Ward1CityCouncil.csv,['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],['Kevin Reich'],0,0,0
131,Minneapolis/Minneapolis_11062009_PRBoardDistrict5.csv,['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],['Carol Kummer'],0,0,0
132,Minneapolis/Minneapolis_11062009_PRBoardDistrict4.csv,['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],['Anita Tabb'],0,0,0
133,Minneapolis/Minneapolis_11072017_Ward9CityCouncil.csv,['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],['Alondra Cano'],0,0,0
134,Minneapolis/Minneapolis_11072023_CityCouncilWard10.csv,['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],0,0,0
135,Minneapolis/Minneapolis_11062009_BoardofEstimateandTaxation.csv,['Carol Becker'],['Carol Becker'],['Carol Becker'],['Carol Becker'],0,0,0
136,Minneapolis/Minneapolis_11072017_Ward8CityCouncil.csv,['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],['Andrea Jenkins'],0,0,0
137,Minneapolis/Minneapolis_11022021_Mayor.csv,['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],['Jacob Frey'],0,0,0
138,Minneapolis/Minneapolis_11062009_PRBoardDistrict1.csv,['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],['Liz Wielinski'],0,0,0
139,Minneapolis/Minneapolis_11022021_ParkBoardAtLarge.csv,['Meg Forney'],['Meg Forney'],['Meg Forney'],['Meg Forney'],0,0,0
140,Minneapolis/Minneapolis_11062009_Ward11CityCouncil.csv,['John Quincy'],['John Quincy'],['John Quincy'],['John Quincy'],0,0,0
141,Minneapolis/Minneapolis_11052013_PRBoardDistrict6.csv,['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],['BRAD BOURN'],0,0,0
142,Minneapolis/Minneapolis_11062009_PRBoardDistrict3.csv,['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],['Scott Vreeland'],0,0,0
143,Minneapolis/Minneapolis_11062009_PRBoardDistrict2.csv,['Jon Olson'],['Jon Olson'],['Jon Olson'],['Jon Olson'],0,0,0
144,Minneapolis/Minneapolis_11072017_Ward7CityCouncil.csv,['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],0,0,0
145,Minneapolis/Minneapolis_11022021_CityCouncilWard4.csv,['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],['LaTrisha Vetaw'],0,0,0
146,Minneapolis/Minneapolis_11062009_Ward13CityCouncil.csv,['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],['Betsy Hodges'],0,0,0
147,Minneapolis/Minneapolis_11072017_Ward5CityCouncil.csv,['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],['Jeremiah Ellison'],0,0,0
148,Minneapolis/Minneapolis_11022021_CityCouncilWard10.csv,['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],['Aisha Chughtai'],0,0,0
149,Minneapolis/Minneapolis_11022021_CityCouncilWard12.csv,['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],['Andrew Johnson'],0,0,0
150,Minneapolis/Minneapolis_11022021_CityCouncilWard7.csv,['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],['Lisa Goodman'],0,0,0
151,Minneapolis/Minneapolis_11022021_CityCouncilWard6.csv,['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],['Jamal Osman'],0,0,0
152,Minneapolis/Minneapolis_11072017_Ward2CityCouncil.csv,['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],['Cam Gordon'],0,0,0
153,Minneapolis/Minneapolis_11022021_CityCouncilWard13.csv,['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],['Linea Palmisano'],0,0,0
154,Minneapolis/Minneapolis_11072017_Ward3CityCouncil.csv,['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],['Steve Fletcher'],0,0,0
155,Minneapolis/Minneapolis_11022021_CityCouncilWard2.csv,['Yusra Arab'],['Robin Wonsley Worlobah'],['Yusra Arab'],"['Robin Wonsley Worlobah', 'Yusra Arab', 'Cam Gordon']",78,2,10
156,Minneapolis/Minneapolis_11022021_CityCouncilWard3.csv,['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],['Michael Rainville'],0,0,0
