Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,numSeats,numCands
ST LOUIS PARK W-4 P-16,151724,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151725,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151726,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151727,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151728,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151729,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151730,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151731,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151732,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151733,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151734,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151735,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151736,ST LOUIS PARK W-4 P-16,writein,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151737,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151738,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151739,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151740,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151741,ST LOUIS PARK W-4 P-15,writein,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151742,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151743,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151744,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151745,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151746,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151747,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151748,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151749,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151750,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151751,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151752,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151754,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151755,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151756,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151757,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151758,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151759,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151760,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151761,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151762,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151763,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151764,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151765,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151766,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151767,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151768,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151769,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151770,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151771,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151772,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151773,ST LOUIS PARK W-4 P-15,writein,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151774,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151775,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151776,ST LOUIS PARK W-4 P-15,writein,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151777,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151778,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151779,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151780,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151781,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151782,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151783,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151784,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151785,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151786,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151787,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151788,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151789,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151790,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151791,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151792,ST LOUIS PARK W-4 P-15,writein,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151793,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151794,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151795,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151796,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151797,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151798,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151799,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151800,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151801,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151802,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151803,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151804,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151805,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151806,ST LOUIS PARK W-4 P-15,writein,Tim Brausen,skipped,1,2
ST LOUIS PARK W-4 P-15,151807,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151808,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151809,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151810,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151811,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151812,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151813,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151815,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151816,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151817,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151818,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151819,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151820,ST LOUIS PARK W-4 P-15,writein,Tim Brausen,skipped,1,2
ST LOUIS PARK W-4 P-15,151821,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151822,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151823,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151824,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151825,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151826,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151827,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151828,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151830,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151831,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151832,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151833,ST LOUIS PARK W-4 P-15,writein,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151834,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151836,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,151837,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
