voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
54,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
55,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
56,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
57,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
58,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
59,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
60,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
61,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
62,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
63,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
64,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
65,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
66,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
67,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
68,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
69,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
70,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
71,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
72,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
73,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
74,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
75,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
76,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
77,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
78,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
79,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
80,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
81,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
82,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
83,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
84,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
85,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
86,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
87,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
88,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
89,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
90,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
91,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
92,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
93,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
94,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
95,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
96,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
97,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
98,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
99,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
100,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
101,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
102,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
103,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
104,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
105,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
106,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
107,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
108,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
109,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
110,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
111,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
112,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),4
