voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
860,Mandy BRYSON Scottish Conservative and Unionist,Alan NIMMO Scottish Labour Party,Marc BOZZA Independent,Robert SPEARS Independent,Stuart MARTIN UKIP,skipped,skipped,skipped,3
861,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,3
862,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,3
863,Alan NIMMO Scottish Labour Party,Robert SPEARS Independent,David BALFOUR Scottish National Party (SNP),John HASTON Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,Marc BOZZA Independent,Mandy BRYSON Scottish Conservative and Unionist,Stuart MARTIN UKIP,3
864,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
865,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
866,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
867,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
868,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
869,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
870,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
871,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
872,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
873,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
874,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
875,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
876,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
877,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
878,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
879,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
880,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
881,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
882,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
883,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
884,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
885,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
886,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
887,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
888,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
889,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
890,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
891,Marc BOZZA Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
892,Alan NIMMO Scottish Labour Party,Robert SPEARS Independent,Rhys STENHOUSE Scottish Green Party,Marc BOZZA Independent,David BALFOUR Scottish National Party (SNP),John HASTON Scottish National Party (SNP),Mandy BRYSON Scottish Conservative and Unionist,Stuart MARTIN UKIP,3
893,Alan NIMMO Scottish Labour Party,David BALFOUR Scottish National Party (SNP),Robert SPEARS Independent,John HASTON Scottish National Party (SNP),Marc BOZZA Independent,Stuart MARTIN UKIP,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,3
894,Robert SPEARS Independent,Rhys STENHOUSE Scottish Green Party,Alan NIMMO Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,3
895,Robert SPEARS Independent,Rhys STENHOUSE Scottish Green Party,Alan NIMMO Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,3
896,David BALFOUR Scottish National Party (SNP),Mandy BRYSON Scottish Conservative and Unionist,Robert SPEARS Independent,skipped,skipped,skipped,skipped,skipped,3
897,David BALFOUR Scottish National Party (SNP),Mandy BRYSON Scottish Conservative and Unionist,Robert SPEARS Independent,skipped,skipped,skipped,skipped,skipped,3
898,David BALFOUR Scottish National Party (SNP),Mandy BRYSON Scottish Conservative and Unionist,Robert SPEARS Independent,skipped,skipped,skipped,skipped,skipped,3
899,David BALFOUR Scottish National Party (SNP),Mandy BRYSON Scottish Conservative and Unionist,Robert SPEARS Independent,skipped,skipped,skipped,skipped,skipped,3
900,David BALFOUR Scottish National Party (SNP),Mandy BRYSON Scottish Conservative and Unionist,Robert SPEARS Independent,skipped,skipped,skipped,skipped,skipped,3
901,Mandy BRYSON Scottish Conservative and Unionist,Stuart MARTIN UKIP,David BALFOUR Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,3
